,name,bar_code,eco_score,quantity,packaging,brand,categories,labels,ingredients_origins,manufacturing,markets,sales_countries,ingredients_list,ingredients_analysis,nova_score,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,nutriment_energy_tr,nutriment_saturated-fat_tr,nutriment_sugars_tr,nutriment_salt_tr,nutriment_sodium_tr,generic_name,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_sugars_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,additives,palm_ingredients,traceability_code,allergens,producer_info,link,brand_owner
0,La goutte de miel - 400g,3770005317249,A,400 g,"['Bocal', 'Verre', 'Couvercle métal']","['La Goutte de miel', 'Michaël Millet Apiculteur']","['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels', 'Miels-de-bretagne']","['Bio', 'Bio européen', 'Agriculture UE', 'FR-BIO-01', 'Récolté en France', 'en:agriculture-france', 'en:recolte-en-bretagne', 'Agriculture France']",['France'],['Michaël Millet Apiculteur 35490 Vieux-Vy/Couesnon'],['Biocoop'],['France'],['Miel 100%'],"['Sans huile de palme', 'Non végétalien', 'Végétarien']",2,?,,?,,?,,?,,?,,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Buche crème au beurre vanille,2030503947999,,,,,,,,,,['France'],[],[],,?,,390,,"23,9",,"39,4",,"3,8",,,,,,,,,1632 kj(390 kcal),"15,5","34,9","0,2","0,08",,,,,,,,,,,,,,,,,,,,,,,,,
2,marzipan butter cookies,8594193760411,,,,,,,,,,['France'],[],[],,?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Foie gras de canard entier mi-cuit,2001200002274,B,,,,"['Poissons et viandes et oeufs', 'Foies gras', 'Foies gras de canard', 'Foies gras entiers', 'Foies gras de canard entiers']",,,,,['France'],[],[],,?,,?,,?,,?,,?,,70.7%,8.0%,8.5%,7.3%,4.3%,1.2%,89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Aubergine en huile,5285001291366,,,,,,,,,,['France'],[],[],,?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Baguette d'illkirch 250g - 250g,2030000026166,,250 g,,,,,,,,['France'],[],[],,?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Benn Bio WAY chocolat,3770009355100,,,,,,['Bio'],,,,['France'],[],[],,?,,387,,"6,8",,"14,6",,"66,1",,,,,,,,,1619 kj(387 kcal),"4,3","9,8","2,34","0,936",,,,,,,,,,,,,,,,,,,,,,,,,
7,Émincés de Poulet - Délices & Snacks - 1kg,3760116247900,D,1 kg,['Congelé'],['Délices & Snacks'],"['Viandes', 'Volailles', 'Poulets', 'Filets de poulet']",,['Union européenne'],,,['France'],"['filet de poulet ', '90%', 'eau', 'fécule de tapioca', 'maltodextrine', 'sel']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",3,356,-27%,?,,1,-65%,"2,6",+443%,16,-30%,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,356 kj(85 kcal),"0,3","0,1","1,7","0,68",Emincé de filet de poulet cuits rôtis,1 g,en faible quantité,0.3 g,en faible quantité,0.1 g,en faible quantité,1.7 g,en quantité élevée,-34%,-60%,-59%,+127%,+127%,3,,C,,,,,,,,
8,Dates premium - 3kg,6135527000081,,3 kg,,,,,,,,['France'],[],[],,?,,306,,"0,2",,70,,"2,2",,,,,,,,,1280 kj(306 kcal),0,70,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
9,Algues grillees,0087703153684,,,,,,,,,,['France'],[],[],,?,,348,,0,,"43,5",,"43,5",,,,,,,,,1456 kj(348 kcal),0,0,"4,9","1,96",,,,,,,,,,,,,,,,,,,,,,,,,
10,Terrine de campahne aux cèpes - Duc De Pressac,3432770048178,,,,['Duc De Pressac'],['Terrines'],,,,,['France'],[],[],,?,,291,-3%,25,-3%,"2,5",+15%,14,0%,,,,,,,,1218 kj(291 kcal),"8,9",0,"1,8","0,72",,25 g,en quantité élevée,8.9 g,en quantité élevée,0 g,en faible quantité,1.8 g,en quantité élevée,-3%,-6%,-100%,+18%,+18%,18,+2%,D,+2%,,,,,,,
11,Truffes fantaisies - Mathez,3481291010249,,,,['Mathez'],"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Confiseries', 'Confiseries chocolatées', 'Bonbons de chocolat', 'Truffes en chocolat']",,,,,['France'],"['graisses végétales ', 'coprah', 'palmiste', 'sucre cacao maigre en poudre', 'lactosérum en poudre', 'cacao en poudre', 'émulsifiant : lécithines de soja']","['Huile de palme', 'Non végétalien', 'Peut-être végétarien']",4,?,,600,+3%,46,+6%,41,+1%,"4,1",-13%,,,,,,,,2510 kj(600 kcal),39,39,"0,12","0,048",,46 g,en quantité élevée,39 g,en quantité élevée,39 g,en quantité élevée,0.12 g,en faible quantité,+3%,+19%,+6%,-8%,-8%,25,+5%,E,+5%,['E322i - Lécithine'],['Huile de palme'],,,,,
12,"Pois Gourmand,",3760055450607,,,,,,,,,,['France'],[],[],,?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Pain seigle,0207029009124,,,,,,,,,,['France'],[],[],,?,,232,,3,,43,,8,,,,,,,,,971 kj(232 kcal),1,1,1,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,
14,Foie gras de canard entier - Foie Gras Jacquin,,B,,,['Foie Gras Jacquin'],"['Poissons et viandes et oeufs', 'Foies gras', 'Foies gras de canard', 'Foies gras entiers', 'Foies gras de canard entiers']",['Sans nitrite de sodium'],,,,['France'],"['Foie gras 98%', 'sel et poivre 2%']",[],3,?,,?,,?,,?,,?,,70.7%,8.0%,8.5%,7.3%,4.3%,1.2%,89,,,,,,,,,,,,,,,,,,,,,,,,,,"['FR 46.152.001 CE', 'Lamothe-Fénelon (Lot, France)']",,,,
15,Saumon sauvage Alaska - Kritsen,3321431025798,,,,['Kritsen'],,,,,,['France'],[],[],,?,,127,,"3,4",,0,,24,,,,,,,,,531 kj(127 kcal),"0,7",0,3,"1,2",,,,,,,,,,,,,,,,,,,,,,,,,
