,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_fat_tr,nutriment_carbohydrates_tr,nutriment_proteins_tr,nutriment_energy_tr,nutriment_saturated-fat_tr,nutriment_sugars_tr,nutriment_salt_tr,nutriment_sodium_tr,traceability_code,categories,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_proteins_tr_diff,eco_score,quantity,brand,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_sugars_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,labels,packaging,allergens,ingredients_origins,additives,nova_score,markets,generic_name,brand_owner,manufacturing,link,producer_info,palm_ingredients
0,Biscuits graines et pepites,31309950,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Gâteau de semoule poire,3374270425595,['France'],[],[],?,121,3,"20,1","3,5",506 kj(121 kcal),"1,75","16,3","0,12","0,048",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Avocat,3760187780542,['France'],[],[],?,?,?,?,?,,,,,,"['EMB 13027', 'Châteaurenard (Bouches-du-Rhône, France)']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Blue Sky Crystal Menth Candy,5060243070913,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Oeufs de saumon,5450266010353,['France'],[],[],?,?,?,?,?,,,,,,,"['Conserves', 'Frais', 'Œufs de poisson', 'Semi-conserves', 'Oeufs de saumon']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Saucisses à l'ancienne x4,2654209032546,['France'],[],[],?,212,16,6,16,887 kj(212 kcal),6,"0,7",2,"0,8","['FR 56.094.013 CE', 'Kervignac (Morbihan, France)']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Miel de printemps - Les Ruchers des Ducs de Lorraine - 500g,3770007054012,['France'],[],[],?,?,?,?,?,,,,,,,"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels', 'Miels français']",,,,,,B,500 g,['Les Ruchers des Ducs de Lorraine'],87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Freson de palos,8425697002236,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Laitue Iceberg,3662954000955,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Guimauve tressée - Sucralys,3760195986011,['France'],[],[],?,324,0,73,5,1356 kj(324 kcal),0,66,"0,01","0,004",,,,,,,,,,['Sucralys'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Filet de poulet,2424503039035,['France'],[],[],?,95,"0,6","1,2",21,397 kj(95 kcal),0,0,1,"0,4",,"['Viandes', 'Volailles', 'Poulets', 'Filets de poulet']",,-27%,-79%,+151%,-8%,D,,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,0.6 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,1 g,en quantité modérée,-27%,-100%,-100%,+33%,+33%,0,,B,,,,,,,,,,,,,,
11,Lunettes de Romans,6319281000109,['France'],[],[],?,442,15,70,"6,3",1849 kj(442 kcal),11,31,"0,23","0,092",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Appelsin  orange,0200030078561,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Andouille de guemene,2316621008300,['France'],[],[],?,233,19,"0,5",15,975 kj(233 kcal),10,"0,5","1,9","0,76",,['Fr:Andouille de Guémené'],,-5%,-5%,+62%,-9%,,,,,,,,,,,19 g,en quantité modérée,10 g,en quantité élevée,0.5 g,en faible quantité,1.9 g,en quantité élevée,-5%,-1%,+97%,-24%,-24%,19,-12%,E,-12%,,,,,,,,,,,,,
14,Epicerie / Boissons Et Vins / Bières Bio,3760009533035,['France'],[],[],?,?,?,?,?,,,,,,,"['Boissons', 'Boissons alcoolisées', 'Vins']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Bio'],,,,,,,,,,,,
15,Sandwich emmental oeuf,3496100002018,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,9210805994911,9210805994911,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Mystic-dragon - Capri-Sun,3760079798327,['France'],[],[],?,36,"0,5","8,7","0,5",151 kj(36 kcal),"0,1","8,6","0,01","0,004",,,,,,,,,,['Capri-Sun'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Ajdovi Struklji s Skuto - 400g,3838700080803,"['France', 'Italie']",[],[],?,?,?,?,?,,,,,,,,,,,,,,400 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Pirini Piskoti z Visnjevim Polnilom - 300g,3831029340214,"['France', 'Italie']",[],[],?,?,?,?,?,,,,,,,,,,,,,,300 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
