,name,bar_code,eco_score,categories,sales_countries,ingredients_list,ingredients_analysis,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,labels,quantity,brand,packaging,ingredients_origins,markets,nova_score,traceability_code,generic_name,manufacturing,link,allergens,additives,brand_owner,palm_ingredients
0,Fromage nature à tartiner,94355253,D,"['Produits laitiers', 'Produits fermentés', 'Produits à tartiner', 'Produits laitiers fermentés', 'Produits à tartiner salés', 'Fromages', 'Fromages à tartiner']",['France'],[],[],17.8 g,en quantité modérée,13.2 g,en quantité élevée,3 g,en faible quantité,1.3 g,en quantité modérée,?,,205,-12%,858 kj(205 kcal),-13%,"17,8",-15%,"13,2",-6%,3,-11%,3,+1%,"8,3",-1%,"1,3",+11%,"0,52",+11%,12,0%,D,0%,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,,,,,,,,,,,,,,,
1,Bresil noix,0200945015194,D,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Fruits à coques et dérivés', 'Fruits à coques', 'Noix du Brésil']",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,82.2%,1.7%,3.2%,10.8%,2.2%,0.0%,45,,,,,,,,,,,,,,,
2,Fan pop,8005533041898,,,['France'],[],[],,,,,,,,,?,,390,,1632 kj(390 kcal),,0,,0,,98,,65,,0,,"0,2",,"0,08",,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Glace cointreau aux écorces d'oranges confites,3576370711374,,,['France'],[],[],,,,,,,,,?,,162,,678 kj(162 kcal),,"6,5",,"4,7",,"19,4",,"18,8",,"4,2",,"0,2",,"0,08",,,,,,,,,,,,,,,,,,,,,,,,,,,
4,organic matcha green,0070734538230,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,"['Bio', 'Bio européen']",,,,,,,,,,,,,,
5,2 filets de poulet,2297320020070,D,"['Viandes', 'Volailles', 'Poulets', 'Filets de poulet']",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,,,,,,,,,,,,,,
6,Moutarde miel romarin,3701233530070,B,"['Epicerie', 'Condiments', 'Sauces', 'Moutardes', 'Moutardes au miel']",['France'],[],[],38.2 g,en quantité élevée,3.97 g,en quantité modérée,1.06 g,en faible quantité,4.34 g,en quantité élevée,?,,380,+77%,1590 kj(380 kcal),+78%,"38,171",+278%,"3,97",+445%,"4,16",-76%,"1,06",-93%,"4,87",-13%,"4,34",+20%,"1,736",+20%,17,+20%,D,+20%,57.4%,14.5%,21.8%,4.8%,1.5%,0.0%,75,,,,,,,,,,,,,,,
7,Le crabot,0201701033919,,,['France'],[],[],,,,,,,,,?,,360,,1506 kj(360 kcal),,0,,0,,7,,0,,25,,92,,"36,8",,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Boost,3583310000153,,,['France'],[],[],,,,,,,,,?,,361,,1510 kj(361 kcal),,"0,02",,"0,02",,"85,4",,"60,5",,"4,7",,"0,02",,"0,008",,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Jus de pomme,3760201370155,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Mélange tandoori,3760116741583,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Apéritif noix,3435569915842,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Sport gel,8054956340439,,,['France'],[],[],,,,,,,,,?,,280,,1172 kj(280 kcal),,0,,0,,70,,45,,0,,"0,26",,"0,104",,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Escalope de dinde,0212700013321,D,"['Viandes', 'Volailles', 'Dindes', 'Escalopes de dinde']",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,84.3%,9.9%,2.2%,2.3%,1.1%,0.3%,37,,,,,,,,,,,,,,,
14,Gaufrette fourrage chocolat noisette - 75g,3760166541034,,,['France'],[],[],,,,,,,,,?,,537,,2247 kj(537 kcal),,30,,16,,60,,35,,"5,4",,"0,23",,"0,092",,,,,,,,,,,,,,75 g,,,,,,,,,,,,,
15,Huile d'olive fruité mûr,3760178640176,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Le Farci Poitevin,0212454031428,,,['France'],[],[],,,,,,,,,?,,528,,2209 kj(528 kcal),,"9,3",,"3,48",,"5,8",,"3,7",,"3,95",,"1,62",,"0,648",,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Émincé d'agneau provencal,0211111073474,,,['France'],[],[],,,,,,,,,?,,226,,946 kj(226 kcal),,18,,"6,3",,"1,1",,"0,9",,15,,"1,1",,"0,44",,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Banane Cayendish BIOLOGIQUE,2228462010100,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,['Bio'],,,,,,,,,,,,,,
19,Chocolat,7443011340162,,"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats']",['France'],[],[],40 g,en quantité élevée,24 g,en quantité élevée,20 g,en quantité élevée,0 g,en faible quantité,?,,560,+1%,2343 kj(560 kcal),+2%,40,+10%,24,+14%,44,-5%,20,-51%,12,+66%,0,-100%,0,-100%,20,-15%,E,-15%,,,,,,,,,,,,,,,,,,,,,,
20,Yogur,8437003152122,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,BCAA ZERO - Biotechusa,5999076228973,,"['Compléments alimentaires', 'Compléments pour le Bodybuilding', 'Acides aminés ramifiés']",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,['Biotechusa'],,,,,,,,,,,,
22,Sirop de coco - Comptoirs et compagnies,70831818,,,['France'],[],[],,,,,,,,,?,,290,,1213 kj(290 kcal),,"0,8",,"0,01",,"72,1",,"72,08",,"0,5",,"0,04",,"0,016",,,,,,,,,,,,,"['Bio', 'en:gluten-free']",,['Comptoirs et compagnies'],,,,,,,,,,,,
23,20773120,20773120,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,"['Agriculture durable', 'en:UTZ Certified']",,,,,,,,,,,,,,
24,Ballantine's finest blended scotch whisky,3047100601147,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Karlsbader oblaten,8594014080070,,,['France'],[],[],,,,,,,,,?,,362,,1515 kj(362 kcal),,"7,9",,"3,1",,71,,53,,"2,8",,"0,07",,"0,028",,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Psyllium Bio Ab 200 Gélules Végétales 410 MG,3760192460736,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,['Bio'],,,,,,,,,,,,,,
27,Blanche,0634158719677,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
