,name,bar_code,eco_score,generic_name,quantity,packaging,brand,categories,labels,traceability_code,markets,sales_countries,ingredients_list,allergens,ingredients_analysis,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,additives,manufacturing,link,ingredients_origins,origin_detail,producer_info,palm_ingredients,brand_owner
0,Ravioli boeuf recette aux oeufs frais - Casino - 300g,3222472577874,E,"Pâtes à la farine de blé tendre et à la semoule de blé dur, aux œufs frais, farce (50%) à la viande de bœuf.",300 g,"['Barquette', 'Plastique']",['Casino'],"['Plats préparés', 'Produits à la viande', 'Plats à base de pâtes', 'Plats préparés à la viande', 'Pâtes farcies', 'Plats au bœuf', 'Pates farcies à la viande', 'Ravioli', 'Ravioli à la viande', 'Raviolis au bœuf']","['Viande-francaise', 'Viande-bovine-francaise']","['EMB 73065A', 'Chambéry (Savoie, France)']",['Casino'],['France'],"['Farine de blé tendre 25% - viande de boeuf 24% ', 'origine: france', ' - semoule de blé dur 10,7% - eau - œufs frais 10% - chapelure ', 'farine de blé tendre - eau - sel - levure - farine de blé malté', ' - poudre de lactosérum - huile de tournesol - carottes 0,7% - oignons 0,7% - sel - oignon grillé déshydraté - ail en poudre - épices', ' traces de crustacés', 'poissons', 'fruits à coque', 'céleri et mollusques']","['Céleri', 'Œufs', 'Gluten', 'Lait']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",4,2.6 g,en faible quantité,0.5 g,en faible quantité,7.1 g,en quantité modérée,0.83 g,en quantité modérée,1025,+97%,242,+78%,1025 kj(242 kcal),+82%,"2,6",-25%,"0,5",-59%,42,+126%,"7,1",+182%,12,+118%,"0,83",-7%,"0,332",-7%,1,-54%,B,-54%,92.9%,3.7%,1.3%,1.1%,0.6%,0.4%,19,,,,,,,,
1,Sauce crudités fines herbes - Casino - 500ml,3222472635604,D,"Sauce pour salades, à l'huile de colza, aux vinaigres et aux fines herbes",500 ml,,['Casino'],"['Epicerie', 'Sauces', 'Sauces crudités']",,,['Casino'],['France'],"[""Eau - huile de colza 40% - vinaigre d'alcool 3,5% - sucre - fines herbes réhydratées 3% "", 'estragon', 'persil', 'cerfeuil', "" - jaunes d'œufs - vinaigre de vin blanc 2,6% - sel - amidon transformé de pomme de terre - lait entier en poudre - jus de citron concentré - épaississant : gomme xanthane - acidifiant : acide lactique - conservateur : sorbate de potassium - arômes "", 'contient céleri', 'moutarde', ' - poivre']","['Céleri', 'Œufs', 'Lait', 'Moutarde']","['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",4,38 g,en quantité élevée,3 g,en quantité modérée,3.1 g,en faible quantité,2.2 g,en quantité élevée,1471,+19%,357,+26%,1471 kj(357 kcal),+24%,38,+37%,3,+29%,"3,1",-49%,"3,1",-19%,"0,7",-19%,"2,2",+3%,"0,88",+3%,15,+8%,D,+8%,80.2%,9.6%,5.0%,3.2%,1.6%,0.4%,49,"['E14XX - Amidons modifiés', 'E415 - Gomme xanthane', 'E270 - Acide lactique', 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition']",,,,,,,
2,Filets de maquereaux à l'escabèche - Casino - 169g,3222472670261,D,Filets de maquereaux à la sauce escabèche,169 g,"['Boîte métal et couvercle métal à recycler', 'Conserve', 'Couvercle ouverture facile']",['Casino'],"['Conserves', 'Produits de la mer', 'Poissons', 'Poissons en conserve', 'Filets de poissons', 'Maquereaux', 'Filets de maquereaux', ""Filets de maquereaux à l'escabeche"", 'Maquereaux en conserve']","['Point Vert', 'Riche en Oméga-3', 'Fabriqué au Portugal', 'Omega-3', 'Eco-Emballages']","['PT C 241 1 P CE', 'EMB 29046D', 'Douarnenez (Finistère, France)']",['Casino'],['France'],"['Filets de maquereaux cuits au court-bouillon ', 'filets de maquereaux 55% - sel - épices et aromates', "" - eau - huile de colza - vinaigre d'alcool 8% - concentré de tomates 2% - oignon déshydraté 2% - ail déshydraté 0,5% - sucre - sel - échalote déshydratée - arôme naturel d'oignon - poivre - épaississants : gomme guar et gomme xanthane - persil - colorant : extrait de paprika"", ' Traces de lait et moutarde']","['Poisson', 'Lait']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",4,15 g,en quantité modérée,4.5 g,en quantité modérée,1.7 g,en faible quantité,0.7 g,en quantité modérée,915,+6%,220,+5%,915 kj(220 kcal),+5%,15,-7%,"4,5",+27%,"9,2",+151%,"1,7",+10%,12,0%,"0,7",-21%,"0,28",-21%,4,+24%,C,+24%,39.4%,14.2%,30.5%,14.0%,0.9%,0.9%,45,"['E412 - Gomme de guar', 'E415 - Gomme xanthane', 'E160c - Extrait de paprika']","['European Seafood Investments Portugal - ESIP (Filiale MWBrands) - Avenida Monsenhor Manuel Bastos Rodrigues De Sousa - 2520-206 Peniche', 'Leiria', 'Centre', 'Portugal', 'Pour', 'Etablissements Paul Paulet - EPP (Filiale MWBrands) - 4 Rue du Pont Dinou - ZI de Pouldavid - 29100 Douarnenez', 'Finistère', 'Bretagne', 'France']",http://www.casinodrive.fr/ecommerce/affichageDetailProduit/WE80205/F-47172-poissons-en-conserve/P-50803-casino-filets-maquereaux-a-l%27escabeche,,,,,
3,Allumettes de Lardons Fumés - Casino - 200g,3222472676980,D,Lardons fumés de qualité supérieure,200 g,"['2 barquettes plastiques', 'Sous atmosphère protectrice']",['Casino'],"['Viandes', 'Charcuteries', 'Charcuteries diverses', 'Allumettes de porc', 'Lardons de porc', 'Lardons de porc fumés']",['Fumé au bois de hêtre'],"['FR 44.180.004 CE', 'Saint-Mars-la-Jaille (Loire-Atlantique, France)']",['Casino'],"['France', 'Thaïlande']","['poitrine de porc - sel - acidifiants : lactate de potassium et acétates de sodium - dextrose - antioxydant : érythorbate de sodium - conservateur : nitrite de sodium', ' Fumage au bois de hêtre']",,"['Sans huile de palme', 'Non végétalien', 'Non végétarien']",4,19 g,en quantité modérée,7.4 g,en quantité élevée,0.7 g,en faible quantité,2.3 g,en quantité élevée,1016,-4%,245,-8%,1016 kj(245 kcal),-8%,19,-12%,"7,4",-10%,"1,4",+71%,"0,7",+9%,17,+4%,"2,3",-13%,"0,92",-13%,20,0%,E,0%,85.6%,9.1%,2.1%,1.8%,1.1%,0.3%,36,"['E326 - Lactate de potassium', 'E262 - Acétates de sodium', 'E316 - Érythorbate de sodium', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition']",['France'],,['Union européenne'],,,,
4,EMINI CAKES AUX PEPITES DE CHOCOLAT - Casino Bio - 150g,3222472707134,D,"PETITS CAKES AUX PEPITES DE CHOCOLAT, ISSUS DE L AGRICULTURE BIOLOGIQUE",150 g,"['Boîte', 'Carton', 'Plastique']","['Casino Bio', 'Casino']","['Snacks', 'Desserts', 'Snacks sucrés', 'Biscuits et gâteaux', 'Gâteaux', 'Gâteaux au chocolat']","['Bio', 'Bio européen', 'AB Agriculture Biologique', 'Agriculture UE/Non UE', 'FR-BIO-01', 'Point Vert']","['EMB 59599D', 'Tourcoing (Nord, France)']",['Casino'],['France'],"['Farine de blé* - sucre mi-blanc de canne* 20% - oeufs* - huile de colza* - pépites de chocolat noir* 12% ', 'sucre de canne* - pâte de cacao* - beurre de cacao* - extrait de vanille*', "" - jaunes d'oeufs* en poudre réhydratés - sirop d'agave* 3"", ""6% - gomme d'acacia* - rhum - extrait de vanille* - poudres à lever : tartrates de potassium"", 'carbonates de sodium - sel marin', 'traces de lait', ""* ingrédients issus de l'agriculture biologique""]","['Œufs', 'Gluten']","['Sans huile de palme', 'Non végétalien', 'Végétarien']",4,25 g,en quantité élevée,4.9 g,en quantité modérée,31 g,en quantité élevée,0.6 g,en quantité modérée,1808,-1%,433,-1%,1808 kj(433 kcal),-1%,25,+6%,"4,9",-38%,44,-11%,31,+1%,"6,5",+13%,"0,6",+15%,"0,24",+15%,14,-24%,D,-24%,82.4%,11.4%,2.3%,2.6%,1.2%,0.0%,38,"[""E414 - Gomme d'acacia"", 'E336 - Tartrates de potassium', 'E500 - Carbonates de sodium']",,,,,,,
5,Compote pocket Pomme-Fraise / Pomme-Vanille - Casino - 4x 90g,3222472729952,A,2 gourdes de compote de pommes et de fraises allégée en sucres* 2 gourdes de compote de pommes à la vanille allégée en sucres* *30% de sucres en moins par rapport à une compote classique.,4 x 90 g,"['Carton', 'Gourdes']",['Casino'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Desserts', 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Compotes', 'Compotes de pomme', 'Compotes à boire', 'Compotes pommes fraise']",,,['Casino'],['France'],"['Pomme-fraise ', '2 gourdes', ' Purée de pommes 72', '2 % - purée de fraises 20% - sucre - purée de cassis - antioxydant : acide ascorbique', 'Pomme-vanille ', '2 gourdes', ' Purée de pommes 94', '3 % - sucre - arôme naturel de vanille 0', '5 % - antioxydant : acide ascorbique']",,[],4,0 g,en faible quantité,0 g,en faible quantité,14 g,en quantité élevée,0 g,en faible quantité,305,+20%,72,+18%,305 kj(72 kcal),+18%,0,-100%,0,-100%,17,+26%,14,+13%,0,-100%,0,-100%,0,-100%,-4,,A,,32.9%,28.7%,15.1%,13.7%,7.6%,2.1%,96,['E300 - Acide ascorbique'],,,,,,,
6,Yaourts crémeux aux fruits avec morceaux (fraise - abricot - poire - nectarine - mûre - cerise) - Casino - 8x 125g,3222472765936,C,"Yaourt sucré au lait entier, à la crème et aux fruits",8 x 125 g,,['Casino'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Yaourts', 'Yaourts aux fruits', 'Yaourts aux fruits avec morceaux']",,,['Casino'],['France'],"['lait entier 64', '4% - fruits 10,5% ', 'fraise ou abricot ou poire ou nectarine ou mûre ou cerise', ' - sucre 9,3% - crème 4,1% - lait concentré à base de poudre de lait écrémé - sirop de glucose-fructose 1,7% - amidon transformé de maïs - épaississants : pectines', 'gomme guar', 'gomme xanthane - arômes - colorants : anthocyanes', 'cochenille', 'extrait de paprika', ""lutéine - correcteurs d'acidité : citrates de sodium"", 'acide citrique', 'citrates de potassium', 'phosphates de calcium', 'citrates de calcium - ferments lactiques ', 'contient lait', 'lait et crème origine : france']",['Lait'],"['Non végétalien', 'Non végétarien']",4,4 g,en quantité modérée,2.7 g,en quantité modérée,14 g,en quantité élevée,0.15 g,en faible quantité,457,+29%,109,+31%,457 kj(109 kcal),+29%,4,+86%,"2,7",+94%,15,+26%,14,+26%,"3,2",-12%,"0,15",+20%,"0,06",+20%,5,+189%,C,+189%,79.1%,8.8%,4.4%,4.5%,2.5%,0.7%,69,"['E14XX - Amidons modifiés', 'E440 - Pectines', 'E412 - Gomme de guar', 'E415 - Gomme xanthane', 'E163 - Anthocyanes', 'E120 - Acide carminique', 'E160c - Extrait de paprika', 'E161b - Lutéine', 'E331 - Citrates de sodium', 'E330 - Acide citrique', 'E332 - Citrates de potassium', 'E341 - Phosphates de calcium', '', 'Risque élevé de sur-exposition', 'E333 - Citrates de calcium']",,,,,,,
7,Beurre traditionnel doux - Casino - 125g,3222472774709,D,Beurre traditionnel pasteurisé doux à 82% de matières grasses,125 g,"['Papier', 'Triman', 'Point vert', 'Feuille papier à recycler', 'Papier']",['Casino'],"['Produits laitiers', 'Matières grasses', 'Produits à tartiner', 'Matières grasses à tartiner', 'Matières grasses animales', 'Matière grasse laitière', 'Produits laitiers à tartiner', 'Beurres', 'Beurres de crème douce']",,"['FR 35.239.005 CE', 'Retiers (Ille-et-Vilaine, France)']",['Casino'],['France'],"['Crème de lait pasteurisée ', 'origine : UE', ' - ferments lactiques ', 'contient lait']",['Lait'],"['Sans huile de palme', 'Non végétalien', 'Végétarien']",2,82 g,en quantité élevée,57 g,en quantité élevée,0.5 g,en faible quantité,0.03 g,en faible quantité,3054,+2%,743,+1%,3054 kj(743 kcal),+0%,82,+1%,57,+3%,"0,5",-29%,"0,5",-22%,"0,7",+1%,"0,03",-46%,"0,012",-46%,19,+1%,E,+1%,91.6%,4.9%,1.3%,1.2%,0.8%,0.2%,27,,,,,,,,
8,Lait fermenté au Bifidus* saveur citron - Casino - 4x 125g,3222472777526,B,"Lait fermenté entier, sucré et aromatisé saveur citron, au bifidus*",4 x 125 g,"['Frais', 'Pot', 'Plastique']",['Casino'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Yaourts', 'Yaourts au Bifidus', 'Yaourts aromatisés', 'Yaourts au bifidus aromatisés', 'Yaourts sucrés']",,"['FR 89.209.001 CE', 'Jouy (Yonne, France)', 'EMB 89209', 'Jouy (Yonne, France)']",['Casino'],"['France', 'Hong Kong']","['Lait entier 88% ', 'origine : France', ' - sucre 8,6% - poudre de lait écrémé ', 'origine : UE', ' - arôme naturel de citron avec autres arômes naturels - ferments lactiques dont Bifidobacterium* ', 'contient lait']",['Lait'],"['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",4,2.9 g,en faible quantité,1.9 g,en quantité modérée,12 g,en quantité modérée,0.12 g,en faible quantité,367,-4%,87,-4%,367 kj(87 kcal),-5%,"2,9",-3%,"1,9",-3%,12,-6%,12,-4%,"3,3",-8%,"0,12",-0%,"0,048",-0%,2,-10%,B,-10%,56.7%,18.0%,11.6%,7.6%,4.8%,1.3%,91,,,,,,,,
9,Pâté de jambon qualité supérieure 3x78 g (234 g) Pur porc français Casino - 3x 78g,3222472857044,,Pâté de jambon qualité supérieure 3 x 78 g (234g) Pur porc français de Bretagne Casino,3 x 78 g,"['Conserve', 'Carton', 'Métal']",['Casino'],"['Viandes', 'Charcuteries', 'Pâtés charcutiers', 'Pâtés de jambon']","['Viande-francaise', 'Viande Porcine Française', 'Point Vert', 'Pur porc', 'Élaboré en Bretagne']","['EMB 56010B', 'Baud (Morbihan, France)', 'FR 56.010.001 CE', 'Baud (Morbihan, France)']",['Casino'],"['France', 'La Réunion']",['Viande de porc dont jambon 20% - plasma de porc - sel - poivre - farine de noisette - ail - arôme - conservateur : nitrite de sodium'],['Fruits à coque'],"['Non végétalien', 'Non végétarien']",4,26 g,en quantité élevée,11 g,en quantité élevée,0.3 g,en faible quantité,1.9 g,en quantité élevée,1227,+10%,296,+3%,1227 kj(296 kcal),+3%,26,+7%,11,+22%,"0,6",-74%,"0,3",-68%,15,+8%,"1,9",+17%,"0,76",+17%,21,+18%,E,+18%,,,,,,,,"['E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition']","['Bretagne', 'France']",,['France'],,,,
