,name,bar_code,brand,categories,labels,sales_countries,ingredients_list,ingredients_analysis,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,traceability_code,packaging,eco_score,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,quantity,markets,brand_owner,nova_score,generic_name,link,additives,allergens,ingredients_origins,manufacturing,origin_detail
0,Spaghetti - Il Viaggiator Goloso,8000633046958,['Il Viaggiator Goloso'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Pâtes alimentaires', 'Spaghetti']","['Bio', 'Bio européen', 'IT-BIO-008']",['France'],[],[],2.9 g,en faible quantité,0.7 g,en faible quantité,0.9 g,en faible quantité,0 g,en faible quantité,?,,347,-1%,1452 kj(347 kcal),-2%,"2,9",+66%,"0,7",+89%,67,-3%,"0,9",-70%,11,-7%,0,-100%,0,-100%,-5,,A,,,,,,,,,,,,,,,,,,,,,,
1,Terrine de chevreuil saint Hubert,3328880010238,,"['Viandes', 'Charcuteries', 'Produits à la viande', 'Terrines', 'Terrines de chevreuil']",,['France'],[],[],29.8 g,en quantité élevée,10.2 g,en quantité élevée,0.4 g,en faible quantité,1.4 g,en quantité modérée,?,,330,+6%,1381 kj(330 kcal),+6%,"29,8",+14%,"10,2",+6%,"2,2",+49%,"0,4",-3%,"13,3",-9%,"1,4",-10%,"0,56",-10%,20,+9%,E,+9%,"['FR 13.001.003 CE', 'Aix-en-Provence (Bouches-du-Rhône, France)']",,,,,,,,,,,,,,,,,,,,
2,Baguette de campagne,,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Cake aux fruits confits,3294518000226,,,,['France'],[],[],,,,,,,,,?,,351,,1469 kj(351 kcal),,13,,"8,5",,53,,27,,"4,5",,"0,65",,"0,26",,,,,,,,,,,,,,,,,,,,,,,,,,
4,Eau de source,02932873,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,['Bouteille en plastique'],,,,,,,,,,,,,,,,,,,
5,Miel printemps - Les Ruchers de la Courcelle,3770011150144,['Les Ruchers de la Courcelle'],"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels']",,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,B,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,,,,,,,,,,,
6,Pilons de poulet halal,3531940409006,,,"['Halal', 'Nutriscore', 'Nutriscore A', 'Société Française de Contrôle de Viande Halal']",['France'],[],[],,,,,,,,,?,,155,,649 kj(155 kcal),,"9,05",,"2,49",,0,,0,,"18,4",,"0,23",,"0,092",,,,,,,"['Film en plastique', 'Barquette en plastique']",,,,,,,,,,,,,,,,,,,
7,"Porc au curry, épinard et pâtes",3770014057563,,,,['France'],[],[],,,,,,,,,?,,268,,1121 kj(268 kcal),,"6,6",,2,,"34,7",,"0,1",,16,,"1,4",,"0,56",,,,,,,,,,,,,,,,,,,,,,,,,,
8,Chipolatas,2100110002951,,"['Viandes', 'Charcuteries', 'Saucisses', 'Saucisses françaises', 'Chipolatas']",,['France'],[],[],,,,,,,0 g,en faible quantité,?,,?,,,,?,,,,?,,,,?,,0,-100%,0,-100%,,,,,,,E,86.2%,9.9%,1.8%,1.2%,0.7%,0.2%,24,,,,,,,,,,,
9,Tarte citron meringuée a l'italienne,0204188032734,,,,['France'],[],[],,,,,,,,,?,,329,,1377 kj(329 kcal),,16,,"9,3",,42,,27,,"4,2",,"0,14",,"0,056",,,,,,,,,,,,,,,,,,,,,,,,,,
10,Mini comtesse - 150g,3760014990632,,,,['France'],[],[],,,,,,,,,?,,328,,1372 kj(328 kcal),,28,,20,,"0,9",,"0,9",,19,,1,,"0,4",,,,,,"['FR 03.094.002 CE', 'Creuzier-le-Vieux (Allier, France)']",,,,,,,,,,150 g,,,,,,,,,,
11,Tropézienne,0201185021655,,"['Tartes', 'Tartes sucrées', 'Tartes tropéziennes']",,['France'],[],[],7.2 g,en quantité modérée,5.8 g,en quantité élevée,24 g,en quantité élevée,0.51 g,en quantité modérée,?,,260,-5%,1088 kj(260 kcal),-5%,"7,2",-29%,"5,8",-15%,41,+5%,24,+19%,"4,7",+10%,"0,51",+2%,"0,204",+2%,15,-1%,D,-1%,,,,,,,,,,,,,,,,,,,,,
12,Anchois marines a l'ail - 500g,5425001780020,,,,['France'],[],[],,,,,,,,,?,,159,,665 kj(159 kcal),,"8,5",,"1,7",,"0,8",,"0,5",,"19,9",,"2,1",,"0,84",,,,,,,,,,,,,,,,500 g,,,,,,,,,,
13,Mini raisins - Morrisons,5010251618539,['Morrisons'],,['Sans sucre ajouté'],['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Bulle blonde,0660042929198,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Caprice des Anges - Caprice des Dieux - 200g,3480341002470,"['Caprice des Dieux', 'Savencia']","['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de vache', 'Fromages de France']",,['France'],[],[],24 g,en quantité élevée,17 g,en quantité élevée,2.5 g,en faible quantité,1.2 g,en quantité modérée,1015,-25%,246,-27%,1015 kj(246 kcal),-28%,24,-12%,17,-8%,"2,5",+223%,"2,5",+479%,5,-77%,"1,2",-14%,"0,48",-14%,15,+5%,D,+5%,,['Frais'],D,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,200g,,,,,,,,,,
16,Pain crème,0256819019614,,,,['France'],[],[],,,,,,,,,?,,299,,1251 kj(299 kcal),,14,,9,,38,,12,,"5,2",,"0,98",,"0,392",,,,,,,,,,,,,,,,,,,,,,,,,,
17,Banane bio République Dominicaine,2250106001557,,,['Bio'],['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Macaron framboise,0202632013124,,,,['France'],[],[],,,,,,,,,?,,372,,1556 kj(372 kcal),,12,,"0,9",,55,,54,,"7,9",,"0,15",,"0,06",,,,,,,,,,,,,,,,,,,,,,,,,,
19,Pti gourmand nestle  bio,18838787,['Nestlé'],,"['Bio', 'Agriculture UE/Non UE']",['France'],[],[],,,,,,,,,?,,89,,372 kj(89 kcal),,"3,5",,"1,5",,"10,5",,"7,3",,"3,3",,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Gaufre liegeoise - 300g,3760250173516,,,['Fabriqué en Belgique'],['France'],[],[],,,,,,,,,?,,478,,2000 kj(478 kcal),,"27,1",,"13,9",,"51,3",,"29,1",,"5,9",,"0,5",,"0,2",,,,,,,,,,,,,,,,300 g,,,,,,,,,,
21,Saucisses au fromage - Auchan,3289744281600,['Auchan'],,,['France'],[],[],,,,,,,,,?,,278,,1163 kj(278 kcal),,25,,"8,3",,"1,4",,"1,2",,13,,"2,8",,"1,12",,,,,,"['FR 67.348.008 CE', 'Obernai (Bas-Rhin, France)']",,,,,,,,,,,['Auchan'],,,,,,,,,
22,Epices KING Eco Gingembre moulu - 200g,3760283861077,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Epicerie', 'Condiments', 'Epices', 'Gingembre', 'Gingembre en poudre', 'en:Gingembre moulu']",,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,B,37.8%,0.0%,31.7%,20.0%,10.4%,0.0%,93,200 g,,,,,,,,,,
23,Nougat au miel,3760206041081,,"['Snacks', 'Snacks sucrés', 'Confiseries', 'Nougats']",,['France'],[],[],16 g,en quantité modérée,1.3 g,en faible quantité,58 g,en quantité élevée,0.03 g,en faible quantité,?,,446,-0%,1866 kj(446 kcal),-0%,16,-3%,"1,3",-34%,65,-1%,58,+7%,"8,2",+15%,"0,03",-60%,"0,012",-60%,16,0%,D,0%,,,E,91.0%,4.2%,2.3%,2.0%,0.5%,0.0%,34,,,,,,,,,,,
24,Saucisson sec,2688492034703,,,"['Viande Française', 'Viande Porcine Française', 'Sans colorants']",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Vsop,3047100228108,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Pâte à tartiner,5412778000314,,,,['France'],[],[],,,,,,,,,?,,459,,1920 kj(459 kcal),,"22,4",,"17,6",,61,,61,,"2,5",,"0,25",,"0,1",,,,,,,,,,,,,,,,,,,,,,,,,,
27,Saucisse de foie,3346380001020,,,,['France'],[],[],,,,,,,,,?,,447,,1870 kj(447 kcal),,"35,6",,"14,5",,"3,1",,"1,9",,"29,8",,"5,27",,"2,108",,,,,,,,,,,,,,,,,,,,,,,,,,
28,ABONDANCE AOP-FRUITIER,2488012026306,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de France', 'Abondance']",,['France'],[],[],30 g,en quantité élevée,20 g,en quantité élevée,0.2 g,en faible quantité,1.5 g,en quantité modérée,?,,405,+1%,1695 kj(405 kcal),+1%,30,-9%,20,-7%,"0,5",-22%,"0,2",-29%,24,-4%,"1,5",-5%,"0,6",-5%,16,+1%,D,+1%,,,D,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,,,,,,,,,,
29,Cuisses de poulets rôti - Le Gaulois,0217637037198,['Le Gaulois'],"['Viandes', 'Volailles', 'Poulets', 'Cuisses de poulet']",,['France'],[],[],,,,,,,0 g,en faible quantité,?,,?,,,,?,,,,?,,,,?,,0,-100%,0,-100%,,,,,,,D,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,,,,,,,,,,
30,Crackers,3564700042564,,,,['France'],[],[],,,,,,,,,?,,467,,1954 kj(467 kcal),,20,,"3,3",,64,,64,,"6,6",,"1,8",,"0,72",,,,,,,,,,,,,,,,,,,,,,,,,,
31,Biere IPA bio de montagne,3701178800061,,,['Bio'],['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Violettes,3700345971559,,,['Bio'],['France'],[],[],,,,,,,,,?,,389,,1628 kj(389 kcal),,"0,3",,"0,3",,96,,69,,"0,3",,"0,3",,"0,12",,,,,,,,,,,,,,,,,,,,,,,,,,
33,Biere blanche Bio de montagne,3701178800016,,,['Bio'],['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Jambon cuit supérieur,0211405023949,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Filet de poulet frais,5941876101147,,"['Viandes', 'Volailles', 'Poulets', 'Filets de poulet']",['Halal'],['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,D,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,,,,,,,,,,
