,name,bar_code,eco_score,generic_name,quantity,packaging,brand,categories,labels,ingredients_origins,link,markets,sales_countries,ingredients_list,allergens,ingredients_analysis,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,traceability_code,manufacturing,additives,palm_ingredients,origin_detail,producer_info,brand_owner
0,Lait d'Amande Chocolat - La Mandorle - 400g,3760030721319,C,Préparation Instantanée pour Lait d'Amande au Chocolat,400g,"['Boîte', 'Métal']",['La Mandorle'],"['Aliments et boissons à base de végétaux', 'Boissons', ""Aliments d'origine végétale"", 'Fruits à coques et dérivés', 'Boissons à base de végétaux', 'Substitut du lait', 'Boissons végétales', 'Boissons végétales de fruits à coque', ""Laits d'amande""]","['Bio', 'Végétarien', 'Ecocert', 'Bio européen', 'en:gluten-free', 'Végétalien', 'Source de calcium', 'Agriculture UE/Non UE', 'FR-BIO-01', 'Sans lactose', 'Sans soja', 'Source de fer', 'en:Source-de-magnesium']","['Italie', 'Espagne', 'Sicile']",http://lamandorle.com/fr/les-poudres/11-lait-d-amande-au-chocolat.html,['www.cnola.eu'],['France'],"['amandes instantanée 35% ', ""composée d'amandes déshuilées partiellement"", 'sirop de riz déshydraté', ""fibre d'acacia"", 'chocolat 20% ', 'cacao 32%', 'sucre', 'cacao maigre 10%', 'fécule de riz', 'extrait de vanille', ""arôme naturel d'amande""]",['Fruits à coque'],"['Végétalien', 'Végétarien']",4,7 g,en quantité modérée,2 g,en quantité modérée,23 g,en quantité élevée,0.03 g,en faible quantité,?,,95,+150%,397 kj(95 kcal),+150%,7,+229%,2,+706%,62,+1567%,23,+733%,15,+1640%,"0,03",-66%,"0,012",-66%,2,+1261%,B,+1261%,82.5%,2.9%,5.0%,5.8%,2.9%,0.8%,27,,,,,,,
1,Châtaignes cuites et pelées bio - INOVFRUIT - 200g,3760032460117,C,Châtaignes,200g,"['Sous-Vide', 'Carton', 'Plastique']",['INOVFRUIT'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Fruits à coques et dérivés', 'Fruits à coques', 'Châtaignes']","['Bio', 'Bio européen', 'Sans gluten', 'en:EG-Öko-Verordnung', 'FR-BIO-16', 'Point Vert', 'Sans colorants', 'Sans conservateurs', 'Nutriscore', 'Pretes-a-servir']",,,"['Biocoop', 'Biocoop Caluire']","['France', 'Allemagne']",['100% CHÂTAIGNES bio'],,"['Sans huile de palme', 'Végétalien', 'Végétarien']",1,1 g,en faible quantité,0.25 g,en faible quantité,7.2 g,en quantité modérée,0.007 g,en faible quantité,953,+42%,225,+35%,953 kj(225 kcal),+40%,1,-25%,"0,25",-5%,"48,8",+56%,"7,2",+4%,"2,7",+4%,"0,007",-93%,"0,003",-93%,-8,,A,,93.6%,0.0%,0.0%,2.6%,3.4%,0.4%,58,,,,,,,
2,Protifoie - Foie de morue sans sel - De Bardo - 120g,3760036481811,E,,120 g,['Conserve'],['De Bardo'],"['Produits de la mer', 'Poissons', 'Morues', 'Foies de poissons', 'Foies de morue']","['Peu ou pas de sel', 'Sans sel']",['Islande'],,,['France'],"['Foie de morue ', 'huile exsudée', ' ', '100%']",['Poisson'],"['Non végétalien', 'Non végétarien']",1,52 g,en quantité élevée,8.5 g,en quantité élevée,0 g,en faible quantité,0.09 g,en faible quantité,2253,+15%,545,+23%,2253 kj(545 kcal),+22%,52,+7%,"8,5",+2%,14,+491%,0,-100%,"4,9",-19%,"0,09",-90%,"0,036",-90%,14,-14%,D,-14%,93.2%,0.0%,0.9%,5.2%,0.5%,0.1%,14,['IS 516 EFTA'],,,,,,
3,Confiture corse extra Orange Amère bio - JEAN PAUL VINCENSINI ET FILS - 360g,3760036843626,C,,360 g,"['Bocal', 'Verre', 'métal']",['JEAN PAUL VINCENSINI ET FILS'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Produits à tartiner', 'Petit-déjeuners', 'Fruits et produits dérivés', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', ""Confitures d'agrumes"", ""Confitures d'oranges amères""]","['Bio', 'Bio européen', 'AB Agriculture Biologique', 'Agriculture UE/Non UE', 'FR-BIO-01']","['France', 'Corse']",,,['France'],"['Orange amère de Corse', 'sucre de canne roux', 'pectine de fruit si nécessaire', "" *Issu de l'agriculture biologique""]",,[],4,0.3 g,en faible quantité,0 g,en faible quantité,48.8 g,en quantité élevée,0 g,en faible quantité,?,,235,+1%,983 kj(235 kcal),+1%,"0,3",+34%,0,-100%,"54,5",-2%,"48,8",-9%,"0,4",-8%,0,-100%,0,-100%,11,+10%,D,+10%,75.0%,7.5%,10.3%,5.1%,1.7%,0.4%,50,,"['France', 'Corse']",['E440 - Pectines'],,,,
4,Sandwich B'up Panini - La Boulangère - 260g e,3760049797091,B,,260 g e,"['Sachet', 'Plastique']",['La Boulangère'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pains', 'Pains spéciaux', 'Pains panini', 'Pains aux graines']","['Point Vert', 'Fabriqué en France', 'Agri-Éthique France']",,,,['France'],"['Farine de blé', 'eau', 'graines de lin 6,3 %', 'levure', ""farine d'orge maltée torréfiée"", 'huile de colza', 'gluten de blé', 'sucre', 'arôme ', 'contient alcool', 'épaississant gomme de guar', ""émulsifiant : mono - et diglycérides d'acides gras"", 'conservateur : propionate de calcium', ' Traces éventuelles de sésame et de soja']",['Gluten'],"[""Pourrait contenir de l'huile de palme"", 'Peut-être végétalien', 'Peut-être végétarien']",4,5.1 g,en quantité modérée,0.7 g,en faible quantité,2.7 g,en faible quantité,1.3 g,en quantité modérée,?,,280,+5%,1172 kj(280 kcal),+4%,"5,1",+68%,"0,7",+55%,48,-4%,"2,7",-10%,"8,7",+5%,"1,3",-3%,"0,52",-3%,0,-100%,B,-100%,56.7%,22.9%,13.4%,6.1%,0.9%,0.0%,93,,['France'],"['E412 - Gomme de guar', ""E471 - Mono- et diglycérides d'acides gras alimentaires"", 'E282 - Propionate de calcium']",,,,
5,"Un bol de riz à Ceylan - risotto mijoté aux légumes, pois chiches et lait de coco - Karine & Jeff - 380g",3760052230615,,,380 g,"['Pot', 'Verre', 'Couvercle', 'Métal']","['Karine & Jeff', 'Le bonheur est dans le pot']",['Plats-prepares-vegetariens'],"['Bio', 'Végétarien', 'Bio européen', 'Sans gluten', 'Agriculture non UE', 'Végétalien', 'Agriculture UE', 'Agriculture UE/Non UE', 'FR-BIO-01']",,,['Biocoop Caluire'],['France'],"['Eau pure du parc régional du Haut - Languedoc', 'courgettes* ', '16%', 'céleri* ', '11 %', 'lait de coco* ', '11 %: extrait de noix de coco*', 'eau', 'navets* ', '11% France', 'oignons* ', '5,3%', 'poivrons rouges* ', '5', '3 %', 'poivrons verts* ', '5,3%', 'tomates* ', '5,3 % France', 'riz rond complet* ', '4,8%', 'raisins secs*', 'pois chiches* ', '1,1% Sud-Ouest', 'sel de Guérande garanti Nature & Progrès', 'huile de tournesol première pression à froid* ', 'Sud-Ouest', 'coriandre*', 'cumin*', 'fenugrec*', 'fenouil*', 'poivre*', 'cannelle*', 'cardamome*', 'curcuma*', "" *Ingrédients issus de l'agriculture biologique""]",['Céleri'],"['Végétalien', 'Végétarien']",3,2.8 g,en faible quantité,1.9 g,en quantité modérée,2.9 g,en faible quantité,0.8 g,en quantité modérée,?,,66,,276 kj(66 kcal),,"2,8",,"1,9",,"7,6",,"2,9",,"1,5",,"0,8",,"0,32",,2,,B,,,,,,,,,,['France'],,,,,
6,"Fondant Patate Douce, Tofu, Ricotta - Karine & Jeff - 380g",3760052231827,,,380 g,"['Pot', 'Verre', 'Couvercle', 'Métal']","['Karine & Jeff', 'Le bonheur est dans le pot']","['Conserves', 'Plats préparés', 'Plats préparés en conserve']","['Bio', 'en:gluten-free', 'Point Vert', 'Fabriqué en France']","['France', 'Sud-Ouest de la France']",,,['France'],"['Patates douces* ', '41 %', 'oignons*', 'tofu* ', 'eau', 'soja* ', 'origine France', ' ', '18 %', 'tomates*', 'fromage ricotta* ', 'lait*', ' ', '3 %', 'huile de tournesol vierge première pression à froid* ', 'origine Sud-Ouest', 'crème de soja* ', 'eau', 'soja décortiqué* ', 'origine France', 'persil*', 'sel marin non raffiné', 'ciboulette*', 'poivre*', ""\r*Ingrédients issus de l'agriculture biologique""]","['Lait', 'Soja']",['Non végétalien'],3,4.1 g,en quantité modérée,0.6 g,en faible quantité,4.1 g,en faible quantité,1 g,en quantité modérée,?,,94,-12%,393 kj(94 kcal),-12%,"4,1",-12%,"0,6",-60%,"9,4",+21%,"4,1",+159%,"3,9",-36%,1,+11%,"0,4",+11%,1,-12%,B,-12%,,,,,,,,,['France'],,,,,
7,Galettes biologiques - Crêperie de Guerlédan - 280g (x 4),3760080260035,B,,280 g (x 4),"['Sachet', 'Plastique']",['Crêperie de Guerlédan'],"['Crêpes et galettes', 'Galettes', 'Galettes de blé noir']","['Bio', 'Bio européen', 'FR-BIO-01', 'en:produced-in-bretagne', 'Farine de sarrasin français']",,,['Magasins U'],['France'],"['Eau', 'farine de blé noir français biologique ', '51%', 'sel de Guérande']",,"['Sans huile de palme', 'Végétalien', 'Végétarien']",3,1.4 g,en faible quantité,0.3 g,en faible quantité,0.6 g,en faible quantité,1.2 g,en quantité modérée,?,,181,+2%,757 kj(181 kcal),+2%,"1,4",-64%,"0,3",-81%,"34,3",+26%,"0,6",-16%,"6,7",-2%,"1,2",-9%,"0,48",-9%,3,-42%,C,-42%,31.3%,30.2%,19.0%,10.8%,8.7%,0.0%,96,"['FR 22.158.002 CE', ""Mûr-de-Bretagne (Côtes-d'Armor, France)""]","['France', 'Bretagne', ""Côtes d'Armor"", 'Mûr de Bretagne']",,,,,
8,Souchet épluchés - Biosagesse - 200g,3760087361964,,,200 g,,['Biosagesse'],,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",,,,['France'],"[""Tubercules de souchet entier* *Produit issu de l'agriculture biologique""]",,[],,,,,,,,,,?,,459,,1920 kj(459 kcal),,"24,3",,"5,22",,"61,7",,"16,2",,"4,07",,"0,06",,"0,024",,,,,,,,,,,,,,,,,,,
9,Café Pérou Moulu Bio & équitable - Ethiquable - 250g,3760091720061,E,,250 g,"['Sachet', 'Plastique']",['Ethiquable'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Cafés', 'Cafés moulus']","['Bio', 'Bio européen', 'AB Agriculture Biologique', 'Producteurs-paysans']",['Pérou'],,,['France'],['Café moulu'],,"['Sans huile de palme', 'Végétalien', 'Végétarien']",1,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,96.9%,0.9%,0.7%,1.3%,0.2%,0.0%,10,,,,,,,
