,name,bar_code,eco_score,generic_name,quantity,packaging,brand,categories,labels,sales_countries,ingredients_list,additives,allergens,ingredients_analysis,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,manufacturing,traceability_code,markets,ingredients_origins,link,palm_ingredients,brand_owner,origin_detail,producer_info
0,Madeleine coeur abricot - Ker Cadélac - 420g,3259426039270,B,Madeleine coeur abricot,420 g,"['Sachet', 'Plastique']","['Ker Cadélac', 'Ker Cadélac Kids']","['Biscuits et gâteaux', 'Gâteaux', 'Madeleines']","['Sans conservateurs', 'en:palm-oil-free']",['France'],"[""Sucre - Farine de blé 19,5% - Huile de colza - CEuts entiers 14,5% - Sirop de qlucose - Stabilisant: glycérol - Purée d'abricot 5% - Emulsifiant: mono - et diglycérides d'acides gras "", 'origine végétale', ' - Poudres à lever: carbonates de sodium', ""diphosphates - Sel - Arômes naturels - Acidifiant: acide citrique Gélifiant: pectines - Concentré de carotte et potiron - Correcteur d'acidité: citrates de calcium""]","['E422 - Glycérol', ""E471 - Mono- et diglycérides d'acides gras alimentaires"", 'E500 - Carbonates de sodium', 'E450 - Diphosphates', '', 'Risque élevé de sur-exposition', 'E330 - Acide citrique', 'E440 - Pectines', 'E333 - Citrates de calcium']",['Gluten'],['Sans huile de palme'],4,18 g,en quantité modérée,1.7 g,en quantité modérée,31 g,en quantité élevée,0.9 g,en quantité modérée,?,,407,-8%,1703 kj(407 kcal),-7%,18,-21%,"1,7",-75%,57,+8%,31,+13%,"3,9",-31%,"0,9",+11%,"0,36",+11%,15,-18%,D,-18%,73.9%,13.5%,6.0%,3.4%,3.2%,0.0%,75,,,,,,,,,
1,Crème dessert café bio - Bio Village - 4x 95g,3564707122061,,,4 x 95 g,"['Pots', 'Plastique']","['Bio Village', 'Marque Repère']","['Produits laitiers', 'Desserts', 'Desserts lactés', 'Crèmes dessert', 'Crèmes dessert café', 'Desserts au café', 'Desserts lactés au café']","['Bio', 'Bio européen', 'AB Agriculture Biologique', 'Fabriqué en France', 'en:Lait-francais-french-milk']",['France'],"['LAIT entier*', 'origine : France', ' 69%', 'sucre de canne*', 'CREME*', 'origine : France', ' 8,6%', 'LAIT écrémé * ', 'origine : France', 'amidon de riz', 'poudre de LAIT écrémé*', 'origine : France', 'extrait de café', 'épaississant : carraghénanes', ""correcteur d'acidité : E331"", ""*Ingrédients issus de l'agriculture biologique""]","['E407 - Carraghénanes', '', 'Risque élevé de sur-exposition', 'E331 - Citrates de sodium']",['Lait'],"['Sans huile de palme', 'Non végétalien', 'Végétarien']",4,5 g,en quantité modérée,3.3 g,en quantité modérée,15 g,en quantité élevée,0.2 g,en faible quantité,569,+11%,?,,569 kj(136 kcal),+8%,5,-3%,"3,3",-1%,19,+15%,15,+7%,"3,6",+7%,"0,2",+41%,"0,08",+41%,5,-6%,C,-6%,,,,,,,,['France'],"['FR 76.329.001 CE', 'Gruchet-le-Valasse (Seine-Maritime, France)']",['Leclerc'],,,,,,
2,Bouillon - Légumes - Knorr,8714100838136,,,,,['Knorr'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Epicerie', 'Produits déshydratés', 'Aliments à base de plantes séchées', 'Produits lyophilisés à reconstituer', 'Bouillons', 'Bouillons déshydratés', 'Bouillons de légumes', 'Bouillons de légumes déshydratés']",,"['Belgique', 'France']",[],,,[],,,,,,,,,,?,,6,-96%,25 kj(6 kcal),-96%,"0,5",-92%,"0,2",-93%,"0,7",-96%,"0,5",-91%,"0,5",-86%,"0,58",-97%,"0,232",-97%,,,,,,,,,,,,,,['Delhaize'],,,,,,
3,Cracker quinoa & romarin - Coop,7613379772091,B,,,,['Coop'],"['Snacks', 'Snacks salés', 'Apéritif', 'Biscuits apéritifs']",['Bio'],"['France', 'Suisse']",[],,,[],,12 g,en quantité modérée,1.2 g,en faible quantité,2 g,en faible quantité,2.2 g,en quantité élevée,?,,425,-8%,1778 kj(425 kcal),-9%,12,-40%,"1,2",-78%,62,+4%,2,-49%,12,+21%,"2,2",+10%,"0,88",+10%,15,-3%,D,-3%,60.4%,21.2%,8.3%,6.3%,3.8%,0.0%,82,,,['Coop'],,,,,,
4,Menestra de verduras - Freshona - 1kg,20495565,,,1 kg,,['Freshona'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Surgelés', 'Légumes et dérivés', 'Aliments à base de plantes surgelés', 'Légumes surgelés', ""Mélanges d'aliments à base de plantes surgelés"", 'Mélanges de légumes surgelés']",,"['France', 'Espagne']",[],,,[],,4.7 g,en quantité modérée,0.1 g,en faible quantité,2.6 g,en faible quantité,0.05 g,en faible quantité,?,,110,+100%,460 kj(110 kcal),+104%,"4,7",+215%,"0,1",-66%,"9,6",+66%,"2,6",-0%,"5,7",+182%,"0,05",-76%,"0,02",-76%,-10,,A,,,,,,,,,,,,,,,,,
5,Nectar 15 fruits - Casino,3222477037755,D,,,,['Casino'],"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Nectars de fruits']",,['France'],[],,,[],,0 g,en faible quantité,0 g,en faible quantité,12 g,en quantité élevée,0 g,en faible quantité,?,,50,+2%,209 kj(50 kcal),+3%,0,-100%,0,-100%,12,+5%,12,+12%,"0,6",+90%,0,-100%,0,-100%,15,+10%,E,+10%,58.5%,3.8%,10.1%,20.0%,6.0%,1.7%,51,,,['Casino'],,,,,,
6,Gourmandise de Brebis - Rians - 2x150g,3184670004777,,,2x150g,['2 x 150 g'],['Rians'],['Spécialité laitière au lait de brebis aux mûres et myrtilles'],,['France'],"['Lait entier de brebis', 'sucre', 'mûres ', '5,75%', 'eau', 'myrtilles ', '2,3%', 'sirop de glucose-fructose', 'amidon de riz', 'amidon de mais modifié', 'purée concentrée de pommes', 'épaississants : pectines et gomme de guar', ""régulateurs d'acidité: citrate de sodium"", 'acide citrique et citrate de calcium', 'arômes', 'jus de raisin concentré', 'ferments lactiques', ' Les allergènes sont indiqués en gras']","['E440 - Pectines', 'E412 - Gomme de guar', 'E331 - Citrates de sodium', 'E330 - Acide citrique', 'E333 - Citrates de calcium']",['Lait'],['Non végétalien'],4,4.5 g,en quantité modérée,3.1 g,en quantité modérée,12 g,en quantité modérée,0.09 g,en faible quantité,?,,109,,456 kj(109 kcal),,"4,5",,"3,1",,13,,12,,"3,6",,"0,09",,"0,036",,4,,C,,,,,,,,,,['ES 15.00303/NA CE'],['Casino'],,,,,,
7,Fresa boom - Okey,8410128191214,D,,,,['Okey'],"['Boissons', 'Produits laitiers', 'Boissons lactées', 'Laits aromatisés', 'Laits aromatisés à la fraise']",,"['France', 'Espagne']","['Leche parcialmente desnatada', 'Agua', 'Azúcar', 'Estabilizantes ', 'E 471', 'E 460', 'E 466', 'E 339', 'E 407', ' Aromas', 'Sal', 'Colorante ', 'E 120']","[""E471 - Mono- et diglycérides d'acides gras alimentaires"", 'E460 - Cellulose', 'E466 - Carboxyméthylcellulose', 'E339 - Phosphates de sodium', '', 'Risque élevé de sur-exposition', 'E407 - Carraghénanes', '', 'Risque élevé de sur-exposition', 'E120 - Acide carminique']",,"[""Pourrait contenir de l'huile de palme"", 'Non végétalien', 'Non végétarien']",4,1.1 g,en faible quantité,0.8 g,en quantité modérée,11 g,en quantité élevée,0.1 g,en faible quantité,?,,63,+9%,264 kj(63 kcal),+7%,"1,1",+75%,"0,8",+96%,11,+7%,11,+10%,"1,9",-27%,"0,1",-7%,"0,04",-7%,17,+34%,E,+34%,68.9%,1.0%,13.8%,9.0%,5.7%,1.6%,49,,,,,,,,,
8,Huile d'olive extra vierge - Carrefour,8431876060386,D,,,,"['Carrefour', 'Carrefour bio']","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Matières grasses végétales', ""Produits de l'olivier"", 'Huiles', ""Huiles d'olive"", ""Huiles d'olive d'Espagne"", ""Huiles d'olive vierges"", ""Huiles d'olive vierges extra""]",['Bio'],"['France', 'Espagne']",['OIngredientes Aceite de oliva virgen extra elaborado con aceitunas obtenidas de acuerdo a las normas de producción ecológica'],,['Aucun'],[],,100 g,en quantité élevée,14 g,en quantité élevée,0 g,en faible quantité,0 g,en faible quantité,3700,+3%,900,+2%,3700 kj(900 kcal),+2%,100,+2%,14,-4%,0,,0,,0,,0,,0,,6,-3%,C,-3%,88.1%,4.5%,3.6%,2.0%,1.7%,0.0%,47,,['ES 16.02448/J CE'],['Carrefour'],,,,,,
9,Lasaña de Espinaca y Queso - La Cocinera,8410239005196,,,,,['La Cocinera'],"['Plats préparés', 'Plats à base de pâtes']",,"['France', 'Espagne']","['Leche desnatada', 'espinacas 19%', 'pasta fresca al huevo 12,6% ', 'sémola de trigo duro', 'agua', 'huevo', 'clara de huevo', 'aceite de girasol', 'sal', 'agua', 'harina de trigo', 'aceite de girasol', 'queso Mozzarella 4,3%', 'queso fresco 3,9%', 'proteínas de la leche', 'queso Cheddar 2,2%', 'almidón modificado de maíz', 'sal', 'aroma natural ', 'contiene lactosa', 'especias']",,"['Œufs', 'Gluten', 'Lait']",['Non végétalien'],4,7.5 g,en quantité modérée,2 g,en quantité modérée,3.6 g,en faible quantité,0.82 g,en quantité modérée,?,,144,-20%,602 kj(144 kcal),-19%,"7,5",+19%,2,-18%,12,-43%,"3,6",+49%,"6,3",-15%,"0,82",-10%,"0,328",-10%,2,-46%,B,-46%,,,,,,,,,,,,,,,,
