,name,bar_code,generic_name,quantity,packaging,brand,categories,labels,link,sales_countries,ingredients_list,allergens,ingredients_analysis,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,eco_score,markets,additives,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,traceability_code,palm_ingredients,ingredients_origins,manufacturing,brand_owner,producer_info,origin_detail
0,Tagliatelles Aux œufs frais - Lustucru Sélection - 350g (3Pers.),3240930213508,Pâtes fraîches aux œufs frais,350 g (3 Pers.),"['Frais', 'Barquette et film plastique à jeter', 'Sous atmosphère protectrice', 'Frais']",['Lustucru Sélection'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Frais', 'Nouilles', 'Pâtes alimentaires', 'Pâtes fraîches', 'Nouilles aux oeufs', 'Tagliatelles aux œufs', 'Tagliatelles', 'Tagliatelles fraîches']","['Point Vert', 'en:saveurs-de-l-annee-france', ""Saveurs de l'Année 2013"", 'Eco-Emballages']",http://www.lustucru-selection.fr/produits/au-rayon-frais/pates-fraiches.html,['France'],"['Semoule de blé dur', 'eau', 'œufs frais 10,3 % ', ""soit 140 g d'œufs/kg de semoule"", 'sel ', '0,8 %']",['Œufs'],['Non végétalien'],3,1.9 g,en faible quantité,0.5 g,en faible quantité,2 g,en faible quantité,0.8 g,en quantité modérée,1126,-3%,?,,1126 kj(269 kcal),-2%,"1,9",-12%,"0,5",-12%,51,-3%,2,+30%,10,-1%,"0,8",+520%,"0,32",+520%,1,,B,,,,,,,,,,,,,,,,,,
1,"Bx45.Fagot H.ver.rochefon, - Roche Fontaine",3255691003015,,,,['Roche Fontaine'],,,,['France'],[],,[],,,,,,,,,,?,,68,,285 kj(68 kcal),,"0,2",,0,,"1,5",,"0,8",,"1,1",,"0,8",,"0,32",,,,,,,,,,,,,,,,,,,,,,
2,"Trio de choux, jambon et fromage - U - 300g",3256224362722,,300 g,['Frais'],['U'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Légumes et dérivés', 'Salades', 'Légumes-feuilles', 'Salades vertes']","['Sans arômes artificiels', 'Sans conservateurs', 'Transformé en France']",,['France'],"['chou blanc 45%', 'huile de colza', 'jambon cuit supérieur 10% [jambon de porc ', 'France', 'eau', 'sel', 'dextrose', 'gélatine de porc', 'bouillon ', 'dont acérola', 'ferments]', 'eau', 'tomate', 'EMMENTAL 6%', 'oignon', ""vinaigre d'alcool"", 'CREME fraîche', 'moutarde ', 'eau', 'graines de MOUTARDE', ""vinaigre d'alcool"", 'sel', 'sel', 'ciboulette', 'amidon transformé de pomme de terre', ""jaune d'OEUF en poudre"", 'conservateur : sorbate de potassium', 'épaississant : gomme xanthane', 'poivre']","['Œufs', 'Lait', 'Moutarde']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",4,13 g,en quantité modérée,2.3 g,en quantité modérée,2.3 g,en faible quantité,0.8 g,en quantité modérée,609,+174%,147,+149%,609 kj(147 kcal),+172%,13,+398%,"2,3",+461%,"2,3",-35%,"2,3",+92%,"4,5",+99%,"0,8",+143%,"0,32",+143%,-2,,A,,B,['Magasins U'],"['E428 - Gélatine', 'E14XX - Amidons modifiés', 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition', 'E415 - Gomme xanthane']",59.4%,0.0%,0.0%,13.2%,18.9%,8.4%,95,,,,,,,
3,Salade boulgour courgette et menthe - U Bio - 200g,3256226400781,,200 g,['Frais'],"['U Bio', 'U']","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Légumes et dérivés', 'Salades', 'Légumes-feuilles', 'Salades vertes']","['Bio', 'Bio européen', 'Agriculture UE/Non UE', 'FR-BIO-10', 'Transformé en France']",,['France'],"['boulgour* cuit 51% ', 'eau', 'ble dur* concassé précuit', 'courgette* 16%', 'cranberry demi séchée sucrée* 9% ', 'cranberry* 6%', 'sucre de canne*', 'huile de tournesol*', 'huile de tournesol*', 'eau', 'persil*', 'vinaigre d alcool*', 'menthe* ', 'origine : france', ' 1%', 'sel', 'jus de citron* concentré', 'moutarde* ', 'graines de moutarde*', 'vinaigre d alcool*', 'eau', 'sel', 'épaississant : gomme xanthane', 'poivre*', ' * ingrédients issus de l agriculture biologique']","['Gluten', 'Moutarde']",[],4,5.8 g,en quantité modérée,0.6 g,en faible quantité,7.7 g,en quantité modérée,0.89 g,en quantité modérée,654,+195%,156,+164%,654 kj(156 kcal),+192%,"5,8",+122%,"0,6",+46%,22,+523%,"7,7",+542%,"2,5",+11%,"0,89",+171%,"0,356",+171%,-4,,A,,B,"['Magasins U', 'Super U']",['E415 - Gomme xanthane'],59.4%,0.0%,0.0%,13.2%,18.9%,8.4%,95,,,,,,,
4,Muesli Croustillant aux fruits - Cora - 500g,3257985566879,,500 g,"['Sachet', 'Plastique', 'Doypack', 'Sachet refermable']",['Cora'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Petit-déjeuners', 'Céréales et dérivés', 'Céréales pour petit-déjeuner', 'Mueslis', 'Céréales aux fruits', 'Mueslis aux fruits']",['Point Vert'],,['France'],"[""Flocons d'avoine 30%"", 'flocons de blé 12%', 'raisins secs 12% ', 'raisins', 'huile de coton', 'sucre', 'sirop de glucose', 'huile de tournesol', 'farine 4,2% ', 'blé', 'riz', 'noix de coco en lamelles 4%', 'chips de banane 3,5% ', 'banane', 'huile de coco', 'sucre', 'noix de coco râpée', 'pomme deshydratrée 2,5% ', 'pomme', 'antioxydants : acide ascorbique', 'acide citrique', 'miel', 'dextrose', 'sel', 'arôme', 'caramel ', 'sirop de glucose', 'eau', 'sucre', 'antioxydant : extrait riche en tocophérols', 'émulsifiants : lécithines ', 'soja']","['Gluten', 'Avoine', 'Soja']",['Non végétalien'],4,15 g,en quantité modérée,6.6 g,en quantité élevée,23 g,en quantité élevée,0.42 g,en quantité modérée,?,,438,+10%,1833 kj(438 kcal),+10%,15,+42%,"6,6",+144%,65,+6%,23,+28%,"7,4",-23%,"0,42",+190%,"0,168",+190%,12,+250%,D,+250%,B,['Cora'],"['E300 - Acide ascorbique', 'E330 - Acide citrique', 'E306 - Extrait riche en tocophérols', 'E322i - Lécithine']",53.5%,25.9%,8.6%,6.8%,5.2%,0.0%,90,"['EMB 45008A', 'Artenay (Loiret, France)']",,,,,,
5,Asperges pelées main Poids net égoutté - Leader Price,3263851513113,,,,['Leader Price'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Légumes et dérivés', 'Légumes tiges', 'Asperges', 'Asperges blanches']",,,['France'],[],,[],,0 g,en faible quantité,0 g,en faible quantité,1.2 g,en faible quantité,0.9 g,en quantité modérée,?,,16,-16%,67 kj(16 kcal),-13%,0,-100%,0,-100%,"1,6",-18%,"1,2",+3%,"1,7",+16%,"0,9",+14%,"0,36",+14%,-4,,A,,C,['Leader Price'],,63.9%,17.1%,7.8%,4.4%,4.6%,2.3%,58,,,,,,,
6,Bouchées royales prêtes à garnir - Leader Price - 150g,3263852690714,,150 g,,['Leader Price'],,,,['France'],"['Bouchées prêtes à garnir Ingrédients Farine de blé — huiles et graisses végétales ', 'palme', '— colorant : caroténoïdes — sel — œufs colza', ' poudre à lever : carbonates de sodium - émulsifiant : E471', ' Trace de lait', ' Les informations en gras sont destinées aux personnes allergiques ou intolérantes']",,['Huile de palme'],4,,,,,,,,,?,,535,,2238 kj(535 kcal),,35,,18,,47,,1,,"6,9",,"2,075",,"0,83",,,,,,,['Leader Price'],"['E160 - Caroténoïdes', ""E471 - Mono- et diglycérides d'acides gras alimentaires""]",,,,,,,,,['Huile de palme'],,,,,
7,Pizza 3 fromages - Leader price - 450g,3263859473112,"Pizza à l'emmental, au gouda et au cheddar fondu",450 g,"['Plaque', 'Carton', 'Film', 'Plastique', 'Sous atmosphère protectrice']",['Leader price'],"['Plats préparés', 'Pizzas tartes salées et quiches', 'Pizzas', 'Pizzas au fromage', 'Pizzas aux trois fromages']",,,['France'],"['Pâte cuite 39,1% ', 'farine de blé', 'eau', 'huile de colza', 'sel', 'levure', 'poudre à lever : carbonates de sodium', 'purée de tomate mi-réduite', 'emmental 14,2%', 'gouda 12,5%', 'cheddar fondu 6,2% ', 'cheddar 3,1% minimum', 'eau', 'amidon modifié de pomme de terre', 'beurre', 'protéines de lait', 'sel émulsifiant : citrates de sodium', 'sel', 'colorant : extrait de paprika', 'olives noires avec noyau ', 'olives noires', 'eau', 'sel', 'stabilisant : gluconate ferreux', 'farine de blé', 'fécule de pomme de terre', 'origan', 'basilic', ""huile d'olive vierge extra"", ""purée d'ail"", 'sel']","['Gluten', 'Lait']","['Sans huile de palme', 'Non végétalien']",4,9.8 g,en quantité modérée,5.5 g,en quantité élevée,3 g,en faible quantité,1.09 g,en quantité modérée,?,,252,+2%,1054 kj(252 kcal),+2%,"9,8",+3%,"5,5",+9%,"28,4",+3%,3,+20%,"11,2",0%,"1,09",-12%,"0,436",-12%,10,-3%,C,-3%,C,"['Franprix', 'Leader Price']","['E500 - Carbonates de sodium', 'E14XX - Amidons modifiés', 'E331 - Citrates de sodium', 'E160c - Extrait de paprika', 'E579 - Gluconate de fer']",73.6%,9.9%,3.3%,4.1%,1.9%,7.1%,56,"['EMB 49331H', 'Segré (Maine-et-Loire, France)']",,,,,,
8,Courgettes farcies & semoule méridionale - Fleury Michon - 300g,3302741195104,Courgettes farcies et semoule,300g,"['Boite', 'Carton', 'Barquette', 'Plastique']",['Fleury Michon'],"['Plats préparés', 'Produits à la viande', 'Plats préparés à la viande', 'Légumes préparés', 'Plats préparés à réchauffer au micro-ondes', 'Légumes farcis']","['Sans arômes artificiels', 'Experimentation Etiquetage Nutritionnel 2016', 'Sans colorants', 'Sans matière grasse hydrogénée', 'Sans huile de palme', 'Sans conservateurs', 'Nutriscore', 'Expérimentation Nutriscore', 'Nutriscore B']",http://www.fleurymichon.fr,['France'],"['Courgettes 39%', 'semoule de blé dur 13%', 'eau', 'viande de boeuf 10%', 'poivrons rouges 7%', 'tomates 3', '8%', 'gras de porc', 'viande de porc 3', '7%', ""huile d'olive vierge"", 'oignons', 'chapelure ', 'dont blé', 'sel', 'oeufs en poudre', 'concentré de tomates', 'ail 0', '3%', 'huile de colza', 'persil 0', '07%', 'épices', 'poivre']","['Œufs', 'Gluten']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",3,5.8 g,en quantité modérée,2 g,en quantité modérée,3.2 g,en faible quantité,0.8 g,en quantité modérée,570,,?,,570 kj(136 kcal),+3%,"5,8",-38%,2,-44%,16,+185%,"3,2",+106%,"6,1",+5%,"0,8",-22%,"0,32",-22%,0,-100%,B,-100%,D,"['Casino', 'Leclerc']",,72.7%,17.4%,4.6%,2.8%,1.5%,1.1%,47,['SI 813 ES'],,['Union européenne'],['Slovénie'],,,
9,PERLE DE LAIT NATURE 125Gx8 - Yoplait - 1fg,3329770048553,Yaourt,1 fg,['Pastique'],['Yoplait'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Yaourts', 'Yaourts nature']",['Sans gluten'],,['France'],"['SPÉCIALITÉ LAITIÈRE NATURE INGRÉDIENTS / Lait écrémé - Crème - Amidon transformé de riz - Poudre de lait écrémé - Ferments lactiques', "" Lait d'origine France"", ' Sans gluten']",['Lait'],['Non végétalien'],4,9.3 g,en quantité modérée,6.2 g,en quantité élevée,2.8 g,en faible quantité,0.13 g,en faible quantité,?,,115,+60%,481 kj(115 kcal),+61%,"9,3",+159%,"6,2",+167%,"3,7",-24%,"2,8",-37%,"3,2",-23%,"0,13",+8%,"0,052",+8%,6,+960%,C,+960%,B,['Auchan'],['E14XX - Amidons modifiés'],70.1%,13.1%,6.5%,5.7%,3.7%,1.0%,85,"['FR 72.181.001 CE', 'Mans (Sarthe, France)']",,,,,,
