,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,eco_score,categories,labels,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,traceability_code,brand,quantity,packaging,ingredients_origins,generic_name,allergens,additives,nova_score,palm_ingredients,manufacturing,link,markets,producer_info
0,Nouilles soba,8514282816362,['France'],[],[],?,340,1423 kj(340 kcal),"0,5","0,3",72,47,11,"1,67","0,668",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Viande hachee halal,8201980228886,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Escalope de dinde,2860181015488,['France'],[],[],?,105,439 kj(105 kcal),1,"0,3",0,0,24,"0,18","0,072",D,"['Viandes', 'Volailles', 'Dindes', 'Escalopes de dinde']","['Nutriscore', 'Nutriscore A']",1 g,en faible quantité,0.3 g,en faible quantité,0 g,en faible quantité,0.18 g,en faible quantité,,-13%,-13%,-24%,-26%,-100%,-100%,+5%,-68%,-68%,-4,,A,,84.3%,9.9%,2.2%,2.3%,1.1%,0.3%,37,,,,,,,,,,,,,,
3,Sirop cocktail fruits rouges ( Red Berries syrup ),05274079,['France'],[],[],?,39,163 kj(39 kcal),0,0,"84,5","78,8",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Fusillis,3760323480183,['France'],[],[],?,381,1594 kj(381 kcal),"4,72","1,34",68,"2,19","15,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Sauce Arabiata,3700662734448,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Ty Mag EffiNov,3760195481516,['France'],[],[],?,?,,?,,?,,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Filet de poulet,0217885082919,['France'],[],[],?,?,,?,,?,,?,,,D,"['Viandes', 'Volailles', 'Poulets', 'Filets de poulet']","['Nutriscore', 'Nutriscore A']",,,,,,,,,,,,,,,,,,,,,,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,,,,,,,,,,,,,
8,"Poulpe entier, nettoyé",3700818905838,['France'],[],[],?,63,264 kj(63 kcal),1,"0,2","2,2",0,13,"0,77","0,308",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['FR 62.667.121 CE', 'Portel (Pas-de-Calais, France)']",,,,,,,,,,,,,
9,Huile BIO de tournesol,3760091744432,['France'],[],[],?,900,3766 kj(900 kcal),100,"10,4",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
