,name,bar_code,traceability_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_fat_tr,nutriment_carbohydrates_tr,nutriment_proteins_tr,nutriment_energy_tr,nutriment_saturated-fat_tr,nutriment_sugars_tr,nutriment_salt_tr,nutriment_sodium_tr,brand,labels,eco_score,categories,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,quantity,packaging,allergens,nova_score,salt_quantity,salt_comment,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,ingredients_origins,markets,manufacturing,generic_name,additives,link,origin_detail
0,fromage de chevre au lait cru,3760073360070,"['FR 37.226.038 CE', 'Sainte-Maure-de-Touraine (Indre-et-Loire, France)']",['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Linguine,8054242199093,,['France'],[],[],?,368.84,"4,4","66,2","15,1",1543 kj(368 kcal),"1,5",2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Roasted & Unsalted Black Sunflower Seeds,8682190853196,,['France'],[],[],?,620,"52,8","6,1",25,2594 kj(620 kcal),"1,3",5,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Cuisse de poulet - Volaille française,3230890008962,,['France'],[],[],?,168,"8,9",1,21,703 kj(168 kcal),"2,8",1,,,['Volaille française'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Pain d’epeautre complet - Pural,3184340065053,,['France'],[],[],?,209,"1,7",38,"6,2",874 kj(209 kcal),"0,2","2,8","0,85","0,34",['Pural'],"['Bio', 'Bio européen']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Bledilait junior +,3041091683878,,['France'],[],[],?,?,?,?,?,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Lamelles de Kebab,3760051587925,,['France'],[],[],?,192,12,3,18,803 kj(192 kcal),"4,3",0,"1,1","0,44",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Plateau grill,2478744075116,,['France'],[],[],?,281.79998779297,"24,1","1,6","1,9",1179 kj(281 kcal),"9,7","0,6","14,9","5,96",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Sauce algérienne,3760198720810,,['France'],[],[],?,521,"49,4","17,1","1,9",2180 kj(521 kcal),"4,2","12,8","2,1","0,84",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Florame Florame Bloesemwater Oranjebl 200ML,3516170003255,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
