,name,bar_code,quantity,brand,categories,labels,sales_countries,ingredients_list,ingredients_analysis,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,eco_score,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,generic_name,packaging,ingredients_origins,manufacturing,nova_score,additives,allergens,markets,traceability_code,palm_ingredients,link,origin_detail,producer_info
0,Mescia de Petit Épeautre de Haute Provence - Priméal - 500g,3380380037108,500 g,['Priméal'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Légumineuses et dérivés', 'Céréales et pommes de terre', 'Légumineuses', 'Céréales et dérivés']","['Bio', 'Bio européen', 'Agriculture non UE', 'Agriculture UE', 'Agriculture UE/Non UE', 'FR-BIO-01', 'AB Agriculture Biologique', 'Biopartenaire']",['France'],[],[],3.1 g,en quantité modérée,0.5 g,en faible quantité,1.6 g,en faible quantité,0 g,en faible quantité,?,,340,+84%,1423 kj(340 kcal),+87%,"3,1",-35%,"0,5",-35%,"54,8",+222%,"1,6",-22%,"17,7",+67%,0,-100%,0,-100%,-6,,A,,,,,,,,,,,,,,,,,,,,,,
1,Riz Rond Demi-complet De Camargue - Priméal,3380380055171,,['Priméal'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Graines', 'Céréales et dérivés', 'Céréales en grains', 'Riz', 'Riz de Camargue']","['Bio', 'Bio européen', 'FR-BIO-01', 'IGP']",['France'],[],[],2.3 g,en faible quantité,0.5 g,en faible quantité,0.8 g,en faible quantité,0 g,en faible quantité,?,,354,+1%,1481 kj(354 kcal),+1%,"2,3",+24%,"0,5",+20%,"74,8",-0%,"0,8",+72%,"7,2",-3%,0,-100%,0,-100%,0,,B,,B,79.0%,0.0%,6.4%,11.0%,3.6%,0.0%,74,,,,,,,,,,,,,
2,Nouilles a L'ail Des Ours - Primeal,3380380057038,,['Primeal'],,"['Bio', 'Fabriqué en France']",['France'],"[""Tagliatelles à l'ail des Plante sauvage"", ""l'ail des ours sélectionné par Priméal offre à ces tagliatelles une note finement aillée et herbacée Olngrédients : semoule supérieure de blé dur*"", ""ail des ours* *issus de l'agriculture biologique"", "" Peut contenir des traces d'œuf"", ' Fabriqué en France dans nos ateliers suivant la méthode tradition - nelle de laminage', ' Séchage à basse température']",[],,,,,,,,,?,,356,,1490 kj(356 kcal),,"1,4",,"0,3",,"72,7",,"3,6",,"11,4",,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Spaghettis de mer - Primeal,3380380057557,,['Primeal'],,"['Bio', 'Bio européen', 'FR-BIO-10']",['France'],"['OUR LES HO ', "" de l'agriculture spaghetti de mer* Himanthalia elongata contenir des traces e crustacés et de mol usques"", ""Source de protéines d'utilisation : rincer"", 'faire tremper 15 min', "" puis cuire dans l'eau de trempage 20 à 30""]",[],,,,,,,,,?,,239,,1000 kj(239 kcal),,"2,7",,"0,7",,"28,5",,0,,10,,9,,"3,6",,,,,,,,,,,,,,,,,,,,,,,,,,
4,Tartines Craquantes à la Châtaigne - Blumenbrot - 150g e,3380380057960,150 g e,"['Blumenbrot', 'Le Pain des Fleurs']","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pains', 'Tartines craquantes']","['Bio', 'Végétarien', 'Bio européen', 'Kascher', 'Sans gluten', 'Végétalien', 'Agriculture UE', 'FR-BIO-01', 'HU-ÖKO-02', 'Fabriqué en France', 'Sans sucre ajouté']","['France', 'Allemagne']","['Farine de riz*', 'farine de châtaigne* ', '30 %', 'sel de mer', ' *Biologique']","['Végétalien', 'Végétarien']",1.6 g,en faible quantité,0.4 g,en faible quantité,9.3 g,en quantité modérée,0.58 g,en quantité modérée,1628,+1%,?,,1628 kj(389 kcal),+2%,"1,6",-65%,"0,4",-61%,"83,5",+18%,"9,3",+67%,"6,5",-35%,"0,58",-34%,"0,232",-34%,-1,-133%,A,-133%,A,65.1%,19.7%,8.5%,5.9%,0.7%,0.0%,90,Tartines craquantes à la châtaigne.,"['Karton', 'Plastique', 'Carton']",['de:Union Européenne'],"['Frankreich', 'France']",3,,,,,,,,
5,Riz sauvage - Priméal - 250g,3380390000901,250 g,['Priméal'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Graines', 'Céréales et dérivés', 'Céréales en grains', 'Riz sauvage']","['Bio', 'Bio européen', 'AB Agriculture Biologique', 'FR-BIO-01', 'Agriculture Canada']",['France'],"['riz sauvage ', 'Zizania Aquatical', ""issu de l'agriculture biologique""]",[],1.1 g,en faible quantité,0.2 g,en faible quantité,2.5 g,en faible quantité,0.05 g,en faible quantité,?,,357,+2%,1494 kj(357 kcal),+2%,"1,1",+20%,"0,2",+12%,"74,9",+3%,"2,5",+98%,"14,7",+43%,"0,05",+240%,"0,02",+240%,-6,,A,,B,79.0%,0.0%,6.4%,11.0%,3.6%,0.0%,74,Riza sauvage (zizanie des marais),"['Sachet', 'Plastique']",['Canada'],,1,,,,,,,,
6,Croq'en Auvergne - Apiflor - 230g,3380840201018,230 g,['Apiflor'],,,['France'],"['CROQ EN AUVERGNE A LA CREME DE MYRTILLE : Farine de blé', 'sucre', 'Beurre 14,5% ', 'dont colorants : caroténoïdes', 'Lait', 'Crème de myrtille 2%', 'Œufs', 'Arôme naturel de myrtille', 'Poudre à lever ', ' sels métalliques de diphosphate', 'phosphate de calcium', 'carbonate de sodium', 'amidon de blé', 'Sel']",['Non végétalien'],,,,,,,,,?,,456,,1908 kj(456 kcal),,"13,3",,"8,54",,"76,6",,"30,6",,"6,9",,"0,34",,"0,136",,,,,,,,,,,,,,,,,,4,"['E160 - Caroténoïdes', 'E450 - Diphosphates', '', 'Risque élevé de sur-exposition', 'E341 - Phosphates de calcium', '', 'Risque élevé de sur-exposition', 'E500i - Carbonate de sodium']","['Œufs', 'Lait']",,,,,,
7,Sable au bleu d'Auvergne et noix du perigord,3380843112946,,,,,['France'],[],[],,,,,,,,,?,,554,,2318 kj(554 kcal),,33,,21,,45,,"1,3",,"17,1",,"0,948",,"0,379",,,,,,,,,,,,,,,,,,,,,['Magasins U'],,,,,
8,Steak haché Angus façon bouchère - Newbif - 600g (4x 150g),3381590001477,600 g (4 x 150 g),['Newbif'],"['Viandes', 'Surgelés', 'Bœuf', 'Steaks', 'Steaks de bœuf', 'Viandes surgelées', 'Steaks hachés', 'Steaks surgelés', 'Steaks de bœuf hachés', 'Steaks hachés surgelés', 'Steaks hachés de bœuf surgelés']","[""Saveurs de l'Année"", ""Saveurs de l'Année 2017"", 'en:saveurs-de-l-annee-france']",['France'],"['100% viande bovine Angus', ' Pourcentage de matières grasses inférieur à 20%', ' Rapport collagène sur protéines de viande inférieur à 1']",[],20 g,en quantité modérée,8.6 g,en quantité élevée,0 g,en faible quantité,0.17 g,en faible quantité,?,,378,+91%,1582 kj(378 kcal),+90%,20,+46%,"8,6",+43%,0,-100%,0,-100%,18,-5%,"0,17",-14%,"0,068",-14%,12,+243%,D,+243%,E,98.0%,0.5%,0.6%,0.6%,0.3%,0.1%,3,,"['Carton', 'Surgelé']",,['France'],,,,,"['FR 14.167.021 CE', 'Colombelles (Calvados, France)']",,,,
9,Olives pimentées à l'orientale - Tropic Apero,3382510037002,,['Tropic Apero'],,,['France'],"['TQOPIC APERO en www tropjc-apero fr OLIVES VERTES DENOYAUTÉES PIMENTEE A LORIENTALE su', 'fltes aces peuvent su bsjster 02E5G']",[],,,,,,,,,?,,208,,870 kj(208 kcal),,21,,3,,"2,1",,"0,1",,"1,3",,"4,5",,"1,8",,,,,,,,,,,,,,,,,,,,,,,,,,
