,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,generic_name,quantity,packaging,brand,categories,manufacturing,link,markets,allergens,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,eco_score,ingredients_origins,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,traceability_code,additives,labels,palm_ingredients
0,Pain au raisins,0205639020997,['France'],[],[],?,0,0 kj(0 kcal),16,10,65,26,"8,4","0,8","0,32",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Garden 108,5033931603809,['France'],[],[],?,0,0 kj(0 kcal),0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Sauce soja assaisonnée,4903065241004,['France'],[],[],?,42,176 kj(42 kcal),0,0,"7,5","7,5","3,1",10,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Ecrasé de pomme de terre à la truffe noire 1% - Picard - 450g,,['France'],"['Pomme de terre cuite 56,8% [pomme de terre ', 'France', 'sel]', 'purée de pomme de terre 28%', 'crème 8,2% ', 'lait', 'échalote rissolée [beurre ', 'lait', 'échalote 1,3%', ""huile d'olive vierge extra]"", 'brisures de truffes noires ', 'truffe Tuber melanosporum 1%', 'jus de truffe', 'sel', 'sel', 'arôme truffe 0,1%', 'poivre']",['Non végétalien'],582,139,582 kj(139 kcal),"7,3","4,5",15,2,2,"0,36","0,144","Écrasé de pomme de terre cuisiné à la crème, aux échalotes et à la truffe noire aromatisé 1%, surgelé",450 g,['Surgelé'],['Picard'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Préparations à base de pommes de terre', 'Purées', 'Purées de pommes de terre']",['France'],https://www.picard.fr/produits/ecrase-pomme-terre-truffe-noire-1-000000000000059027.html,['Picard'],['Lait'],4,7.3 g,en quantité modérée,4.5 g,en quantité modérée,2 g,en faible quantité,0.36 g,en quantité modérée,-40%,-43%,-44%,+196%,+233%,-68%,-10%,-64%,-40%,-40%,3,+108%,C,+108%,,,,,,,,,,,,,
4,Mélange de champignons forestiers à la crème - Picard - 450g,,['France'],"['Cèpe 20,4% ', 'Boletus aereus', 'Boletus edulis', 'Boletus pinicola', 'Boletus reticulatus', 'pholiote 20% ', 'Kuehneromyces mutabilis', 'crème fraîche liquide pasteurisée ', 'lait', ' 17,5% ', 'bolet jaune 13% ', 'Boletus luteus', 'brisure de morille 12% ', 'Morchella esculenta', 'Morchella conica', 'Morchella rotunda', 'morille entière 8% ', 'Morchella esculenta', 'Morchella conica', 'Morchella rotunda', 'eau', 'échalote confite 2,5% ', 'échalote 1,4%', 'sucre', 'huile de tournesol', 'oignon', 'sel', 'persil 1,2%,sel']",['Non végétalien'],331,80,331 kj(80 kcal),"6,5","4,5",3,"1,6","1,8","0,3","0,12","Mélange de champignons forestiers (53,4%), sauce à base de crème, échalote confite et persil (46,5%), surgelés",450 g,['Surgelé'],['Picard'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Légumes et dérivés', 'Champignons et produits dérivés', 'Champignons']",['France'],https://www.picard.fr/produits/melange-champignons-forestiers-creme-000000000000059326.html,['Picard'],['Lait'],3,6.5 g,en quantité modérée,4.5 g,en quantité modérée,1.6 g,en faible quantité,0.3 g,en quantité modérée,+157%,+95%,+108%,+731%,+2695%,+53%,+207%,-33%,-42%,-42%,-2,,A,,B,['Champignons origine UE et non-UE.'],56.0%,0.0%,0.0%,16.0%,22.9%,5.1%,98,,,,
5,Lentilles corail - 2kg,4260335834763,['France'],[],[],?,323,1351 kj(323 kcal),"1,6","0,2",42,"2,3",26,,,,2 kg,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Légumineuses et dérivés', 'Légumineuses', 'Graines', 'Graines de légumineuses', 'Légumes secs', 'Lentilles', 'Lentilles décortiquées', 'Lentilles rouges', 'Lentilles corail']",,,,,,1.6 g,en faible quantité,0.2 g,en faible quantité,2.3 g,en faible quantité,,,,-4%,-4%,-1%,-19%,-13%,+28%,+4%,,,,,,,B,,57.6%,0.0%,16.2%,14.1%,4.5%,7.6%,99,,,,
6,Fleur D'oranger,3760034625330,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['EMB 38133', 'Coublevie (Isère, France)']",,,
7,"10 mini-pains au chocolat, pur beurre - Picard - 250g",,['France'],"['Farine de blé* 41,9% [farine de blé ', 'gluten', 'gluten de blé]', 'eau*', 'beurre* ', 'lait', ' 16%', 'chocolat 11% ', 'sucre', 'pâte de cacao', 'beurre de cacao', 'émulsifiant : lécithines de soja', 'sucre* 3,8%', 'levure*', 'oeuf* entier sucré issu de poule élevée en plein air ', 'liquide', 'pasteurisé', 'sel*', 'gluten de blé*', 'améliorant [farine de blé ', 'gluten', 'acérola en poudre', 'enzymes]']",['Non végétalien'],1466,350,1466 kj(350 kcal),16,9,"4,2","9,2","8,2","0,87","0,348","10 mini pains au chocolat, pur beurre, prêt à cuire, surgelés",250 g,['Surgelé'],['Picard'],"['Snacks', 'Snacks sucrés', 'Viennoiseries', 'Pains au chocolat']",['France'],https://www.picard.fr/produits/10-mini-pains-chocolat-pur-beurre-000000000000082225.html,['Picard'],"['Gluten', 'Lait']",4,16 g,en quantité modérée,9 g,en quantité élevée,9.2 g,en quantité modérée,0.87 g,en quantité modérée,-13%,-12%,-12%,-27%,-32%,-90%,-23%,+14%,-4%,-4%,15,-24%,D,-24%,C,"['France', 'Belgique']",81.1%,12.4%,3.5%,2.7%,0.3%,0.0%,50,,['E322i - Lécithine'],,
8,Cavatappi - Bonneterre - 500g,3396411241734,['France'],[],[],?,353,1477 kj(353 kcal),"1,2","0,2",72,"2,5",12,0,0,,500 g,,['Bonneterre'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Pâtes alimentaires', 'Pâtes sèches', 'Pâtes de blé dur']",,,,,,1.2 g,en faible quantité,0.2 g,en faible quantité,2.5 g,en faible quantité,0 g,en faible quantité,,0%,-0%,-33%,-47%,+3%,-21%,-3%,-100%,-100%,-1,,A,,B,['Italie'],65.0%,21.6%,6.8%,3.5%,3.1%,0.0%,74,,,"['Bio', 'Bio européen', 'IT-BIO-009']",
9,Tradition Ambrée - La Soyeuse - 75cl,3770001439228,['France'],"['Eau', ""malts d'orge"", 'sucre de canne', 'houblon', 'levure']","['Sans huile de palme', 'Végétalien', 'Végétarien']",?,?,,?,,?,,?,,,,75 cl,"['Bouteille', 'Verre']",['La Soyeuse'],"['Boissons', 'Boissons alcoolisées', 'Produits artisanaux', 'Bières', 'Alcools artisanaux', 'Bières françaises', 'Bières ambrées', 'Bières artisanales', 'Bières bio']",['France'],,,['Gluten'],3,,,,,,,,,,,,,,,,,,,,,,,B,,6.8%,25.7%,41.7%,16.7%,7.1%,2.0%,57,,,"['Bio', 'Bio européen', 'Agriculture non UE', 'Agriculture UE', 'Agriculture UE/Non UE', 'FR-BIO-01', 'Déconseillé aux femmes enceintes']",
