,name,bar_code,eco_score,generic_name,quantity,packaging,brand,categories,labels,manufacturing,sales_countries,ingredients_list,additives,allergens,ingredients_analysis,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,palm_ingredients,ingredients_origins,traceability_code,markets,link,producer_info,origin_detail
0,Tomato Ketchup Louis Martin 560 GR - 560g 520ml,3142952750118,B,Tomato ketchup,560 g 520 ml,"['Bouteille', 'Plastique']",['Louis Martin'],"['Epicerie', 'Sauces', 'Sauces tomate', 'Ketchup']",['Point Vert'],['France'],['France'],"['Purée de tomates 60%', 'sirop de glucose-fructose', ""vinaigre d'alcool"", 'sucre', 'amidon transformé de maïs', 'sel', 'arômes naturels ', 'dont lactose et céleri', 'acidifiant : acide citrique', ""arôme naturel d'oignon "", 'dont lactose', ' Les informations en gras sont destinées aux personnes intolérantes ou allergiques']","['E14XX - Amidons modifiés', 'E330 - Acide citrique']","['Céleri', 'Lait']","['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",4,0.1 g,en faible quantité,0.04 g,en faible quantité,22 g,en quantité élevée,2.55 g,en quantité élevée,?,,110,+4%,460 kj(110 kcal),+5%,"0,1",-59%,"0,04",-37%,"25,3",+11%,22,+12%,"1,3",0%,"2,55",+28%,"1,02",+28%,13,+7%,D,+7%,37.2%,25.2%,17.2%,12.9%,5.9%,1.6%,94,,,,,,,
1,Popcorn salé,3143110094754,,,,,,,,,['France'],[],,,[],,,,,,,,,,?,,418,,1749 kj(418 kcal),,"19,9",,"9,2",,"49,3",,"1,2",,"8,3",,"1,7",,"0,68",,,,,,,,,,,,,,,,,,,
2,Hershey's - 43g,3144550003627,,,43 g,"['Sachet', 'Plastique']","[""Hershey's""]","['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Confiseries', 'Barres', 'Confiseries chocolatées', 'Barres chocolatées']",,,['France'],"['Sucrc', 'huilcs végétales ', 'palme', 'karité', 'tournesol et/ou carthame', 'LAIT écrémé', 'sirop de mais', 'farinc de BLÉ enrichie ', 'farinc', 'niacinc', 'sulfatc ferreux', 'thiamine mononitrate', 'riboflavine', 'acide foliquc', 'lactose ', 'LAIT', ""cacao traité à l'alcali"", 'lactosérum ', 'LAIT', 'sirop de mais richc cn fructose', 'bcurrc de cacao', 'émulsifiants : lécithine de SOJA et E476', 'poudre à lever : E500ii', 'sel', 'arômes naturel ct artificicl', 'antioxydant : F,307', 'Fabriqué dans un atelier qui utilisc des fruits à coque,']","['E322i - Lécithine', ""E476 - Esters polyglycériques d'acides gras d'huile de ricin"", 'E500ii - Carbonate acide de sodium']","['Gluten', 'Lait', 'Soja']","['Huile de palme', 'Non végétalien']",4,24 g,en quantité élevée,16 g,en quantité élevée,42 g,en quantité élevée,0.6 g,en quantité modérée,?,,534,+6%,2234 kj(534 kcal),+6%,24,-12%,16,+6%,60,+8%,42,-7%,6,-12%,"0,6",+86%,"0,24",+86%,27,+11%,E,+11%,,,,,,,,['Huile de palme'],,,,,,
3,Pulpe d’ail - Éric Bur,3144550005164,,,,,['Éric Bur'],,,,['France'],[],,,[],,,,,,,,,,?,,203,,849 kj(203 kcal),,"13,7",,"3,5",,"13,7",,"1,4",,"5,9",,"2,95",,"1,18",,,,,,,,,,,,,,,,,,,
4,Eric Bur Creme Artichaud 90G,3144550005287,,,,,['Eric bur'],,,,['France'],[],,,[],,,,,,,,,,?,,272,,1138 kj(272 kcal),,"27,6",,"4,5",,"1,9",,"0,9",,2,,"1,375",,"0,55",,,,,,,,,,,,,,,,,,,
5,Huile vierge de sesame ERIC BUR,3144550005683,,,,,['Eric bur'],['Matières grasses'],,,['France'],"['llXF/c sesame oil', ' 3 1445 May contain nuts andpeanuts', ' ERIC BURO 14 rue Gambetta le Mesnil Le Roi 78601 FRANCE Tél: +33 ', '0', ' 1 30 22 91 91 www', 'e']",,,[],,100 g,en quantité élevée,15 g,en quantité élevée,0 g,en faible quantité,0 g,en faible quantité,?,,900,+12%,3766 kj(900 kcal),+12%,100,+13%,15,-34%,0,-100%,0,-100%,0,-100%,0,-100%,0,-100%,11,-3%,D,-3%,,,,,,,,,,,,,,
6,Mûres sans pépins - Eric Bur,3144550005751,D,,,,['Eric Bur'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Produits à tartiner', 'Petit-déjeuners', 'Fruits et produits dérivés', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', 'Confitures de fruits rouges', 'Confitures de mûres']",,,['France'],"['mûres sans pépins', 'sucre', 'gélifiant: pectine de fruits']",['E440 - Pectines'],,[],4,0.18 g,en faible quantité,0.01 g,en faible quantité,61 g,en quantité élevée,1 g,en quantité modérée,?,,254,+9%,1063 kj(254 kcal),+10%,"0,18",-36%,"0,01",-84%,61,+10%,61,+16%,"0,84",+41%,1,+2841%,"0,4",+2841%,16,+62%,D,+62%,75.0%,7.5%,10.3%,5.1%,1.7%,0.4%,50,,,,,,,
7,Confiture extra de fraises ERIC BUR,3144550005874,D,,,,['Eric bur'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Produits à tartiner', 'Petit-déjeuners', 'Fruits et produits dérivés', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', 'Confitures de fruits rouges', 'Confitures de fraises']",,,['France'],"['fraises', ' sucre', 'gélifiant: pectine de fruits']",['E440 - Pectines'],,"['Sans huile de palme', 'Végétalien', 'Végétarien']",4,0.2 g,en faible quantité,0.03 g,en faible quantité,59 g,en quantité élevée,0 g,en faible quantité,?,,244,+12%,1021 kj(244 kcal),+12%,"0,2",-17%,"0,03",-33%,59,+11%,59,+16%,"0,45",+2%,0,-100%,0,-100%,8,-8%,C,-8%,75.0%,7.5%,10.3%,5.1%,1.7%,0.4%,50,,,,,,,
8,Marmelade de mandarines ERIC BUR,3144550006048,,,,,,,,,['France'],[],,,[],,,,,,,,,,?,,271,,1134 kj(271 kcal),,"0,1",,"0,03",,66,,66,,"0,5",,0,,0,,,,,,,,,,,,,,,,,,,
9,Pain d'épices aux figues - Eric Bur - 300g,3144550008226,B,,300 g,"['Sachet', 'Plastique']",['Eric Bur'],"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', ""Pains d'épices"", 'Prianiki']",,,['France'],"['Sirop de glucose-fructose', 'farine de seigle', 'figues séchées ', 'figues', 'farine de riz', 'eau', 'poudres à lever ', 'carbonate acide de sodium', 'diphosphate disodique']","['E500ii - Carbonate acide de sodium', 'E450i - Pyrophosphate de sodium acide']",['Gluten'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",4,1.1 g,en faible quantité,0.3 g,en faible quantité,47 g,en quantité élevée,0.5 g,en quantité modérée,1355,-0%,?,,1355 kj(324 kcal),-3%,"1,1",-45%,"0,3",-56%,71,-2%,47,+10%,"3,2",-10%,"0,5",+7%,"0,2",+7%,16,+21%,D,+21%,61.5%,18.9%,9.5%,5.0%,5.0%,0.0%,90,,,,,,,
10,Piment fort concassé hot ground pepper - Éric Bur,3144550010809,,,,,['Éric Bur'],,,,['France'],[],,,[],,,,,,,,,,?,,0,,0 kj(0 kcal),,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,
11,Confiture extra de clémentine de corse - Eric Bur - 360g,3144550016412,D,,360 g,,['Eric Bur'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Produits à tartiner', 'Petit-déjeuners', 'Fruits et produits dérivés', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', ""Confitures d'agrumes"", 'Confitures de clémentine']",['Point Vert'],,['France'],"['Clémentines', 'sucre de canne', 'sirop de glucose', 'jus de citron', 'gélifiant: pectine de fruit', ' Peut contenir des traces de fruits à coque et de lait', ' Peut contenir des pépins']",['E440 - Pectines'],,"['Sans huile de palme', 'Végétalien', 'Végétarien']",4,0.8 g,en faible quantité,0.2 g,en faible quantité,52 g,en quantité élevée,0 g,en faible quantité,?,,252,+7%,1054 kj(252 kcal),+7%,"0,8",+152%,"0,2",+218%,61,+6%,52,-4%,"0,5",+7%,0,-100%,0,-100%,12,+14%,D,+14%,75.0%,7.5%,10.3%,5.1%,1.7%,0.4%,50,,,,,,,
12,Miel d'acacia - Eric BUR - 300g,3144550019307,B,Miel d'acacia,300g,"['Bocal verre', 'Couvercle métal']",['Eric BUR'],"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels', 'Miels roumains', 'Miels liquides']",,,['France'],"[""Miel d'acacia 100%""]",,,"['Sans huile de palme', 'Non végétalien', 'Végétarien']",2,0 g,en faible quantité,0 g,en faible quantité,80 g,en quantité élevée,0.006 g,en faible quantité,?,,323,+2%,1351 kj(323 kcal),+2%,0,-100%,0,-100%,80,-0%,80,+5%,"0,4",+31%,"0,006",-59%,"0,002",-59%,,,,,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,,['Roumanie'],,,,,
13,Poliakov Ice Fresh Effect - 0.7l,3147699113141,,,0.7l,['Bouteille'],['Poliakov'],,,['Belgique'],['France'],['?'],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,['LM 94220 FR'],['Magasins U'],,,
14,Roquefort (32% MG) - Gabriel Coulet - 150g,3151380003437,D,AOP Roquefort au lait cru de brebis,150 g,"['Plastique', 'Frais']",['Gabriel Coulet'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte persillée', 'Fromages au lait cru', 'Fromages à pâte persillée français', 'Fromages de brebis', 'Roqueforts']",['AOP'],['France'],['France'],['Lait cru de brebis'],,,"['Sans huile de palme', 'Non végétalien', 'Végétarien']",3,32 g,en quantité élevée,24 g,en quantité élevée,0 g,en faible quantité,3.45 g,en quantité élevée,1507,-0%,360,-2%,1507 kj(360 kcal),-2%,32,+0%,24,+8%,0,-100%,0,-100%,19,-2%,"3,45",-3%,"1,38",-3%,19,0%,E,0%,88.4%,4.4%,2.4%,3.1%,1.4%,0.4%,44,,,"['FR 12.203.036 CE', 'Roquefort-sur-Soulzon (Aveyron, France)']",['Auchan'],,,
15,Biscuits cuillers - Cantreau,3152280012178,,,,,['Cantreau'],,,,['France'],"['sucre', 'œufs frais 34%', 'farine de blé', 'sirop de sucre inverti', 'stabilisant: glycérol', 'arôme', 'sel', 'acidifiant: tartrates de potas - sium', 'épaississant: gomme xanthane']","['E422 - Glycérol', 'E334 - Acide L-tartrique', 'E415 - Gomme xanthane']","['Œufs', 'Gluten']",['Non végétalien'],4,,,,,,,,,?,,354,,1481 kj(354 kcal),,"3,6",,"1,2",,"71,2",,"48,1",,"7,3",,"0,175",,"0,07",,,,,,,,,,,,,,,,,,,
