,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_fat_tr,nutriment_carbohydrates_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,nutriment_energy_tr,nutriment_saturated-fat_tr,nutriment_sugars_tr,brand,eco_score,categories,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_proteins_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,quantity,labels,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_sugars_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,traceability_code,generic_name,packaging,allergens,nova_score,additives,manufacturing,markets,ingredients_origins,palm_ingredients,link,brand_owner
0,Queu de cerise,3701185700378,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Dark chocolate,01414032,['France'],[],[],?,?,?,?,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Pastel de feijao,5600340610010,['France'],[],[],?,372,"12,5",56,"7,8","0,16","0,064",1556 kj(372 kcal),"2,9","51,7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,"Grüne Oliven, Ohne Kern",80082354,['France'],[],[],?,176,17,"3,8",1,"2,5",1,736 kj(176 kcal),"2,9",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Huile d'Olive de Provence A.O.C,3760225201527,['France'],[],[],?,981,100,0,0,0,0,4105 kj(981 kcal),15,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Galettes framboise - Biscuiterie des iles,3373030001390,['France'],[],[],?,517.4,"31,3","46,7","7,9","0,8","0,32",2165 kj(517 kcal),"14,4","38,45",['Biscuiterie des iles'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Daily pea protein & super greens plus,0840093110640,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Gelée de cassis,3760269641518,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Croissant pain au chocolat,0208565025913,['France'],[],[],?,461,26,48,"8,2","1,1","0,44",1929 kj(461 kcal),17,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,teriyaki senbei shoyu,4978041024131,['France'],[],[],?,373,"0,9","84,3","6,8","2,06","0,824",1561 kj(373 kcal),"0,08","0,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
