,name,bar_code,labels,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_fat_tr,nutriment_carbohydrates_tr,nutriment_proteins_tr,quantity,nutriment_energy_tr,nutriment_saturated-fat_tr,nutriment_sugars_tr,nutriment_salt_tr,nutriment_sodium_tr,brand,categories,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_proteins_tr_diff,traceability_code,eco_score,packaging,ingredients_origins,manufacturing,link,markets,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_sugars_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,additives,allergens,generic_name,palm_ingredients,origin_detail,producer_info,brand_owner
0,Goran tee,4021209000123,['Fabriqué en Allemagne'],['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Cranberrys - 100g,4058172241246,"['Bio', 'en:EG-Öko-Verordnung']",['France'],[],[],?,322,1,74,"0,8",100 g,1347 kj(322 kcal),"0,2",60,"0,01","0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Bière IPA,3484703000272,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Le Petit baton,8410843122708,,['France'],[],[],?,435,35,7,23,,1820 kj(435 kcal),12,"5,5",5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Semoule d’orge - Zamia - 1kg,5420038402914,,['France'],[],[],?,?,?,?,?,1 kg,,,,,,['Zamia'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Diamanti al basilico bio,8007303014231,"['Bio', 'Bio européen', 'IT-BIO-014']",['France'],[],[],?,220,"7,9",30,"6,5",,920 kj(220 kcal),"3,5","0,7","0,8","0,32",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Lomo des pyrenees - Delpeyrat,3067163641492,['Sans colorants'],['France'],[],[],?,198,"4,9","4,6",34,,828 kj(198 kcal),2,0,"1,5","0,6",['Delpeyrat'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Pastèques,8412276585976,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Cerises de Provence - Bigarreau - 750g,3700587600095,,['France'],[],[],?,?,?,?,?,750g,,,,,,['Bigarreau'],,,,,,,"['EMB 84031X', 'Carpentras (Vaucluse, France)']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Tomate Cerise Allongée,3770008780385,"['Bio', 'Bio européen', 'FR-BIO-10']",['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,"['EMB 66133B', 'Palau-del-Vidre (Pyrénées-Orientales, France)']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
