,name,bar_code,quantity,packaging,brand,categories,labels,ingredients_origins,manufacturing,traceability_code,markets,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,eco_score,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,additives,nova_score,allergens,generic_name,palm_ingredients,link,producer_info,origin_detail
0,Cervelle de veau - Kerméné - 300g,3266110098468,300 g,"['Frais', 'Plastique']",['Kerméné'],"['Viandes', 'Poissons et viandes et oeufs', 'Abats', 'Viandes de veau', 'Cervelles']","['Point Vert', 'Origine France']",['France'],['France'],"['FR 22.046.001 CE', ""Collinée (Côtes-d'Armor, France)""]",['Leclerc'],['France'],['Cervelle de veau'],[],?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Rognon de Veau - Kermené - 400g,3266110098499,400 g,"['Frais', 'Plastique']",['Kermené'],"['Viandes', 'Poissons et viandes et oeufs', 'Viandes fraîches', 'Abats', 'Viandes de veau', 'Rognons de veau', 'Rognons']",['Point Vert'],['France'],['France'],"['FR 22.046.001 CE', ""Collinée (Côtes-d'Armor, France)""]",['Leclerc'],['France'],['Rognon de veau'],[],?,,?,,?,,?,,?,,D,96.9%,0.5%,1.0%,0.9%,0.5%,0.1%,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Jambon cuit superieur - Les eleveurs de bretagne,3266110500565,,,['Les eleveurs de bretagne'],"['Viandes', 'Charcuteries', 'Jambons', 'Jambons blancs']",['Qualité supérieure'],,,,,['France'],[],[],?,,152,+15%,"7,7",+60%,"0,7",+5%,20,-5%,E,80.5%,11.8%,4.9%,1.6%,0.9%,0.3%,33,7.7 g,en quantité modérée,3.2 g,en quantité modérée,0.7 g,en faible quantité,1.9 g,en quantité élevée,636 kj(152 kcal),+16%,"3,2",+74%,"0,7",+18%,"1,9",+2%,"0,76",+2%,12,+70%,D,+70%,,,,,,,,
3,Terrine de canard - Kermené - 170g,3266110501319,170 g,,['Kermené'],"['Viandes', 'Charcuteries', 'Produits à la viande', 'Terrines', 'Terrines de volailles', 'Terrines de canard']",,,,,,['France'],[],[],?,,260,-15%,20,-24%,"3,7",+115%,16,+13%,E,77.8%,15.8%,3.0%,2.2%,1.0%,0.3%,33,20 g,en quantité modérée,7.9 g,en quantité élevée,0.4 g,en faible quantité,1.5 g,en quantité modérée,1088 kj(260 kcal),-15%,"7,9",-17%,"0,4",-35%,"1,5",-2%,"0,6",-2%,16,-11%,D,-11%,,,,,,,,
4,Museau de boeuf,3266110600876,,,,,"['Viande Française', 'Viande-bovine-francaise']",,,"['FR 22.364.008 CE', ""Trélivan (Côtes-d'Armor, France)""]",,['France'],[],[],?,,152,,11,,"3,2",,11,,,,,,,,,,,,,,,,,,636 kj(152 kcal),,"1,1",,"0,7",,"1,3",,"0,52",,,,,,,,,,,,,
5,Piemontaise traditionnelle,3266110601156,,,,,,,,,,['France'],[],[],?,,150,,10,,"7,9",,7,,,,,,,,,,,,,,,,,,628 kj(150 kcal),,"1,1",,"0,6",,"0,75",,"0,3",,,,,,,,,,,,,
6,Salade Caesar,3266110601453,,,,,,,,,,['France'],[],[],?,,185,,11,,10,,12,,,,,,,,,,,,,,,,,,774 kj(185 kcal),,2,,"1,4",,1,,"0,4",,,,,,,,,,,,,
7,Araignée à l'espagnole - Kermené - 450g,3266110700347,450 g,"['Frais', 'Plastique']",['Kermené'],"['Viandes', 'Viandes fraîches', 'Porc', 'Viandes marinées']","['Viande Française', 'Ne pas recongeler', 'Viande Porcine Française', 'Point Vert', 'Décongelé']",['France'],['France'],"['FR 22.046.001 CE', ""Collinée (Côtes-d'Armor, France)""]",['Leclerc'],['France'],"['Araignée de porc ', '88 %', 'marinade ', '12 %', ' ', 'eau', 'huile de tournesol', 'épices et plantes aromatiques ', '1,8 %', ""vinaigre d'alcool"", ""arômes naturels et extraits d'épices"", 'sel', 'antioxydants : E300-E301', ',']",[],?,,152,-10%,"7,6",-3%,"0,5",-77%,20,+5%,,,,,,,,,7.6 g,en quantité modérée,2.2 g,en quantité modérée,0.2 g,en faible quantité,1.5 g,en quantité modérée,636 kj(152 kcal),-6%,"2,2",-13%,"0,2",-84%,"1,5",+23%,"0,6",+23%,4,-19%,C,-19%,"['E300 - Acide ascorbique', 'E301 - Ascorbate de sodium']",4,,,,,,
8,Paupiettes de porcs - Leclerc,3266110800184,,,['Leclerc'],,,,,"['FR 22.046.001 CE', ""Collinée (Côtes-d'Armor, France)""]",,['France'],"['Farce 55% ', 'viande de porc ', '32%', 'eau', ' gras de porc & viande de boeuf', 'chapelure ', 'blé', 'sel', 'acidifiants : E262 & E325', 'lactose', 'dextrose', 'betterave rouge,épices', 'sucre', 'arômes naturels', 'antioxydant : E301 plantes aromatiques', 'maltodextrine de pomme de terre', 'levure ', 'viande de porc ', '29%', 'barde de porc', 'Traces de soja', ' Pourcentage exprimé sur le poids']","['Non végétalien', 'Non végétarien']",?,,310,,28,,"1,5",,13,,,,,,,,,,,,,,,,,,1297 kj(310 kcal),,11,,"1,1",,"1,4",,"0,56",,,,,,"['E262 - Acétates de sodium', 'E325 - Lactate de sodium', 'E301 - Ascorbate de sodium']",4,"['Gluten', 'Lait', 'Soja']",,,,,
9,Tortellini bœuf bolognaise - Royans - 1kg (7à 9portions),3266140030124,1 kg (7 à 9 portions),"['Frais', 'Sachet plastique', 'Sous atmosphère protectrice']",['Royans'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Plats préparés', 'Frais', 'Plats à base de pâtes', 'Pâtes alimentaires', 'Pâtes farcies', 'Plats préparés frais', 'Pâtes fraîches', 'Tortellini', 'Tortellinis bœuf bolognaise', 'Tortellinis frais']","['Point Vert', 'Eco-Emballages']",,"['Saint Jean - 44 Avenue des Allobroges - Zone Industrielle - 26100 Romans-sur-Isère', 'Drôme', 'Rhône-Alpes', 'France']","['FR 26.281.031 CE', 'Romans-sur-Isère (Drôme, France)']",['Boucheries André'],['France'],"['Pâte ', '70 %', ' : semoule de blé dur de qualité supérieure', 'eau', 'œufs frais ', '140 g par kg de semoule', '\rFarce ', '30 %', ' : préparation de viande de bœuf 39', '8 % ', 'bœuf 91 %', 'eau', 'fécule de pomme de terre', 'sel', 'couscous ', 'blé', 'concentré de tomate 11 %', 'tomates 6,3 %', 'coulis de tomate 6 %', 'oignons 4 %', 'eau', 'sel', ""huile d'olive"", 'sucre', 'ail', 'thym', 'poivre']","['Non végétalien', 'Non végétarien']",?,,253,,"4,3",-13%,"42,3",+18%,"10,2",+20%,,,,,,,,,4.3 g,en quantité modérée,1.6 g,en quantité modérée,1.4 g,en faible quantité,1 g,en quantité modérée,1059 kj(253 kcal),+11%,"1,6",-27%,"1,4",-42%,1,+2%,"0,4",+2%,3,-14%,C,-14%,,3,"['Œufs', 'Gluten']",Plat préparé frais,,,,
10,Fagottini Comté - Basilic de Provence - Royans - 500g e,3266140053192,500 g e,"['Plastique', 'Frais']",['Royans'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Plats préparés', 'Plats à base de pâtes', 'Pâtes alimentaires', 'Pâtes farcies', 'Pâtes fraîches', 'Fagottini']",['Point Vert'],,,,['Boucheries André'],['France'],"['Pâtes 65%', 'semoule de blé dur de qualité supérieure', 'eau', 'œufs frais', '\rFarce 35 % : Comté 32 %', 'chapelure ', 'blé', 'ricotta', 'fromage blanc frais', 'basilic de Provence 12 %', 'couscous ', 'blé', 'huile végétale ', 'colza ou tournesol', 'sel']","['Sans huile de palme', 'Non végétalien']",?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,"['Œufs', 'Gluten', 'Lait']",Fagottini Comté - Basilic de Provence,,,,
11,Canelloni Boeuf & légumes cuisinés - Royans - 500g,3266140055301,500 g,,['Royans'],,,,,,,['France'],"['Farce ', '65%', ' : Viande de boeuf cuite 27%', 'légumes 11,9% ', 'oignons', 'carottes', 'tomates séchées', 'coulis de tomate', 'eau', 'concentré de tomate', 'chapelure ', 'blé', 'flocons de pomme de terre ', 'pomme de terre déshydratée', ""extrait d'épices"", 'ricotta', 'huile de tournesol', 'fibre de blé', 'arômes naturels ', 'blé', 'sel', 'sucre', 'thym', 'ail', 'poivre ', 'pourcentages exprimés sur la farce', ' Pâte ', '35%', ' : Semoule de blé dur de qualité supérieure 72,4%', 'eau', 'œufs frais 10,1% ', '140g par kg de semoule', ' ', 'pourcentages exprimés sur la pâte', ' Peut Contenir des traces de soja', 'sésame et fruits à coque']","['Non végétalien', 'Non végétarien']",?,,205,,"4,9",,"29,1",,"9,4",,,,,,,,,,,,,,,,,,858 kj(205 kcal),,"1,2",,"3,5",,"1,6",,"0,64",,,,,,,4,"['Œufs', 'Gluten', 'Lait']",,,,,
