,name,bar_code,eco_score,packaging,brand,categories,sales_countries,ingredients_list,additives,ingredients_analysis,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,generic_name,quantity,manufacturing,traceability_code,markets,allergens,ingredients_origins,labels,link,palm_ingredients,brand_owner
0,Les grisettes de Montpellier - Les mousquetaires,3381311234566,E,"['Boîte', 'Métal']","['Les mousquetaires', 'Les grisettes de Montpellier']","['Snacks', 'Snacks sucrés', 'Confiseries', 'Bonbons']",['France'],"['sucre', 'sirop de glucose', 'réglisse', 'arômes : miel', 'anethol', 'colorants : E151', 'E104', 'E129', 'amidon transformé de blé']","['E151 - Noir brillant BN', 'E104 - Jaune de quinoléine', 'E129 - Rouge allura AC', 'E14XX - Amidons modifiés']",['Non végétalien'],4,0.1 g,en faible quantité,0 g,en faible quantité,64.2 g,en quantité élevée,0.1 g,en faible quantité,?,,378,+6%,1582 kj(378 kcal),+5%,"0,1",-95%,0,-100%,"93,8",+13%,"64,2",+11%,"0,2",-91%,"0,1",-17%,"0,04",-17%,14,-3%,D,-3%,90.3%,5.0%,2.2%,2.0%,0.5%,0.0%,34,,,,,,,,,,,
1,10 burgers surgelés Préparation de viande bovine à 51% et de protéines végétales - Pouce - 1kg,3381590001538,,"['Carton', 'Surgelé']","['Pouce', 'Chiron Viandes', 'Chiron', 'Chiron ACVF', 'Auchan']","['Viandes', 'Surgelés', 'Bœuf', 'Viandes surgelées', 'Préparations de viande', 'Préparations de viande bovine', 'Préparations de viande surgelées', 'Préparations de viande hachée', 'Préparations de viande hachées surgelées', 'Préparations de viande bovine hachée', 'Préparations de viande bovine hachée surgelées']",['France'],"['Viande bovine 48%', 'eau', 'protéines de soja', 'gras de bovin 3%', 'chapelure ', 'contient gluten', 'plantes aromatiques', 'arômes ', 'contient soja', 'fibre de blé ', 'contient gluten', 'exhausteur de goût : glutamate monosodique', 'sel', 'betterave rouge déshydratée']","['E621 - Glutamate monosodique', '', 'Risque élevé de sur-exposition']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",4,15 g,en quantité modérée,6.9 g,en quantité élevée,2 g,en faible quantité,1.1 g,en quantité modérée,859,-7%,207,-3%,859 kj(207 kcal),-6%,15,-7%,"6,9",-4%,"4,3",+55%,2,+127%,"13,1",-11%,"1,1",+20%,"0,44",+20%,12,+9%,D,+9%,,,,,,,,Préparation de viande bovine à 51% et de protéines végétales,1kg,['France'],"['FR 14.167.021 CE', 'Colombelles (Calvados, France)']",['Auchan'],"['Gluten', 'Soja']",,,,,
2,LIMON'Verde - SORRENTINI - 50cl,3381661001955,,,['SORRENTINI'],,['France'],[],,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,50cl,,,,,,,,,
3,Satin - Satin prestige,3381781001637,C,,['Satin prestige'],"['Boissons', 'Boissons alcoolisées', 'Vins', 'Vins français', 'Côtes de Provence']",['France'],[],,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,0,,0,,,,,,46.9%,6.6%,27.8%,12.7%,4.8%,1.3%,43,,,,,,,['France'],,,,
4,Bêtise de Cambrai - Despinoy - 250g,3382030112128,E,,['Despinoy'],"['Snacks', 'Snacks sucrés', 'Confiseries', 'Bonbons']",['France'],"['sucre', 'sirop de glucose', 'colorant naturel : Ca extrait de spiruline', 'arôme co acidifiant ', 'acide tartrique', ' Peut contenir des traces de f la coque', "" Conserver à l'abri de la lumi l'humidité Poids net 250 g""]",['E334 - Acide L-tartrique'],[],4,0.0001 g,en faible quantité,0.0001 g,en faible quantité,66 g,en quantité élevée,0.02 g,en faible quantité,?,,388,+9%,1623 kj(388 kcal),+8%,0,-100%,0,-100%,97,+16%,66,+14%,0,-100%,"0,02",-83%,"0,008",-83%,14,-3%,D,-3%,90.3%,5.0%,2.2%,2.0%,0.5%,0.0%,34,,250 g,,,,,,,,,
5,Bêtise de cambrai,3382031301064,E,,,"['Snacks', 'Snacks sucrés', 'Confiseries', 'Bonbons']",['France'],[],,[],,0 g,en faible quantité,0 g,en faible quantité,66 g,en quantité élevée,0.02 g,en faible quantité,?,,388,+9%,1623 kj(388 kcal),+8%,0,-100%,0,-100%,97,+16%,66,+14%,0,-100%,"0,02",-83%,"0,008",-83%,14,-3%,D,-3%,90.3%,5.0%,2.2%,2.0%,0.5%,0.0%,34,,,,,,,,,,,
6,Bêtises De Cambrai - Despinoy,3382031610005,E,,['Despinoy'],"['Snacks', 'Snacks sucrés', 'Confiseries', 'Bonbons']",['France'],[],,[],,0 g,en faible quantité,0 g,en faible quantité,66 g,en quantité élevée,0.02 g,en faible quantité,?,,388,+9%,1623 kj(388 kcal),+8%,0,-100%,0,-100%,97,+16%,66,+14%,0,-100%,"0,02",-83%,"0,008",-83%,14,-3%,D,-3%,90.3%,5.0%,2.2%,2.0%,0.5%,0.0%,34,,,,,,,,,,,
7,Bêtises de Cambrai,3382032006661,E,,,"['Snacks', 'Snacks sucrés', 'Confiseries', 'Bonbons']",['France'],[],,[],,0.5 g,en faible quantité,0.1 g,en faible quantité,65.7 g,en quantité élevée,0.02 g,en faible quantité,?,,389,+9%,1628 kj(389 kcal),+9%,"0,5",-73%,"0,1",-91%,"97,1",+17%,"65,7",+13%,"0,5",-76%,"0,02",-83%,"0,008",-83%,14,-3%,D,-3%,90.3%,5.0%,2.2%,2.0%,0.5%,0.0%,34,,,,,,,,['Sans colorants'],,,
8,Betises de Cambrai - Despinoy,3382033003331,E,,['Despinoy'],"['Snacks', 'Snacks sucrés', 'Confiseries', 'Bonbons', 'Bonbons français', 'Bêtises de Cambrai']",['France'],['ARTISAÌ\\ALE'],,[],,0.3 g,en faible quantité,0.1 g,en faible quantité,66 g,en quantité élevée,0.02 g,en faible quantité,?,,389,+1%,1628 kj(389 kcal),+1%,"0,3",-22%,"0,1",+275%,97,+1%,66,-11%,1,+194%,"0,02",-64%,"0,008",-64%,14,0%,D,0%,90.3%,5.0%,2.2%,2.0%,0.5%,0.0%,34,,,,,,,,['Sans colorants'],,,
9,"Les hermines, Crepes bretonnes pur beurre, le sachet de 12 - Creperie de guerledan",3382260000011,,,['Creperie de guerledan'],,['France'],['Farine de Froment Oeufs?Sucre - Lait en Poudre écrémé - Beurie concentré 6% - Farine de sarrasin Gluten de Fromont - Arôme vanille - Sel'],,['Non végétalien'],4,,,,,,,,,?,,377,,1577 kj(377 kcal),,"8,2",,"3,5",,"37,6",,"26,7",,"8,2",,"0,271",,"0,108",,,,,,,,,,,,,,,,,,,,['en:gluten-free'],,,
