,name,bar_code,eco_score,brand,categories,sales_countries,ingredients_list,ingredients_analysis,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,quantity,labels,salt_quantity,salt_comment,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,nova_score,generic_name,packaging,additives,allergens,ingredients_origins,markets,traceability_code,link,manufacturing,palm_ingredients
0,I ♡ Quiberon - La Cour d'Orgères,3760194182094,D,"[""La Cour d'Orgères""]","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Produits à tartiner', 'Petit-déjeuners', 'Fruits et produits dérivés', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', 'Confitures multifruits']",['France'],[],[],0.5 g,en faible quantité,0 g,en faible quantité,44 g,en quantité élevée,?,,193,-11%,808 kj(193 kcal),-11%,"0,5",+67%,0,-100%,44,-16%,44,-13%,"0,8",+46%,75.0%,7.5%,10.3%,5.1%,1.7%,0.4%,50,,,,,,,,,,,,,,,,,,,,,,,
1,"Jolie frimousse Fraise, pamplemousse et poivre du Timut - La Cour d'Orgères - 240g",3760194183398,D,"[""La Cour d'Orgères""]","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Produits à tartiner', 'Petit-déjeuners', 'Fruits et produits dérivés', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', 'Confitures multifruits']",['France'],[],[],0.5 g,en faible quantité,0 g,en faible quantité,55 g,en quantité élevée,?,,223,+3%,933 kj(223 kcal),+2%,"0,5",+67%,0,-100%,55,+6%,55,+9%,"0,5",-9%,75.0%,7.5%,10.3%,5.1%,1.7%,0.4%,50,240 g,['Point Vert'],0.1 g,en faible quantité,"0,1",+313%,"0,04",+313%,10,+5%,C,+5%,,,,,,,,,,,
2,CONFITURE EXTRA DE FRAISES - La Cour d'Orgères,3760194183527,D,"[""La Cour d'Orgères""]","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Produits à tartiner', 'Petit-déjeuners', 'Fruits et produits dérivés', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', 'Confitures de fruits rouges', 'Confitures de fraises']",['France'],[],[],0.3 g,en faible quantité,0.04 g,en faible quantité,55 g,en quantité élevée,?,,230,+6%,962 kj(230 kcal),+5%,"0,3",+24%,"0,04",-11%,55,+4%,55,+8%,"0,7",+58%,75.0%,7.5%,10.3%,5.1%,1.7%,0.4%,50,,,0.01 g,en faible quantité,"0,01",-56%,"0,004",-56%,11,+26%,D,+26%,,,,,,,,,,,
3,Confiture - La Cour d'Orgères - 250g,3760194183541,C,"[""La Cour d'Orgères""]","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Produits à tartiner', 'Petit-déjeuners', 'Fruits et produits dérivés', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', 'Confitures de fruits rouges', 'Confitures de framboises']",['France'],"['Framboise ', '57%', 'sucre']","['Sans huile de palme', 'Végétalien', 'Végétarien']",0.5 g,en faible quantité,0 g,en faible quantité,57 g,en quantité élevée,?,,246,+10%,1029 kj(246 kcal),+10%,"0,5",+85%,0,-100%,57,+7%,57,+11%,"0,8",+19%,65.8%,9.7%,13.4%,8.4%,2.2%,0.6%,60,250 g,,0.1 g,en faible quantité,"0,1",+369%,"0,04",+369%,8,-10%,C,-10%,3,,,,,,,,,,
4,Confiture maracuga - La Cour d'Orgères,3760194183688,D,"[""La Cour d'Orgères""]","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Produits à tartiner', 'Petit-déjeuners', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Gelées de fruits', 'Gelées de fruits de la passion']",['France'],"['Jus de la passion 58,13 %', 'sucre', 'gélifiant: pectine']","['Sans huile de palme', 'Végétalien', 'Végétarien']",,,,,,,?,,?,,,,?,,,,?,,,,?,,75.0%,7.5%,10.3%,5.1%,1.7%,0.4%,50,,['Point Vert'],,,,,,,,,,,4,Gelée de fruit de la passion,"['Bocal', 'Verre', 'métal']",['E440 - Pectines'],,,,,,,
5,Rhubarbe - Confiture traditionnelle - La Cour d'Orgères - 250g,3760194183862,D,"[""La Cour d'Orgères""]","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Produits à tartiner', 'Petit-déjeuners', 'Légumes et dérivés', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', 'Confitures de rhubarbe', 'en:vegetable-jams']",['France'],"['Pour 100 g', '55,45% rhubarbe', 'Sucre', 'gélifiant : pectine']",[],0.5 g,en faible quantité,0 g,en faible quantité,55.5 g,en quantité élevée,?,,224,+2%,937 kj(224 kcal),+1%,"0,5",+140%,0,-100%,"55,5",+2%,"55,5",+5%,"0,5",+7%,75.0%,7.5%,10.3%,5.1%,1.7%,0.4%,50,250 g,['Fabriqué en France'],0.1 g,en faible quantité,"0,1",+398%,"0,04",+398%,11,+30%,D,+30%,4,,,['E440 - Pectines'],,,,,,,
6,Confiture - La Cour d'Orgères,3760194183923,D,"[""La Cour d'Orgères""]","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Produits à tartiner', 'Petit-déjeuners', 'Fruits et produits dérivés', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', 'Confitures multifruits']",['France'],"['bananes 29,6%', 'framboises 19,7%', 'fruits de la passion 15,7%', 'sucre', 'jus de citron']","['Sans huile de palme', 'Végétalien', 'Végétarien']",0.5 g,en faible quantité,0 g,en faible quantité,56 g,en quantité élevée,?,,226,+4%,946 kj(226 kcal),+4%,"0,5",+67%,0,-100%,56,+7%,56,+11%,"0,8",+46%,75.0%,7.5%,10.3%,5.1%,1.7%,0.4%,50,,,0 g,en faible quantité,0,-100%,0,-100%,10,+5%,C,+5%,3,"Confiture de banane, framboise, fruit de la passion",,,,,,,,,
7,"Explosive, mangues, piment d'Espelette - La Cour d'Orgères",3760194183930,,"[""La Cour d'Orgères""]",,['France'],[],[],,,,,,,?,,246,,1029 kj(246 kcal),,"0,3",,0,,60,,60,,"0,6",,,,,,,,,,,,,"0,2",,"0,08",,,,,,,,,,,,,,,,
8,"Confiture Ode à L'amour - Framboises, Rose - La cour d orgeres",3760194183992,,['La cour d orgeres'],,['France'],"['frorüises 60%', 'sucre', 'orôme naturel de rose 0,6%']",[],,,,,,,?,,237,,992 kj(237 kcal),,"0,7",,0,,57,,57,,"0,8",,,,,,,,,,,,,"0,1",,"0,04",,,,,,,,,,,,,,,,
9,Papa Chéri - La Cour d'Orgères - 240g,3760194184036,D,"[""La Cour d'Orgères""]","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Produits à tartiner', 'Petit-déjeuners', 'Fruits et produits dérivés', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', 'Confitures multifruits', 'Confitures de fruits tropicaux']",['France'],[],[],8.6 g,en quantité modérée,0 g,en faible quantité,55 g,en quantité élevée,?,,298,+31%,1247 kj(298 kcal),+31%,"8,6",+2588%,0,-100%,55,+2%,55,+6%,"1,2",+121%,75.0%,7.5%,10.3%,5.1%,1.7%,0.4%,50,240 g,,0 g,en faible quantité,0,-100%,0,-100%,11,+14%,D,+14%,,,,,,,,,,,
10,"Passionnément mangues, fruits de la passion",3760194184135,,,,['France'],[],[],,,,,,,?,,191,,799 kj(191 kcal),,"0,4",,0,,"46,2",,"46,2",,"0,7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Moutarde aux herbes de Provence à l'huile d'olive - Savoir & Sens,3760194200064,B,['Savoir & Sens'],"['Epicerie', 'Condiments', 'Sauces', 'Moutardes', 'Moutardes aux herbes de provence']",['France'],"['Moutarde ', 'graines de moutarde', 'eau', 'huile de tournesol', 'sel', 'gomme xanthane', 'huile d’olive 4%', 'herbes de Provence ', 'thym', 'romarin', 'sarriette', 'marjolaine', 'origan', 'hysope', ' 0,5%', 'huiles essentielles de thym']",[],13.4 g,en quantité modérée,1.1 g,en faible quantité,5.9 g,en quantité modérée,?,,187,+6%,782 kj(187 kcal),+6%,"13,4",,"1,1",+21%,"11,5",,"5,9",+28%,"7,1",+29%,57.4%,14.5%,21.8%,4.8%,1.5%,0.0%,75,,"['Bio', 'Fabriqué en France']",5.2 g,en quantité élevée,"5,2",-2%,"2,08",-2%,11,,D,,4,,,['E415 - Gomme xanthane'],['Moutarde'],,,,,,
12,Moutarde bio saveur basilic et persil à l'huile d'olive,3760194200095,B,,"['Epicerie', 'Condiments', 'Sauces', 'Moutardes']",['France'],[],[],13.4 g,en quantité modérée,1.1 g,en faible quantité,6 g,en quantité modérée,?,,188,+11%,787 kj(188 kcal),+11%,"13,4",+24%,"1,1",+34%,"11,6",+68%,6,+55%,"7,2",+10%,57.4%,14.5%,21.8%,4.8%,1.5%,0.0%,75,,['Bio'],5.3 g,en quantité élevée,"5,3",+13%,"2,12",+13%,14,+21%,D,+21%,,,,,,,,,,,
