,name,bar_code,quantity,packaging,brand,categories,labels,sales_countries,ingredients_list,additives,ingredients_analysis,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,nutriment_nutrition-score-fr_tr,nutriment_nutriscore_tr,eco_score,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,generic_name,manufacturing,link,markets,allergens,ingredients_origins,traceability_code,palm_ingredients,producer_info,brand_owner,origin_detail
0,Ungarisches Letscho - Spreewald Feldmann - 690g,4250262708282,690 g,['Glas'],['Spreewald Feldmann'],['de:Letscho'],"['Végétarien', 'Sans gluten', 'Végétalien', 'Sans lactose']","['France', 'Allemagne']","['35% Paprika', '24% Tomatenmark 2-fach', 'Wasser', 'Zucker', 'Branntweinessig', 'Salz', 'natürliche Aromen ', 'enthält Senf', 'Verdickungsmittel Pektin', 'Antioxidations - mittel Ascorbinsäure']",['E440 - Pectines'],"['Végétalien', 'Végétarien']",4,0.2 g,en faible quantité,0.1 g,en faible quantité,3.8 g,en faible quantité,1.3 g,en quantité modérée,?,54,226 kj(54 kcal),"0,2","0,1","9,4","3,8","1,7","1,3","0,52",4,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Wurzfee Streuwurze - Lebe Gesund GmbH & Co. KG - 250g,4250859310003,250g,,['Lebe Gesund GmbH & Co. KG'],,['Fabriqué en Allemagne'],"['France', 'Allemagne']",[],,[],,,,,,,,,,?,0.2,1 kj(0 kcal),"2,2","0,3","29,8",16,"3,9",200,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Sonnenblumenkerne - Meray - 300g,4251032601697,300 g,,['Meray'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Graines', 'Graines de tournesol et dérivés', 'Graines de tournesol']",,"['France', 'Allemagne']",[],,[],,53.9 g,en quantité élevée,7.9 g,en quantité élevée,3 g,en faible quantité,5.2 g,en quantité élevée,?,0,0 kj(0 kcal),"53,9","7,9",3,3,"29,7","5,2","2,08",17,D,C,,-100%,-100%,+18%,+60%,-77%,+24%,+35%,+187%,+187%,+28%,+28%,78.2%,0.0%,8.3%,4.3%,5.7%,3.5%,55,,,,,,,,,,,
3,Tofu-Tapas (like vegan meatballs) - Lord of Tofu - 150g,4260019320704,150 g,['sous vide'],['Lord of Tofu'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Légumineuses et dérivés', 'Légumineuses', 'Graines', 'Graines de légumineuses', 'Plats préparés', 'Substituts de viande', ""Plats préparés d'origine végétale"", 'Soja']","['Bio', 'Végétarien', 'Sans gluten', 'Végétalien', 'en:Bioland', 'Fabriqué en Allemagne']","['France', 'Allemagne']","['55% graines de soja', 'eau', 'huile de tournesol', 'tomates', 'tamari ', 'sauce soja', 'sel de mer', 'épices ', 'contient moutarde', 'céleri', 'sésame', 'oignons', 'flocons de levure', ""sirop d'agave"", 'Kombucha ', 'thé noir et sucre fermentés à vinaigre', 'fumée']",,"['Végétalien', 'Végétarien']",3,11 g,en quantité modérée,2 g,en quantité modérée,2 g,en faible quantité,2 g,en quantité élevée,?,197,824 kj(197 kcal),11,2,3,2,18,2,"0,8",11,D,,,+3%,-1%,+17%,+21%,-62%,-4%,+22%,+109%,+109%,,,,,,,,,,alternativevegan à la viande à base de soja (pasteurisé),['Allemagne'],http://www.meilleurs-produits-bio.com/produits_en_lices/2019/127334-soja_ragout.html,['Botanic'],"['Céleri', 'Moutarde', 'Graines de sésame', 'Soja']",,,,,,
4,Wikinger Grill-Tofu - Bioland,4260019320711,,,['Bioland'],,"['Bio', 'Végétarien', 'en:gluten-free', 'Végétalien', 'en:Bioland']",['France'],[],,"['Végétalien', 'Végétarien']",,,,,,,,,,?,197,824 kj(197 kcal),11,2,3,2,18,2,"0,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Kirin Ichiban,4260134390712,,"['Canette', 'Métal']",['Kirin'],"['Boissons', 'Boissons alcoolisées', 'Bières']",,['France'],[],,[],,,,,,,,,,?,?,,?,,?,,?,,,,,C,,,,,,,,,,,,,6.8%,25.7%,41.7%,16.7%,7.1%,2.0%,57,,,,,,,,,,,
6,Sweet Chili & Red Pepper n°2 - John John - 1,4260135129366,1,['Sachet'],['John John'],"['Snacks', 'Snacks salés', 'Apéritif', 'Chips et frites', 'Chips']","['Végétarien', 'en:gluten-free', 'Sans OGM', 'Végétalien', 'Sans lactose', 'Sans conservateurs']",['France'],"['Pommes de terre', 'huile de tournesol', ""mélanges d'épices chili doux et paprika "", 'sucre', 'sel', 'extrait de levure en poudre', 'tomate en poudre', 'ail en poudre', 'oignon en poudre', 'paprika seché', 'épices', 'colorant: extrait de paprika', 'arômes naturels']",['E160c - Extrait de paprika'],"['Végétalien', 'Végétarien']",4,27.4 g,en quantité élevée,1.9 g,en quantité modérée,5.1 g,en quantité modérée,1.27 g,en quantité modérée,2074,496,2074 kj(496 kcal),"27,4","1,9","53,4","5,1",7,"1,275","0,51",13,D,,-4%,-3%,-4%,-7%,-39%,-1%,+117%,+22%,-4%,-4%,+11%,+11%,,,,,,,,,['UK'],,,,,,,,,
7,Coconut cream riegel - LebePur - 50g,4260159450132,50 g,,['LebePur'],,"['Bio', 'Bio européen', 'DE-ÖKO-001']",['France'],[],,[],,,,,,,,,,?,414,1732 kj(414 kcal),20,12,50,47,"4,4","0,05","0,02",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Proviant Apfelschorle - Provant - 330ml,4260178730109,330ml,,['Provant'],,"['Bio', 'Bio européen', 'de:eg-oko-verordnung', 'DE-ÖKO-070']",['France'],['Zucher'],,[],,,,,,,,,,?,29,121 kj(29 kcal),"0,1",0,"6,9","6,9","0,1",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Bio Coco coconut milk for cooking pure - Dr Antonio Martins,4260183211679,,,['Dr Antonio Martins'],"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Substitut du lait', 'Boissons végétales', 'Laits de coco']","['Bio', 'Végétarien', 'Bio européen', 'Végétalien', 'DE-ÖKO-003']",['France'],"['Kokosmilch', 'Verdickungsmittel: Gellan']",['E418 - Gomme gellane'],"['Végétalien', 'Végétarien']",4,9.3 g,en quantité modérée,8.7 g,en quantité élevée,0.5 g,en faible quantité,0.01 g,en faible quantité,?,92,385 kj(92 kcal),"9,3","8,7","1,2","0,5",1,"0,01","0,004",5,C,B,,-42%,-41%,-40%,-36%,-57%,-70%,-21%,-86%,-86%,-47%,-47%,30.3%,10.4%,21.2%,23.2%,11.5%,3.4%,75,,,,,,,,,,,
10,Coco milk - dr. antonio martins - 1l,4260183211976,1l,['TetraPak'],['dr. antonio martins'],"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Substitut du lait', 'Boissons végétales', 'Laits de coco']","['Bio', 'Commerce équitable', 'Fairtrade International']","['France', 'Allemagne', 'Italie', 'Pays-Bas', 'Russie', 'Espagne']",[],,[],,2.1 g,en quantité modérée,2 g,en quantité modérée,0.7 g,en faible quantité,0.13 g,en faible quantité,106,25,106 kj(25 kcal),"2,1",2,"1,1","0,7",0,"0,13","0,052",0,B,B,-84%,-84%,-84%,-87%,-85%,-60%,-58%,-100%,+78%,+78%,-100%,-100%,30.3%,10.4%,21.2%,23.2%,11.5%,3.4%,75,,['Deutschland'],,,,,,,,,
11,Paleo Raw Cacao - Mymuesli - 500g,4260188780736,500g,,['Mymuesli'],,['Fabriqué en Allemagne'],"['France', 'Allemagne']",[],,[],,,,,,,,,,?,630,2636 kj(630 kcal),"55,6","24,1","12,7",7,"13,3","0,21","0,084",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Superkid - mymuesli - 500g,4260188784987,500g,,['Mymuesli'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Petit-déjeuners', 'Céréales et dérivés', 'Céréales pour petit-déjeuner', 'Mueslis']",,['France'],[],,[],,7 g,en quantité modérée,1.2 g,en faible quantité,7.8 g,en quantité modérée,0.01 g,en faible quantité,?,369,1544 kj(369 kcal),7,"1,2",60,"7,8","9,4","0,01","0,004",1,B,B,,-11%,-11%,-47%,-64%,-1%,-54%,-5%,-94%,-94%,-80%,-80%,53.5%,25.9%,8.6%,6.8%,5.2%,0.0%,90,,,,,,,,,,,
13,Hindi film salam - Ozyorem,4260193514777,,,['Ozyorem'],,['Entrepreneurs + Engagés'],['France'],"['Ingrédients pour g de produit fini: 45g viande de poulet', ' 4Sg viande de dinde', '20g graisse de palme', ' sel de table', 'épices', 'maltodextrine', ' glucose', 'sirup de glucose', 'colorant alimentaire naturel ', 'concentré de jus de betterave', 'sinte ', 'saccharose', 'conservateurs ', 'nitrite de sodium', 'sorbate de potassium', 'antioxydants ', 'ascorbate de sodium', 'cultures de fermentationv fumée', ' 4 260193 514777 0 200g Ber unter +7 oc', ' mindestens hakbar bes: 06', '03', '2018 4321 M9 1317355 Hergesteilt für: Demka GrnbHs Franz-Grashof-Str', ' 25 - E', 'Dal g Mannheim']","['E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition', 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition', 'E301 - Ascorbate de sodium']",['Huile de palme'],4,,,,,,,,,?,338,1414 kj(338 kcal),30,15,1,1,16,"3,4","1,36",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,YÖREM Künefe dil peyniri (mozzarella),4260193518782,,,,,,['France'],[],,[],,,,,,,,,,?,302.5,1266 kj(302 kcal),"22,5",15,0,0,25,"1,4","0,56",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Purée De Coco Cru Bio - 200 gr - Dr Goerg - 200g e,4260213390596,200 g e,"['Bocal', 'Verre', 'métal']","['Dr Goerg', 'Dr. Goerg']","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Matières grasses végétales', 'Purées de noix de coco']",['Bio'],['France'],['100 % purée de noix de coco pure'],,[],,64.6 g,en quantité élevée,60.8 g,en quantité élevée,7.4 g,en quantité modérée,0.1 g,en faible quantité,?,677,2833 kj(677 kcal),"64,6","60,8","7,7","7,4","7,6","0,1","0,04",14,D,,,-19%,-18%,-30%,+305%,+19443%,+25417%,+26017%,+159%,+159%,+69%,+69%,,,,,,,,,['Philippines'],,,,['Philippines'],,,,,
16,"Apfel, Süßkartoffel & Mandarine - Erdbär - 100g",4260249141636,100 g,['Quetschbeutel'],['Erdbär'],['de:Mehrfrucht-Gemüsemus'],"['Bio', 'Végétarien', 'Bio européen', 'en:gluten-free', 'Végétalien', 'ES-ECO-019-CT']",['France'],"['rutaten: Apfelpüree* 60%', 'SüBkartoffeI• püree* 25%', 'Mandarinensaft* 15%', ' *aus biolo ischem Landbau']",,"['Végétalien', 'Végétarien']",,0.5 g,en faible quantité,0.1 g,en faible quantité,8.4 g,en quantité modérée,0 g,en faible quantité,?,75,314 kj(75 kcal),"0,5","0,1",15,"8,4","0,9",0,0,-1,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Freche Freunde Quetschmus Apf Birne Passion 200 ML,4260249143647,,,,,,"['France', 'Allemagne']",[],,[],,,,,,,,,,?,52,218 kj(52 kcal),0,0,12,11,"0,5",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Puree d’amanfrs completes - Nu3,4260289447149,,,['Nu3'],,['Bio'],['France'],"['ewee Als Brotaufstii?h', 'in Müsli Oder Joghurt für Desserts octet"" Gebâck', 'Mandelmus I ein echtes Aliroundtalent und schmeck immer umwerfend gut', ' Naturprodukte', 'die zu deinem aktiven und gesunden Lebensstil passen', ' Lebensmittel', 'die einfach schmecken und Freude bereiten', ' Die besten Zutaten aus der Natur', 'die deine Lieblingsrezepte RITION noch besser machen', ' Denn wirwissen', 'und Genuss machen glücklich', ' Mindestens haltbar bis: 26 a 0720']",,[],,,,,,,,,,?,625,2615 kj(625 kcal),55,"4,6","5,6","5,6",23,"0,01","0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,"Beavita Vitalkost Plus, Caffè Latte, Pulver () Von Beavita",4260289448443,,,,,['en:gluten-free'],['France'],[],,[],,,,,,,,,,?,350,1464 kj(350 kcal),"6,2","1,3","25,1",10,"41,3","1,8","0,72",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Wilmersburger Pizzaschmelz - 250g,4260296930016,250g,,['Wilmersburger'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Substituts du fromage']","['Végétarien', 'Végétalien', 'Sans soja', 'en:The Vegan Society']","['France', 'Allemagne', 'Suisse']","['eau', 'huile de coco ', '25 %', 'amidon modifié', 'sel', ""correcteur d'acidité: "", 'citrate de sodium acide citrique', 'arôme', 'colorant: bêta-carotène', 'agent de démoulage: fécule de pomme de terrew']","['E14XX - Amidons modifiés', 'E331 - Citrates de sodium', 'E160ai - Bêta-carotène']","[""Pourrait contenir de l'huile de palme"", 'Végétalien', 'Végétarien']",4,25 g,en quantité élevée,22 g,en quantité élevée,0 g,en faible quantité,1.98 g,en quantité élevée,1316,317,1316 kj(317 kcal),25,22,23,0,0,"1,975","0,79",21,E,,+15%,+15%,+14%,+14%,+34%,+39%,-100%,-100%,+14%,+14%,+14%,+14%,,,,,,,,,,,,,,,,,,
