,name,bar_code,brand,sales_countries,ingredients_list,additives,allergens,ingredients_analysis,nova_score,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,categories,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,labels,generic_name,quantity,packaging,markets,fats_lipids_quantity,fats_lipids_comment,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,eco_score,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,manufacturing,traceability_code,palm_ingredients,ingredients_origins,link,brand_owner,producer_info,origin_detail
0,Mentos Pure Fresh,80770619,['Mentos'],['France'],"['édulcorants ', 'xylitol', 'sorbitol', 'mannitol', 'maltitol', 'sirop de maltitol', 'aspartame', 'acésulfame-K', 'sucralose', 'gomme base', 'stabilisant ', 'glycérol', 'arômes', 'fécule', 'maltodextrine', 'émulsifiants ', 'lécithines ', 'soja', ""sucroesters d'acides gras"", 'épaississants ', 'gomme de cellulose', 'gomme arabique', 'gomme xanthane', 'extrait naturel de thé vert ', '0,1%', 'graisse de noix de coco', ""agent d'enrobage "", 'cire de carnauba', 'antioxydant ', 'E321', 'colorants ', 'curcumine', 'bleu brillant FCF']","['E967 - Xylitol', 'E420 - Sorbitol', 'E421 - Mannitol', 'E965 - Maltitol', 'E965ii - Sirop de maltitol', 'E951 - Aspartame', 'E950 - Acésulfame K', 'E955 - Sucralose', 'E422 - Glycérol', 'E322 - Lécithines', 'E473 - Sucroester', '', 'Risque élevé de sur-exposition', 'E466 - Carboxyméthylcellulose', ""E414 - Gomme d'acacia"", 'E415 - Gomme xanthane', 'E903 - Cire de carnauba', 'E321 - Butylhydroxytoluène', 'E100 - Curcumine', 'E133 - Bleu brillant FCF', '', 'Risque modéré de sur-exposition']",['Soja'],['Sans huile de palme'],4,?,186,778 kj(186 kcal),0,0,76,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Now mints - Mentos,80783930,['Mentos'],['France'],[],,,[],,?,1,4 kj(1 kcal),0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Kinder Panecioc,80788614,['Kinder'],['France'],[],,,[],,?,430,1799 kj(430 kcal),"21,7","9,7","46,6","25,3","9,4","0,273","0,109",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Kinder Chocolate Snackbar PM25,80799092,['Kinder'],"['France', 'Espagne']",[],,,[],,?,566,2368 kj(566 kcal),?,"22,6",?,"53,3","8,7","0,31","0,124","['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Confiseries', 'Barres', 'Confiseries chocolatées', 'Barres chocolatées']",22.6 g,en quantité élevée,53.3 g,en quantité élevée,0.31 g,en quantité modérée,,+13%,+12%,,+50%,,+18%,+28%,-4%,-4%,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Mentos white,80809173,['Mentos'],['France'],"['Éducorats mattol sorbiol', 'ylitol ', '15%', 'sirop de maltitol', 'aspartame', 'acésulfame K', 'sucalose gomme base', 'arômes', 'maltodextrine', 'stabiliant ', 'glycérol', 'émulsifiant ', ""sucroesters d'acides gras"", 'épaississants ', 'gomme arabique,gommede cellulose', ""correcteur d'acidité "", 'carbonate acide de sodium', ""agent d'enrobage "", 'cire de camaubal graisse de noix de coco', 'antioxygene ', 'E321', ' colorant ', 'dioxyde de titane,', 'Une consommation excessive peut avoir des effets laxatis Contient une source de phénylalanine', '150ge 8080 9173']","['E965ii - Sirop de maltitol', 'E951 - Aspartame', 'E950 - Acésulfame K', 'E422 - Glycérol', 'E473 - Sucroester', '', 'Risque élevé de sur-exposition', ""E414 - Gomme d'acacia"", 'E500ii - Carbonate acide de sodium', 'E321 - Butylhydroxytoluène', 'E171 - Oxyde de titane']",,[],4,?,168,703 kj(168 kcal),0,0,69,0,0,"0,07","0,028",,,,,,,,,,,,,,,,,,['Contient une source de phénylalanine'],,,,,,,,,,,,,,,,,,,,,,,,,,
5,Mentos white,80814832,"['Mentos', 'Perfetti Van Melle']",['France'],[],,,[],,?,171,715 kj(171 kcal),0,0,69,0,0,"0,07","0,028",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Mentos chewing gum squeez - 90g,80830115,['Mentos'],['France'],"['Edulcorants ', 'xylitol', 'maltitol', 'sorbitol', 'mannitol', 'aspartame', 'sirop de maltitol', 'sucralose', 'acésulfame-K', 'gomme base', 'fourrage fruit 10,5% ', 'pomme en poudre ', '99% dans le coeur', '10,4% dans le produit', 'arôme fraise', 'poudre de fruits ', 'fraise', 'orange', 'banane', ' ', '2,6%', 'fécule', 'arômes', 'maltodextrine', 'gélatine', 'stabilisant ', 'glycérol', 'émulsifiants ', 'lécithines soja ', ""sucroesters d'acides gras"", 'épaississants ', 'gomme de cellulose', 'gomme arabique', ""agent d'enrobage "", 'cire de carnauba', 'antioxydant ', 'E321']","['E967 - Xylitol', 'E965 - Maltitol', 'E420 - Sorbitol', 'E421 - Mannitol', 'E951 - Aspartame', 'E965ii - Sirop de maltitol', 'E955 - Sucralose', 'E950 - Acésulfame K', 'E428 - Gélatine', 'E422 - Glycérol', 'E322 - Lécithines', 'E473 - Sucroester', '', 'Risque élevé de sur-exposition', 'E466 - Carboxyméthylcellulose', ""E414 - Gomme d'acacia"", 'E903 - Cire de carnauba', 'E321 - Butylhydroxytoluène']",['Soja'],"['Non végétalien', 'Non végétarien']",4,?,197,824 kj(197 kcal),"0,5",0,71,"6,6","0,6",0,0,"['Snacks', 'Snacks sucrés', 'Confiseries', 'Chewing-gum']",0 g,en faible quantité,6.6 g,en quantité modérée,0 g,en faible quantité,,+17%,+17%,+111%,-100%,+11%,+37%,+268%,-100%,-100%,,"Chewing-gum avec édulcorants, parfum fruit.",90g,['Plastique'],['Auchan'],0.5 g,en faible quantité,,,,,,,,,,,,,,,,,,,,
7,Bitter rosso - Garbit - 100ml,80835899,['Garbit'],['France'],[],,,[],,?,52,218 kj(52 kcal),0,0,13,13,0,"0,02","0,008",,,,,,,,,,,,,,,,,,,,100ml,,,,,,,,,,,,,,,,,,,,,,,,
8,Chewing gum mentos white,80859000,['Mentos'],['France'],"['édulcorants ', 'xylitol ', '34%', 'sorbitol', 'mannitol', 'sirop de maltitol', 'aspartame', 'acésulfame-K', 'sucralose', 'gomme base', 'arômes', 'fécule', 'maltodextrine', 'émulsifiants ', 'lécithines ', 'soja', ""sucroesters d'acides gras"", 'stabilisant ', 'glycérol', ""correcteur d'acidité "", 'carbonate acide de sodium', 'épaississants ', 'gomme de cellulose', 'gomme arabique', ""agent d'enrobage "", 'cire de carnauba', 'antioxydant ', 'E321']","['E967 - Xylitol', 'E420 - Sorbitol', 'E421 - Mannitol', 'E965ii - Sirop de maltitol', 'E951 - Aspartame', 'E950 - Acésulfame K', 'E955 - Sucralose', 'E322 - Lécithines', 'E473 - Sucroester', '', 'Risque élevé de sur-exposition', 'E422 - Glycérol', 'E500ii - Carbonate acide de sodium', 'E466 - Carboxyméthylcellulose', ""E414 - Gomme d'acacia"", 'E903 - Cire de carnauba', 'E321 - Butylhydroxytoluène']",['Soja'],['Sans huile de palme'],4,?,171,715 kj(171 kcal),0,0,69,0,0,"0,1","0,04","['Snacks', 'Snacks sucrés', 'Confiseries', 'Chewing-gum', 'Chewing-gum sans sucres']",0 g,en faible quantité,0 g,en faible quantité,0.1 g,en faible quantité,,+7%,+7%,-100%,-100%,+10%,-100%,-100%,+367%,+367%,"['Peu ou pas de sucre', 'Sans sucre']",,,,,0 g,en faible quantité,,,,,,,,,,,,,,,,,,,,
9,Chewing-gum,80863090,,['France'],[],,,[],,?,298,1247 kj(298 kcal),"0,2","0,2",0,0,"0,2",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
