,name,bar_code,quantity,packaging,brand,traceability_code,markets,sales_countries,ingredients_list,additives,ingredients_analysis,nova_score,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,labels,eco_score,categories,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_proteins_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_sugars_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,generic_name,manufacturing,allergens,ingredients_origins,brand_owner,palm_ingredients,link,producer_info
0,Légumes Vapeur Mélange Vert Assaisonné - cora - 600gr,3257981176225,600gr,['sachet surgelé'],['Cora'],"['EMB 56140E', 'Moréac (Morbihan, France)']",['Cora'],['France'],"[""Petits pois 33% - brocolis 22%-haricots plats coupés 22% 20%-épinard feuilles à feuilles 15% - eau - huile d'olive vierge extra - arôme naturel - matière grasse laitière anhydre - persil - thym - sel sucre-épaississants:gomme guar"", 'guarg  gomme xanthane - poivre']",['E412 - Gomme de guar'],[],4,?,53,222 kj(53 kcal),"1,4","0,4","4,8",2,"3,3","0,5","0,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Caribou au chocolat au lait 37% de cacao,3421372207014,,,,,,['France'],[],,[],,?,573,2397 kj(573 kcal),38,23,50,49,7,"0,21","0,084","['Bio', 'Bio européen', 'Commerce équitable', 'AB Agriculture Biologique', 'Agriculture UE/Non UE', 'FR-BIO-10', 'Max Havelaar']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Eco+,3450970024990,,,['Eco+'],,,['France'],[],,[],,?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,"2 escalopes de dinde - Carrefour - 0,282kg",0289054022965,"0,282 kg",,['Carrefour'],,['Carrefour'],['France'],[],,[],,?,?,,?,,?,,?,,,['Point Vert'],D,"['Viandes', 'Volailles', 'Dindes', 'Escalopes de dinde']",,,,,,84.3%,9.9%,2.2%,2.3%,1.1%,0.3%,37,,,,,,,,,,,,,,,,,,,,,,,,,
4,Les festives pates d'Alsace - Les Créations,3250392654337,,,['Les Créations'],,,['France'],[],,[],,?,363,1519 kj(363 kcal),"4,6","1,2",64,3,15,"0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Tavuk Sosis,4260193518270,,,,,,['France'],[],,[],,?,240,1004 kj(240 kcal),"17,4","5,39","8,9","0,7","11,9","2,75","1,1",['Halal'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Le geste saveur - oignons,3363299687152,,,['Le Geste Saveur'],,,['France'],[],,[],,?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Fromage,5200117550428,,,,,,['France'],[],,[],,?,348,1456 kj(348 kcal),28,19,1,1,22,2,"0,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Bolo balls au boeuf - Panzani,3038354170817,,,['Panzani'],,,['France'],[],,[],,?,82,343 kj(82 kcal),"2,5",1,"8,2","4,9","5,6","1,7","0,68",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Ricotta,8002626001012,,,,,,['France'],[],,[],,?,186,778 kj(186 kcal),"16,1","12,2","3,3","3,2","6,9","0,3","0,12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
