,name,bar_code,eco_score,generic_name,quantity,brand,categories,labels,manufacturing,sales_countries,ingredients_list,ingredients_analysis,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,nutriment_sugars_tr,markets,packaging,ingredients_origins,traceability_code,allergens,sugar_quantity,sugar_comment,nutriment_sugars_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,additives,nova_score,link,palm_ingredients,brand_owner
0,Beaufort d'été - Le Fromager - 183g,2488747030449,D,"Fromage au lait cru entier de vache, à pâte pressée cuite",183 g,['Le Fromager'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte pressée cuite', 'Fromages de France', 'Beaufort']",['AOP'],['Savoie'],['France'],[],[],32.2 g,en quantité élevée,21.4 g,en quantité élevée,1.1 g,en quantité modérée,1644,-1%,393,-2%,1644 kj(393 kcal),-2%,"32,2",+0%,"21,4",+4%,?,,"26,6",+0%,"1,1",-4%,"0,44",-4%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,,,,,,,,,,,,,,,,,
1,Cote de porc,3700190305936,,,,,,"['Viande-francaise', 'Viande-porcine-francaise']",,['France'],[],[],,,,,,,?,,213,,891 kj(213 kcal),,15,,7,,"0,5",,19,,"0,12",,"0,048",,,,,,,,,"0,5",,,,,,,,,,,,,,,,,
2,Abricots,5706779063684,,,,,,,,['France'],[],[],,,,,,,?,,297,,1243 kj(297 kcal),,"0,6",,"0,1",,64,,"3,9",,"0,03",,"0,012",,,,,,,,,62,,,,,,,,,,,,,,,,,
3,Gâteau au chocolat - Monoprix,3350033118553,,,,['Monoprix'],,,,['France'],[],[],,,,,,,?,,441,,1845 kj(441 kcal),,26,,"4,5",,46,,"5,1",,1,,"0,4",,,,,,,,,23,['Monoprix'],,,,,,,,,,,,,,,,
4,comte AOP 6mois - fromagerie vagne - 350g,2463319033677,C,,350g,['fromagerie vagne'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte pressée cuite', 'Fromages de France', 'Comté', 'en:aoc-cheeses', 'en:labeled-cheeses']",['AOP'],['Poligny'],['France'],"['FR 25', '039', '003 CE Appellation ORIGINE PRO COMTE COMTE AOP 6 mois minimum Affine par Fromageries Vagne 39800 Poligrny INGREDIENTS', ' Lait cm', 'sel', 'ferments lactiques', 'presure Fromage à pâte pressée cuite']",[],35 g,en quantité élevée,23 g,en quantité élevée,0.9 g,en quantité modérée,1771,+18%,?,,1771 kj(423 kcal),+7%,35,+7%,23,+6%,1,+116%,27,+7%,"0,9",-8%,"0,36",-8%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,"0,5",,['sous vide'],['France'],"['2463319035367', 'FR 25.039.003 CE', 'Avoudrey (Doubs, France)']",['Lait'],0.5 g,en faible quantité,+80%,13,-3%,D,-3%,,,,,
5,Rabassiere,3435850002053,,,,,,,,['France'],[],[],,,,,,,?,,?,,,,?,,,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,César MORONI chorizo - 100grammes,15277747,,,100 grammes,['César MORONI'],"['Viandes', 'Charcuteries', 'Charcuteries diverses']",,['hameau de st Didier FRANCE'],['France'],"['viande et gras de porc', 'sel', 'maltodextrine', 'paprika', 'lactose', 'piment de cayenne', 'protéines de lait', 'ail', 'dextrose', 'antioxydants', 'ascorbate de sodium', 'nitrate de potassium', 'ferments', ' Traitement de surface : sorbate de potassium', ' Présence possible de fruits à coques et de protéines de soja']","['Non végétalien', 'Non végétarien']",17 g,en quantité modérée,7.1 g,en quantité élevée,3.6 g,en quantité élevée,?,,270,-8%,1130 kj(270 kcal),-7%,17,-31%,"7,1",-23%,"4,6",+163%,25,+67%,"3,6",+85%,"1,44",+85%,,,,,,,,"3,7",['AUCHAN'],['en tranches'],['Espagne'],,['Lait'],3.7 g,en faible quantité,+372%,20,+6%,E,+6%,"['E301 - Ascorbate de sodium', 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition']",4,,,
7,Tagliatelles,3250392728885,,,,,,"['Bio', 'Bio européen', 'Agriculture non UE', 'Agriculture UE', 'Agriculture UE/Non UE', 'FR-BIO-01', 'AB Agriculture Biologique']",,['France'],[],[],,,,,,,?,,279,,1167 kj(279 kcal),,"2,3",,"0,6",,"52,2",,"10,8",,"0,6",,"0,24",,,,,,,,,"1,4",,,,,,,,,,,,,,,,,
8,Poulet miel moutarde - Starmeal - 215g,5425015404479,C,,215 g,['Starmeal'],"['Sandwichs', 'Sandwichs à la volaille', 'Sandwichs au poulet']","['Nutriscore', 'Nutriscore B']",,['France'],[],[],8.6 g,en quantité modérée,1.7 g,en quantité modérée,1.02 g,en quantité modérée,?,,204,-9%,854 kj(204 kcal),-9%,"8,6",+3%,"1,7",+17%,"21,3",-17%,"9,2",-9%,"1,02",-16%,"0,408",-16%,74.5%,14.3%,4.5%,4.2%,2.0%,0.5%,58,"3,9",,,,,,3.9 g,en faible quantité,+19%,2,-26%,B,-26%,,,,,
9,Ravioli gorgonzola,3308090002506,,,,,,,,['France'],[],[],,,,,,,?,,?,,,,?,,,,?,,?,,,,,,,,,,,,,,,,,"['FR 13.211.002 CE', 'Marseille 11e  Arrondissement (Bouches-du-Rhône, France)']",,,,,,,,,,,,,
10,Aiguillette de poulet,2446947032809,D,,,,"['Viandes', 'Volailles', 'Poulets', 'Aiguillettes de poulet']",,,['France'],[],[],,,,,,,?,,?,,,,?,,,,?,,?,,,,,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,,,,,,,,,,,,,,,,,
11,Filets de poulet halal,20929961,D,,,,"['Viandes', 'Volailles', 'Poulets', 'Filets de poulet']",['Halal'],,['France'],[],[],1.4 g,en faible quantité,0.5 g,en faible quantité,0.12 g,en faible quantité,?,,107,-18%,448 kj(107 kcal),-17%,"1,4",-51%,"0,5",-33%,"0,5",+4%,23,+1%,"0,12",-84%,"0,048",-84%,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,"0,5",,,,"['FR 53.130.001 CE', 'Laval (Mayenne, France)']",,0.5 g,en faible quantité,+106%,-4,,A,,,,,,
12,7613034506962,7613034506962,,,,,,,,['France'],[],[],,,,,,,?,,?,,,,?,,,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Le temps des Cerises Café bio saveur caramel,3564884021706,,,,['Le Temps des Cerises'],,['Bio'],,['France'],[],[],,,,,,,?,,?,,,,?,,,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Buche de chevre,2488001013058,E,,,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de chèvre', 'Bûche de chèvre']",,,['France'],[],[],25 g,en quantité élevée,18 g,en quantité élevée,1.5 g,en quantité modérée,?,,369,+29%,1544 kj(369 kcal),+29%,25,+9%,18,+12%,"2,9",+103%,18,-4%,"1,5",+6%,"0,6",+6%,91.6%,3.0%,2.1%,2.1%,0.9%,0.3%,33,"0,5",,,,,,0.5 g,en faible quantité,-15%,15,+9%,D,+9%,,,,,
15,Puree d'amande,3662902000426,,,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Produits à tartiner', 'Fruits à coques et dérivés', 'Pâtes à tartiner végétales', ""Purées d'oléagineux"", 'Beurres de fruits à coques', ""Purées d'amande""]",,,['France'],[],[],,,,,,,?,,?,,,,?,,,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,New Zealand Clover Honey - Tiptree,0043647530011,,,,['Tiptree'],,,,['France'],[],[],,,,,,,?,,?,,,,?,,,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,MUSCLE FUEL ANABOLIC - 4kg,6009544908494,,,4 kg,,,,,['France'],[],[],,,,,,,?,,379,,1586 kj(379 kcal),,"2,4",,"1,4",,53,,36,,"0,9",,"0,36",,,,,,,,,17,,,,,,,,,,,,,,,,,
18,Snack frutta with orange marmalade - Balconi - 330g,8001585008759,,,330 g,['Balconi'],,,,['France'],[],[],,,,,,,?,,390,,1632 kj(390 kcal),,"12,2",,"9,4",,"64,7",,"4,5",,"0,3",,"0,12",,,,,,,,,"46,9",,,,,,,,,,,,,,,,,
19,3760115292376,3760115292376,,,,,,,,['France'],[],[],,,,,,,?,,?,,,,?,,,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
