,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,eco_score,brand,categories,markets,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,labels,quantity,packaging,additives,nova_score,generic_name,allergens,traceability_code,link,ingredients_origins,manufacturing,brand_owner,palm_ingredients
0,8410525202070,8410525202070,['France'],[],[],?,334,1397 kj(334 kcal),"0,2","0,1",77,57,6,"0,2","0,08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Pointe de Brie - Monoprix,2200505015877,['France'],[],[],?,351,1469 kj(351 kcal),31,22,1,0,17,"1,4","0,56",D,['Monoprix'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de vache', 'Fromages à pâte molle à croûte fleurie', 'Fromages de France', 'Bries']",['Monoprix'],31 g,en quantité élevée,22 g,en quantité élevée,0 g,en faible quantité,1.4 g,en quantité modérée,,+13%,+13%,+20%,+21%,+43%,-100%,-10%,-12%,-12%,15,+1%,D,+1%,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,,,,,,,,,,,,,
2,Café privilège le classique,8711000443774,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Bloc de foie gras,3295080000034,['France'],[],[],?,483,2021 kj(483 kcal),49,21,5,"1,2","5,4","1,2","0,48",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Halal'],,,,,,,,,,,,
4,ChocoMe Raffinée amande et sel,5999562066485,['France'],[],[],?,594,2485 kj(594 kcal),39,16,47,37,"11,8","0,62","0,248",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Roules de speck au fromage - Auchan - 200g,3254560314610,['France'],[],[],?,312,1305 kj(312 kcal),"27,66","3,8","4,7","4,3","13,49","0,82","0,328",,['Auchan'],,['Auchan'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200 g,,,,,,,,,,,
6,Tomates confites - Auchan,3254560359741,['France'],[],[],?,260,1088 kj(260 kcal),23,"2,2","8,2","8,1",2,"1,4","0,56",,['Auchan'],,['Auchan'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Sel de Camargue aux herbes de Provence spécial viande,3368411004770,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Crêpes denrelles - Gavottes,3535800002673,['France'],[],[],?,485,2029 kj(485 kcal),21,13,67,48,"5,4","0,63","0,252",,['Gavottes'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Escargots de bourgogne,3043033170316,['France'],[],[],?,?,,?,,?,,?,,,C,,"['Conserves', 'Viandes', 'Escargots', 'Viandes en conserve', 'Escargots en conserve', 'Escargots de Bourgogne']",,,,,,,,,,,,,,,,,,,,,,,,65.7%,14.4%,4.7%,3.9%,2.4%,9.0%,66,,,['boîte'],,,,,,,,,,
