,name,bar_code,brand,brand_owner,categories,labels,sales_countries,ingredients_list,additives,allergens,ingredients_analysis,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,eco_score,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,quantity,packaging,generic_name,manufacturing,traceability_code,markets,palm_ingredients,ingredients_origins,link
0,Pre-sliced cinnamon swirl bagels - Thomas,0048121253219,['Thomas'],"Bimbo Bakeries USA, Inc.","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pains']",['100% naturel'],"['France', 'États-Unis']","['Enriched wheat flour ', 'flour', 'malted barley flour', 'reduced iron', 'niacin', 'thiamin mononitrate ', 'vitamin b1', 'riboflavin ', 'vitamin b2', 'folic acid]', 'water', 'sugar', 'wheat gluten', 'yeast', 'cinnamon', 'cornmeal', 'salt', 'caramel color', 'calcium propionate and sorbic acid ', 'to preserve freshness', 'monoglycerides', 'soybean oil', 'natural & artificial flavors', 'cellulose gum', 'citric acid', 'xanthan gum', 'lemon oil', 'soy lecithin']","['E150c - Caramel ammoniacal', '', 'Risque modéré de sur-exposition', 'E282 - Propionate de calcium', 'E200 - Acide sorbique', '', 'Risque élevé de sur-exposition', 'E466 - Carboxyméthylcellulose', 'E330 - Acide citrique', 'E415 - Gomme xanthane', 'E322i - Lécithine']","['Gluten', 'Soja']",[],4,2.11 g,en faible quantité,0 g,en faible quantité,10.5 g,en quantité modérée,1.05 g,en quantité modérée,?,,295,-10%,1234 kj(295 kcal),-11%,"2,11",-66%,0,-100%,"57,89",+6%,"10,53",+169%,"9,47",-1%,"1,052",-18%,"0,421",-18%,1,-80%,B,-80%,,,,,,,,,,,,,,,,,
1,Multi grain muffins - Thomas,0048121276072,['Thomas'],"Bimbo Bakeries USA, Inc.","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pains', 'Pains spéciaux', 'Pains Muffins']",,"['France', 'États-Unis']","['Enriched wheat flour [flour', 'malted barley flour', 'reduced iron', 'niacin', 'thiamin mononitrate ', 'vitamin b1', 'riboflavin ', 'vitamin b2', 'folic acid]', 'water', 'whole wheat flour', 'sugar', 'farina', 'soybean oil', 'cracked wheat', 'whole grains ', 'wheat', 'rye', 'corn', 'oats', 'millet', 'triticale', 'brown rice', 'barley', 'flaxseed', 'yeast', 'wheat gluten', 'calcium propionate and sorbic acid ', 'to preserve freshness', 'salt', 'dextrose', 'malt', 'monoglycerides', 'yellow corn flour', 'wheat starch', 'malted barley flour', 'annatto ', 'color', 'soy lecithin', 'soy', 'whey']","['E282 - Propionate de calcium', 'E200 - Acide sorbique', '', 'Risque élevé de sur-exposition', 'E160b - Rocou', 'E322i - Lécithine']","['Gluten', 'Lait', 'Avoine', 'Soja']",['Non végétalien'],4,5.26 g,en quantité modérée,0.88 g,en faible quantité,5.26 g,en quantité modérée,0.703 g,en quantité modérée,?,,263,+11%,1100 kj(263 kcal),+10%,"5,26",+75%,"0,88",+56%,"47,37",+18%,"5,26",-1%,"7,02",-31%,"0,702",-27%,"0,281",-27%,0,-100%,B,-100%,B,73.2%,15.1%,7.1%,4.0%,0.5%,0.0%,82,,,,,,,,,
2,BackPacker’s Pantry purée au herbe,0048143025191,,,,,['France'],[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Astronaut Chocolate Ice Cream With Chocolate Chips 0.7oz,0048143390039,,,,,['France'],[],,,[],,,,,,,,,,?,,140,,586 kj(140 kcal),,65,,20,,17,,14,,2,,"0,035",,"0,014",,,,,,,,,,,,,,,,,,,,,,
4,Huile d'olives,0048176032562,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Matières grasses végétales', ""Produits de l'olivier"", 'Huiles', ""Huiles d'olive""]",,['France'],[],,,[],,91.6 g,en quantité élevée,13 g,en quantité élevée,0.1 g,en faible quantité,0.1 g,en faible quantité,?,,824,-4%,3448 kj(824 kcal),-4%,"91,6",-4%,13,-7%,"0,1",,"0,1",,"0,1",,"0,1",+164104%,"0,04",+164104%,6,-2%,C,-2%,D,88.1%,4.5%,3.6%,2.0%,1.7%,0.0%,47,,,,,,,,,
5,"Fratelli Mantova Pasta Organic Italian, Linguine No. 98 - Fratelli beretta",0048176560027,['Fratelli beretta'],,,['Bio'],['France'],"[""'Percent eyvaluesarebasedonaa00üde a Your€yvaluesmaybehigheror10%8 depeMngon Calorie 2000 Total Fat Les tan 65g 80g Satfat Less han Zesterol Lesshan Issfian 2,0mg 379 Dietarvfi6e/ J ssthan25q 300 Fat 9 • ydcates 4 • Pmteh 4""]",,,[],,,,,,,,,,?,,200,,837 kj(200 kcal),,1,,0,,40,,1,,7,,0,,0,,,,,,,,,,,,,,,,,,,,,,
6,Épaule cuire srandard,0048475002129,,,,,['France'],[],,,[],,,,,,,,,,?,,117,,490 kj(117 kcal),,5,,"2,1",,2,,2,,16,,"2,3",,"0,92",,,,,,,,,,,,,,,,,,,,,,
7,Orange juice - Tropicana,0048500000007,['Tropicana'],"Tropicana Products, Inc.","['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Jus de fruits', ""Jus d'orange""]",,"['France', 'États-Unis']","['Orange juice from concentrate ', 'filtered water and orange juice concentrate', ' and natural flavors*']",,,"['Sans huile de palme', 'Peut-être végétalien', 'Peut-être végétarien']",4,0 g,en faible quantité,0 g,en faible quantité,9.17 g,en quantité élevée,0.015 g,en faible quantité,?,,46,+7%,192 kj(46 kcal),+5%,0,-100%,0,-100%,"11,25",+16%,"9,17",+1%,"0,83",+33%,"0,015",+76%,"0,006",+76%,4,+33%,C,+33%,D,58.5%,3.8%,10.1%,20.0%,6.0%,1.7%,51,,,,,,,,,
8,Orange juice - Tropicana - 10oz. / 296ml,0048500001745,['Tropicana'],"Tropicana Products, Inc.","['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Jus de fruits', ""Jus d'orange""]",,"['France', 'États-Unis']","['100% pure orange juice from concentrate ', 'filtered water and concentrated orange juice', ' and natural flavors*,']",,,[],4,0 g,en faible quantité,0 g,en faible quantité,9.46 g,en quantité élevée,0.0175 g,en faible quantité,?,,47,+9%,197 kj(47 kcal),+8%,0,-100%,0,-100%,"11,15",+15%,"9,46",+4%,"0,68",+9%,"0,018",+105%,"0,007",+105%,4,+33%,C,+33%,C,58.5%,3.8%,10.1%,20.0%,6.0%,1.7%,51,10 oz. / 296 ml,['pet-bottle'],,,,,,,
9,Cranberry cocktail - Tropicana,0048500017814,['Tropicana'],"Tropicana Products, Inc.","['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux']",,"['France', 'États-Unis']","['Filtered water', 'high fructose corn syrup', 'cranberry juice concentrate', 'natural flavors and ascorbic acid ', 'vitamin c']",,,"['Sans huile de palme', 'Peut-être végétalien', 'Peut-être végétarien']",4,0 g,en faible quantité,0 g,en faible quantité,14.4 g,en quantité élevée,0.035 g,en faible quantité,?,,59,+48%,247 kj(59 kcal),+47%,0,-100%,0,-100%,"14,37",+71%,"14,37",+93%,0,-100%,"0,035",+43%,"0,014",+43%,19,+221%,E,+221%,,,,,,,,,,,,,,,,,
10,Tropicana Lemonade,0048500018668,['Tropicana'],"Tropicana Products, Inc.","['Boissons', 'Boissons gazeuses', 'Sodas']",['Sans arômes artificiels'],"['France', 'États-Unis']","['Filtered water', 'sugar', 'not from concentrate lemon juice', 'lemon pulp and natural flavors']",,,[],3,0 g,en faible quantité,0 g,en faible quantité,11.8 g,en quantité élevée,0.0175 g,en faible quantité,?,,51,+89%,213 kj(51 kcal),+84%,0,-100%,0,-100%,"12,39",+83%,"11,83",+79%,"0,28",+410%,"0,018",+26%,"0,007",+26%,16,+73%,E,+73%,,,,,,,,,,,,,,,,,
11,Jus (pamplemousse Rose) - Tropicana,0048500019726,['Tropicana'],,,,['France'],[],,,[],,,,,,,,,,?,,36,,151 kj(36 kcal),,0,,0,,8,,"7,2",,"0,4",,0,,0,,,,,,,,,,,,,,,,,,,,,,
