,name,bar_code,categories,sales_countries,ingredients_list,ingredients_analysis,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,brand,markets,additives,allergens,nova_score,labels,traceability_code,eco_score,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,quantity,palm_ingredients,packaging,generic_name,ingredients_origins,manufacturing,link
0,"Le Trianon, 6 à 8 Parts -",2023221000008,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Pâtisseries']",['France'],[],[],24 g,en quantité élevée,14 g,en quantité élevée,33 g,en quantité élevée,0.08 g,en faible quantité,?,,401,+6%,1678 kj(401 kcal),+7%,24,+43%,14,+72%,40,-17%,33,+13%,"5,6",+4%,"0,08",-81%,"0,032",-81%,22,+29%,E,+29%,,,,,,,,,,,,,,,,,,,,,,
1,Flan 6 Parts - Carrefour,2023225000103,,['France'],"['LAIT écrémé 58', '8%', 'pâte feuilletée 13,4% [farine de BLE ', 'dont gluten de BLE', 'BEURRE 3', '6%', 'eau', 'sel]', 'sucre', 'OEUFS', 'BEURRE', 'amidons modifiés de maïs', 'amidon de maïs', 'arômes', 'colorants : caroténoïdes ', 'El 60a', 'curcumine ', 'El 00', ' Produit fabriqué dans un atelier qui manipule des noix', 'noisettes', 'amandes', 'pistaches', 'soja']",['Non végétalien'],,,,,,,,,?,,255,,1067 kj(255 kcal),,"3,6",,"1,2",,1,,1,,0,,0,,0,,,,,,['Carrefour'],['Carrefour'],"['E14XX - Amidons modifiés', 'E160 - Caroténoïdes', 'E100 - Curcumine']","['Œufs', 'Gluten', 'Lait']",4,,,,,,,,,,,,,,,,,
2,Gâteau Trianon 2 Part Individuelles -,2023233000003,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Pâtisseries']",['France'],[],[],24 g,en quantité élevée,14 g,en quantité élevée,33 g,en quantité élevée,0.08 g,en faible quantité,?,,401,+6%,1678 kj(401 kcal),+7%,24,+43%,14,+72%,39,-19%,33,+13%,"5,7",+6%,"0,08",-81%,"0,032",-81%,22,+29%,E,+29%,,,,,,,,,,,,,,,,,,,,,,
3,Coffee capsules,2023284699997,"['Aliments et boissons à base de végétaux', 'Boissons', ""Aliments d'origine végétale"", 'Boissons chaudes', 'Cafés', 'Dosettes', 'Cafés en dosettes']",['France'],[],[],,,,,,,,,?,,34,+143%,142 kj(34 kcal),+82%,"1,5",+98%,"0,9",+129%,"3,6",+51%,"3,6",+128%,"1,6",+109%,"0,1",+29%,"0,04",+29%,,,,,,,,,,"['Agriculture durable', 'en:UTZ Certified']",,,,,,,,,,,,,,,,
4,Coffee capsules latte macchiato,2023284799994,,['France'],[],[],,,,,,,,,?,,40,,167 kj(40 kcal),,"1,9",,"1,2",,"3,7",,"3,7",,2,,"0,07",,"0,028",,,,,,,,,,,"['Agriculture durable', 'en:UTZ Certified']",,,,,,,,,,,,,,,,
5,Yaourt nature bio,2023296994264,,['France'],[],[],,,,,,,,,?,,72,,301 kj(72 kcal),,"3,8",,"2,5",,5,,"4,9",,"3,9",,"0,16",,"0,064",,,,,,,,,,,['Bio'],"['FR 53.054.005 CE', 'Changé (Mayenne, France)']",,,,,,,,,,,,,,,
6,Mustard flavoured chips,2023300199999,,['France'],[],[],,,,,,,,,?,,534,,2234 kj(534 kcal),,"32,4",,"3,3",,"52,8",,"2,8",,"5,8",,"1,4",,"0,56",,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Milk chocolate,2023366599993,"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats', 'Chocolats au lait']",['France'],[],[],33.5 g,en quantité élevée,20.6 g,en quantité élevée,54.1 g,en quantité élevée,0.19 g,en faible quantité,?,,551,-0%,2305 kj(551 kcal),-0%,"33,5",-3%,"20,6",+5%,55,+6%,"54,1",+10%,"6,5",-9%,"0,19",-18%,"0,076",-18%,26,+2%,E,+2%,,,,,,"['Agriculture durable', 'en:UTZ Certified']",,E,84.1%,11.8%,1.2%,2.5%,0.4%,0.0%,24,,,,,,,
8,Candy,2023366999991,,['France'],[],[],,,,,,,,,?,,352,,1473 kj(352 kcal),,"0,1",,0,,"86,3",,"75,1",,"1,4",,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,You are so lovely - Hema,2023367099997,,['France'],"['sucre', 'sirop de glucose', 'acidifiants [96 E330', 'sirop de glucose déshydraté', 'colorant El 20', 'arôme naturel de frombobel agents dlenroboqe E901 E903 E904', ' Valeur nutritive pour 100g:']",[],,,,,,,,,?,,381,,1594 kj(381 kcal),,0,,0,,"95,2",,"80,8",,0,,"0,01",,"0,004",,,,,,['Hema'],['Hema'],['E903 - Cire de carnauba'],,4,,,,,,,,,,,,,,,,,
