,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,eco_score,categories,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,quantity,packaging,brand,labels,manufacturing,link,additives,nova_score,generic_name,markets,allergens,traceability_code,ingredients_origins,brand_owner,palm_ingredients
0,Naslazhdenie,4600508712762,['France'],[],[],?,510,2134 kj(510 kcal),29,12,51,37,9,"0,27","0,108",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Mayonnaise Provencal,4600528347173,['France'],[],[],?,383,1602 kj(383 kcal),40,"4,8","5,5","2,6","0,3",1,"0,4",D,"['Epicerie', 'Sauces', 'Mayonnaises']",40 g,en quantité élevée,4.8 g,en quantité modérée,2.6 g,en faible quantité,1 g,en quantité modérée,,-38%,-37%,-40%,-22%,+104%,+78%,-76%,-25%,-25%,12,-33%,D,-33%,80.2%,9.6%,5.0%,3.2%,1.6%,0.4%,49,,,,,,,,,,,,,,,
2,Крекер «Конфи» Рыбки с луком - 220g,4600603023848,"['France', 'Russie']","['мука пшеничная', 'жир специального назначения\r', 'растительные масла', 'антиоксиданты: E320', 'E321', ',\rмасло соевое', 'ядро ореха арахиса жареное дробленое,\rлук репчатый сушеный', 'сахар', 'соль поваренная\rпищевая', 'концентрат ячменно-солодовый,\rразрыхлители ', 'бикарбонат натрия ', 'E500', 'карбонат\rаммония', 'пищевые концентраты ', 'бульон мясной сухой', ',\rулучшитель муки ', 'ферментный продукт']","[""Pourrait contenir de l'huile de palme""]",?,477,1996 kj(477 kcal),"26,3",,51,,"8,1",,,B,"['Snacks', 'Snacks salés', 'Apéritif', 'Biscuits apéritifs', 'ru:Крекер']",26.3 g,en quantité élevée,,,,,,,,+3%,+2%,+32%,,-14%,,-18%,,,,,,,60.4%,21.2%,8.3%,6.3%,3.8%,0.0%,82,220 g,"['Пакет', '5 PP']",['Конфи'],"['ISO 9001', 'Sans OGM', 'EAC', 'ru:FSSC 22000', 'ru:ТУ 9132-001-56994419']","['Екатеринбург', 'Россия']",http://slavjanka.ru/ru/products/good/1430997662.html,"['E320 - Butylhydroxyanisol', 'E321 - Butylhydroxytoluène', 'E500ii - Carbonate acide de sodium', 'E500 - Carbonates de sodium', ""E503i - Carbonate d'ammonium""]",3,,,,,,,
3,N°9 Strong Beer - Baltika - 450ml,4600682009450,['France'],[],[],?,?,,?,,?,,?,,,C,"['Boissons', 'Boissons alcoolisées', 'Bières']",,,,,,,,,,,,,,,,,,,,,,,6.8%,25.7%,41.7%,16.7%,7.1%,2.0%,57,450 ml,"['Bouteille', 'Verre']",['Baltika'],['Déconseillé aux femmes enceintes'],,,,,,,,,,,
4,8 Wheat beer - Baltika - 500ml,4600682011804,"['Finlande', 'France']","['eau', ""malt pale d'orge"", 'blé de malt', 'houblon']",[],?,?,,?,,?,,?,,,C,"['Boissons', 'Boissons alcoolisées', 'Bières', 'Bières blanches']",,,,,,,,,,,,,,,,,,,,,,,6.8%,25.7%,41.7%,16.7%,7.1%,2.0%,57,500 ml,"['Bouteille', 'Verre', 'Capsule', 'Bouteille:verre brune']",['Baltika'],"['Déconseillé à certaines catégories de personnes', 'Non recommandé aux femmes enceintes']","['Baltika Breweries', '194292', 'St.Petersburg', 'Russie']",http://eng.baltika.ru,,3,Wheat N*8 unfiltered beer,['Leclerc'],,,,,
5,Bierre - Baltika - 900ml,4600682407096,"['France', 'Espagne']",[],[],?,?,,?,,?,,?,,,C,"['Boissons', 'Boissons alcoolisées', 'Bières']",,,,,,,,,,,,,,,,,,,,,,,6.8%,25.7%,41.7%,16.7%,7.1%,2.0%,57,900 ml,,['Baltika'],,,,,,,,,,,,
6,"Zhigulevskoye Helles Schankbier - Baltika - 0,47l",4600682430476,"['France', 'Russie']","['Wasser', 'helles Gerstenmalz', 'Malzextrakt ', 'Gerste', 'Weizen', 'Gerste', 'Hopfen']",[],?,?,,?,,?,,?,,,C,"['Boissons', 'Boissons alcoolisées', 'Bières']",,,,,,,,,,,,,,,,,,,,,,,6.8%,25.7%,41.7%,16.7%,7.1%,2.0%,57,"0,47 l","['Bouteille', 'Verre', 'Capsule', 'Métal']",['Baltika'],,,,,3,,,"['Gluten', 'de:Malzextrakt']",,,,
7,Milk Chocolate Mascha i Medwedj - Маша и Медведь - 90g,4600694170513,"['France', 'Russie']",[],[],2300,?,2300 kj(550 kcal),36,,53,,8,,,E,"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats', 'Chocolats au lait']",36 g,en quantité élevée,,,,,,,+1%,,-0%,+4%,,+2%,,+12%,,,,,,,84.1%,11.8%,1.2%,2.5%,0.4%,0.0%,24,90 g,"['22', 'PAP']",['Маша и Медведь'],"['ISO 9001', 'EAC', 'en:FSSC 22000']","['Горбунковское СП', 'Ломоносовский район', 'Ленинградская область', 'Россия', 'Russie']",,,,,,,,,,
8,Provansal light,4600851011611,['France'],[],[],?,299,1251 kj(299 kcal),30,"5,2","2,2","2,2","0,3",1,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Крупа греча ядрица - Националь - 900г,4600935000043,"['France', 'Russie']",[],[],1377,?,1377 kj(329 kcal),"2,6",,68,,"12,6",,,B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Graines', 'Céréales et dérivés', 'Céréales en grains', 'Gruau', 'Sarrasin', 'Gruau de sarrasin', 'ru:Крупа гречневая. Ядрица быстроразваривающаяся первый сорт. ГОСТ Р 55290-2012']",2.6 g,en faible quantité,,,,,,,,,-7%,-14%,,+1%,,+6%,,,,,,,68.4%,0.0%,15.2%,7.8%,8.6%,0.0%,95,900 г,,['Националь'],,,,,,Крупа гречневая. Ядрица быстроразваривающаяся первый сорт. ГОСТ Р 55290-2012,['Пятёрочка'],,,,,
