,name,bar_code,brand,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,labels,additives,nova_score,categories,eco_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,generic_name,quantity,packaging,manufacturing,markets,traceability_code,allergens,palm_ingredients,link,ingredients_origins,brand_owner
0,Pågen Surdegsbr Lantgoda,7311070338744,['Pagen'],['France'],"['INGA KONSERVERINGSMEDEL INCAEDIENSER Vetemjôl', 'vatten', 'fullkornsvetemjôl*', 'dinkelvetemiôl', 'krossade fullkornskàrnor av dinkelvete ', 'surdeg pâ vete ', '4%', 'vetegluten', 'havregryn*', 'havre- gu\\a linfrò', 'iàst', 'sait', 'kallpressad rapsolja ', '1%', 'vetegroddar', 'malt av korn', ' Dinkelinnehàli: 10% *Fullkornsinnehàll: 20%', 'motsvarande av torrvikten']",[],?,256,1071 kj(256 kcal),3,"0,5",43,1,11,1,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Pain complet - Pagen,7311070338881,['Pagen'],['France'],[],[],?,260,1088 kj(260 kcal),6,"0,7",40,"2,5","9,5","1,1","0,44",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Surdegsknäcke,7311143350703,,['France'],[],[],?,350,1464 kj(350 kcal),"2,1","0,8","74,1","6,7","5,3","0,9","0,36",['en:gluten-free'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Kalkes Kaviar Dill,7311170031125,,['France'],[],[],?,390,1632 kj(390 kcal),32,"2,5",15,12,10,"5,1","2,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Kallen - Orkla,7311170031682,['Orkla'],['France'],"['4 sokerisuolattu ', '52 0%', 'hiutale', 'tornaatti MAIDOTOtV', 'askorbiinihapp', 'rapsolja', 'socker', 'tomatpuré', 'sait', 'smedel ', 'kaliumsorbat', '52 0%', ' Yroò t4JâLKFRI', 'GLUTENFRI', ' Pyyntia uelFàngstomràde:Tursk m ', 'Gadus Q', ' — Koi/h3', 'Atlantti/NordostatIanten FAO 7 ', 'Kylmàsàitytys/Kyt orvaring: orskrom O +6 • tuubin ', ' I Setubens dnde']",[],?,400,1674 kj(400 kcal),33,"2,5",16,12,"9,5","5,3","2,12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Brännvins sill - Abba,7311171004074,['Abba'],['France'],[],[],?,240,1004 kj(240 kcal),12,"2,5",21,21,11,"2,8","1,12","['Pêche durable', 'Pêche durable MSC']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Sinappisilli - Abba,7311171004494,['Abba'],['France'],"['SINAPPISILLI / SENAPSSILL AINESOSAT', '• Silli ', '48 %', 'vesi', 'sokori', 'rapsiôljy', 'suola', 'ctikka', 'sakeuttam{snine ', 'E415', 'mausteet ', 'mm', ' kaneli korianteri', 'sâilëntâaineet ', 'E202', 'E211', 'vârit ', 'E150c', 'E160a', "",'""]","[""Pourrait contenir de l'huile de palme""]",?,250,1046 kj(250 kcal),18,2,16,12,7,"3,6","1,44",,"['E415 - Gomme xanthane', 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition', 'E211 - Benzoate de sodium', '', 'Risque élevé de sur-exposition', 'E150c - Caramel ammoniacal', '', 'Risque modéré de sur-exposition', 'E160a - Carotènes mélangés']",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Inlagd still - Abba,7311171006504,['Abba'],['France'],[],[],?,210,879 kj(210 kcal),"9,5",0,20,17,10,"2,8","1,12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Heringshappen Kräuter - Abba,7311171007594,['Abba'],"['France', 'Allemagne']",[],[],?,?,,?,,?,,?,,,,,,['de:Heringshappen'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Gin & granskott - Abba,7311171007648,['Abba'],['France'],[],[],?,220,920 kj(220 kcal),12,"2,5",19,19,"9,1","3,2","1,28",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
