,name,bar_code,quantity,packaging,brand,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_fat_tr,nutriment_carbohydrates_tr,nutriment_proteins_tr,categories,labels,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,eco_score,brand_owner,nova_score,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,manufacturing,link,markets,additives,generic_name,allergens,ingredients_origins,traceability_code,palm_ingredients,producer_info
0,evian - eau minéral naturelle - 1l,13607098,1l,['?'],['eau minéral naturelle'],['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Eau de coco petillante,0864793000209,,,,['France'],[],[],?,16,0,"3,9",0,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Eaux de coco']",['Halal'],0 g,en faible quantité,0 g,en faible quantité,3.4 g,en quantité modérée,0 g,en faible quantité,,-16%,67 kj(16 kcal),-19%,-100%,0,-100%,-14%,"3,4",-6%,-100%,0,-100%,0,-100%,6,+144%,D,+144%,,,,,,,,,,,,,,,,,,,,
2,Calcium et magnésium,8427483004714,,,,['France'],[],[],?,8,"1,2",23,0,,,,,,,,,,,,,33 kj(8 kcal),,,0,,,0,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,
3,Madagascan vanilla grinder - Dr. Oetker - 12g,96096826,12 g,,['Dr. Oetker'],['France'],[],[],?,323,9,38,"5,1",,,,,,,,,,,,,1351 kj(323 kcal),,,"1,2",,,15,,,"0,01",,"0,004",,,,,,,,,,,,,,,,,,,,,,,,,
4,Vegan protein,4260390240349,,,,['France'],[],"['Végétalien', 'Végétarien']",?,413,10,"7,4",71,,"['Végétarien', 'Végétalien', 'Sans lactose']",,,,,,,,,,,1728 kj(413 kcal),,,"3,9",,,"1,4",,,"2,2",,"0,88",,,,,,,,,,,,,,,,,,,,,,,,,
5,cocoa krispies -  - 65g,0038000094569,65 g,,,"['France', 'États-Unis']","['Riz', 'sucre', 'cacao traité avec un alcali', 'chocolat mi-sucré ', 'sucre', 'chocolat', 'dextrose', 'contient 2% ou moins d’huile végétale hydrogénée ', 'noix de coco', 'soja et / ou graine de coton', 'sel', 'arôme de malt', 'arôme naturel', '\rVitamines et Minéraux : Fer ', 'phosphate ferrique', 'vitamine C ', 'acide ascorbique et ascorbate de sodium', 'acétate de vitamine E', 'niacinamide', 'palmitate de vitamine A', 'vitamine B6 ', 'chlorhydrate de pyridoxine', 'vitamine B1 ', 'chlorhydrate de thiamine', 'vitamine B2 ', 'riboflavine', 'acide folique ', 'vitamine D3', 'vitamine B12']",[],?,385,"2,31","89,23","4,62","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Petit-déjeuners', 'Céréales et dérivés', 'Céréales pour petit-déjeuner']",,2.31 g,en faible quantité,2.31 g,en quantité modérée,38.5 g,en quantité élevée,1.06 g,en quantité modérée,,-4%,1611 kj(385 kcal),-4%,-73%,"2,31",+5%,+34%,"38,46",+130%,-50%,"1,06",+197%,"0,424",+197%,17,+215%,D,+215%,C,The Kellogg Company,4,74.0%,13.1%,5.1%,5.5%,2.3%,0.0%,60,,,,,,,,,,
6,Confiture artisanale des Monts d'Arrée - Framboise - Les 4 Saisons - 400g,29814619,400 g,['Pot en verre'],['Les 4 Saisons'],['France'],"['Sucre', 'framboise', 'purée de framboise,gélifiant : pectine']","['Sans huile de palme', 'Végétalien', 'Végétarien']",?,265,"0,6",60,"0,8","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Produits à tartiner', 'Petit-déjeuners', 'Fruits et produits dérivés', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', 'Confitures de fruits rouges', 'Confitures de framboises']",['en:produced-in-bretagne'],0.6 g,en faible quantité,0 g,en faible quantité,59 g,en quantité élevée,0 g,en faible quantité,,+18%,1109 kj(265 kcal),+18%,+121%,0,-100%,+12%,59,+15%,+19%,0,-100%,0,-100%,8,-10%,C,-10%,C,,4,65.8%,9.7%,13.4%,8.4%,2.2%,0.6%,60,['29690 Huelgoat'],http://www.4sais.com,['Monoprix'],['E440 - Pectines'],,,,,,
7,Filet de poulet - Auchan,2600495022303,,,['Auchan'],['France'],[],[],?,110,"1,5","0,5",24,"['Viandes', 'Volailles', 'Poulets', 'Filets de poulet']",,1.5 g,en faible quantité,0.5 g,en faible quantité,0.5 g,en faible quantité,0.1 g,en faible quantité,,-16%,460 kj(110 kcal),-15%,-48%,"0,5",-33%,+4%,"0,5",+106%,+5%,"0,1",-87%,"0,04",-87%,-4,,A,,D,,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,,['Auchan'],,,,,,,
8,2706766005621,2706766005621,,,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Filet de poulet roti - Le Gaulois,2431628056083,,,['Le Gaulois'],['France'],[],[],?,151,"5,8","0,01",24,"['Viandes', 'Volailles', 'Poulets', 'Filets de poulet']",['Sans conservateurs'],5.8 g,en quantité modérée,1.4 g,en faible quantité,0.01 g,en faible quantité,1.4 g,en quantité modérée,,+15%,632 kj(151 kcal),+16%,+101%,"1,4",+88%,-98%,"0,01",-96%,+5%,"1,4",+87%,"0,56",+87%,3,,C,,D,,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,,,,,,,,,
