,name,bar_code,eco_score,categories,sales_countries,ingredients_list,ingredients_analysis,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,labels,brand,quantity,nova_score,markets,packaging,traceability_code,allergens,additives,palm_ingredients,ingredients_origins,brand_owner,generic_name,manufacturing,link,producer_info
0,Filet de poulet rôti,0215779030701,D,"['Viandes', 'Volailles', 'Poulets', 'Filets de poulet', 'Filets de poulet rotis']",['France'],[],[],5.8 g,en quantité modérée,1.4 g,en faible quantité,0 g,en faible quantité,1.4 g,en quantité modérée,?,,148,+2%,619 kj(148 kcal),+2%,"5,8",+8%,"1,4",+3%,0,-100%,0,-100%,24,+2%,"1,4",+4%,"0,56",+4%,3,+17%,C,+17%,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,,,,,,,,,,,,,,,
1,Vimto Zero Fizzy PM,5010438011924,,,['France'],[],[],,,,,,,,,?,,3,,13 kj(3 kcal),,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Merguez,3039050650344,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Les caramels,3664206000300,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4 HOT CROSS BUNS,00018593,,,['France'],[],[],,,,,,,,,?,,284,,1188 kj(284 kcal),,"5,4",,"0,7",,"52,1",,"24,9",,"2,7",,"0,45",,"0,18",,,,,,,,,,,,,['en:gluten-free'],,,,,,,,,,,,,,,
5,Hartjes poffertjes,8712941330482,,,['France'],[],[],,,,,,,,,?,,360,,1506 kj(360 kcal),,"20,6",,"3,2",,"36,4",,"16,4",,"6,6",,"0,97",,"0,388",,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Thé vert ananas,5600785315044,,,['France'],[],[],,,,,,,,,?,,1,,4 kj(1 kcal),,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Tapas Assortiment de 3 produits,8437012899889,,,['France'],[],[],,,,,,,,,?,,418,,1749 kj(418 kcal),,32,,"12,5",,"1,8",,"0,6",,"29,3",,"4,6",,"1,84",,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Extra,0064900000973,,,['France'],[],[],,,,,,,,,?,,3,,13 kj(3 kcal),,0,,0,,1,,1,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Cuisse de poulet rotie issue de poulet fermier lyre jaune,2097260018041,D,"['Viandes', 'Volailles', 'Poulets', 'Cuisses de poulet']",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,,,,,,,,,,,,,,,
10,Nougat à l orange,3760115963092,,,['France'],[],[],,,,,,,,,?,,398,,1665 kj(398 kcal),,"7,2",,"0,55",,84,,79,,"3,3",,"0,01",,"0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Bonbon miel - Pinson,15503053,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,"['Bio', 'Bio européen', 'Agriculture UE/Non UE', 'FR-BIO-01']",['Pinson'],,,,,,,,,,,,,,
12,Amande caramelisée - JusteBio,3700146201770,,,['France'],[],[],,,,,,,,,?,,505,,2113 kj(505 kcal),,25,,2,,54,,52,,13,,0,,0,,,,,,,,,,,,,['Bio'],['JusteBio'],,,,,,,,,,,,,,
13,Corny,4011800526719,,"['Snacks', 'Snacks sucrés', 'Barres', 'Barres de céréales']",['France'],[],[],15.8 g,en quantité modérée,12.6 g,en quantité élevée,28.2 g,en quantité élevée,1.26 g,en quantité modérée,?,,433,+2%,1812 kj(433 kcal),+2%,"15,8",0%,"12,6",+111%,"66,5",+10%,"28,2",+4%,5,-33%,"1,26",+222%,"0,504",+222%,26,+97%,E,+97%,,,,,,,,,['Corny'],,,,,,,,,,,,,,
14,Bananes Rép Dominicaine Bio -  - ~1.1kg,2250106001762,B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Fruits', 'Fruits tropicaux', 'Bananes']",['France'],['Bananes'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,63.7%,0.0%,0.0%,23.1%,9.9%,3.2%,95,"['Bio', 'Bio européen', 'Commerce équitable', 'FR-BIO-01', 'Max Havelaar']",,~1.1 kg,1,,,,,,,,,,,,
15,Donuts chocolat,0287130019359,B,"['Biscuits et gâteaux', 'Gâteaux', 'Donuts']",['France'],[],[],33 g,en quantité élevée,10 g,en quantité élevée,12 g,en quantité modérée,1 g,en quantité modérée,?,,478,+17%,2000 kj(478 kcal),+17%,33,+45%,10,-6%,38,-15%,12,-29%,"6,3",+6%,1,+5%,"0,4",+5%,20,+3%,E,+3%,65.3%,17.3%,8.4%,4.6%,4.4%,0.0%,87,,,,,,,,,,,,,,,,
16,Bâtarde multi Cereales,2450212012793,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Escalopes de dinde - Auchan,2600499020015,D,"['Viandes', 'Volailles', 'Dindes', 'Escalopes de dinde']",['France'],[],[],0.5 g,en faible quantité,0.5 g,en faible quantité,0 g,en faible quantité,0.1 g,en faible quantité,?,,106,-12%,444 kj(106 kcal),-12%,"0,5",-62%,"0,5",+24%,0,-100%,0,-100%,25,+9%,"0,1",-82%,"0,04",-82%,-4,,A,,84.3%,9.9%,2.2%,2.3%,1.1%,0.3%,37,,['Auchan'],,,['Auchan'],,,,,,,,,,,
18,Sweef&sour,5011053023033,,,['France'],[],[],,,,,,,,,?,,400,,1674 kj(400 kcal),,1,,0,,"1,5",,1,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Protein Zero Delicatesse 100% Hydrolyzed,8436009391900,,,['France'],[],[],,,,,,,,,?,,402,,1682 kj(402 kcal),,1,,"0,6",,"4,6",,"0,6",,85,,"0,18",,"0,072",,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,PVC-Free,9556089885201,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Kartoffelklöße - Bofrost - 1200g,0007569006788,,,"['France', 'Allemagne']",[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,['Bofrost'],1200g,,,"['stück', 'stück']",,,,,,,,,,
22,Aiguillettes poulet - Auchan,2600015031556,D,"['Viandes', 'Volailles', 'Poulets', 'Aiguillettes de poulet']",['France'],[],[],1.5 g,en faible quantité,0.5 g,en faible quantité,0.4 g,en faible quantité,0.1 g,en faible quantité,?,,110,-13%,460 kj(110 kcal),-12%,"1,5",-19%,"0,5",+5%,"0,5",-45%,"0,4",+34%,24,+6%,"0,1",-77%,"0,04",-77%,-4,,A,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,['Auchan'],,,['Auchan'],,"['FR 30.233.001 CE', 'Saint-Bauzély (Gard, France)']",,,,,,,,,
23,Ergonomic Triangular Earrel,6921734958204,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
